EXP,DAS,Block,Treatment,SC,RS,Harvest,Leaf_Number,M_Stem (cm),Shoot_Dry (g),Root_Dry (g),S_R_Dry
1,70,A,N,N,X,1,28.5,23.875,1.5025,0.24,6.775142315
1,70,B,N,N,X,1,31,23.1,1.6575,0.24,7.217857143
1,70,C,N,N,X,1,28.25,21.025,1.485,0.23,6.501893939
1,70,D,N,N,X,1,30,24.075,1.67,0.265,6.254347826
1,70,E,N,N,X,1,29.5,24.925,1.615,0.195,7.63368984
1,70,F,N,N,X,1,24.75,23.325,1.495,0.205,7.582535885
1,70,A,NN,N,N,1,29,22.65,1.2425,0.18,6.93125
1,70,B,NN,N,N,1,36.5,22.7,1.4975,0.225,6.9375
1,70,C,NN,N,N,1,32.5,22.225,1.235,0.285,5.86453202
1,70,D,NN,N,N,1,30,22.375,1.4275,0.215,7.3
1,70,E,NN,N,N,1,34.25,22,1.3225,0.21,5.840740741
1,70,F,NN,N,N,1,32.5,23.675,1.615,0.235,8.406702899
1,70,A,NDF,N,DF,1,28,21.7,1.2125,0.25,5.440065681
1,70,B,NDF,N,DF,1,27,21.925,1.3175,0.19,7.830555556
1,70,C,NDF,N,DF,1,29.5,18.95,1.2,0.175,7.155228758
1,70,D,NDF,N,DF,1,22.5,20.425,1.27,0.22,6.4875
1,70,E,NDF,N,DF,1,28,20.975,1.28,0.185,5.83
1,70,F,NDF,N,DF,1,32,22.4,1.3575,0.23,7.202839757
1,70,A,DF,DF,X,1,29.5,16.25,0.86,0.185,4.934210526
1,70,B,DF,DF,X,1,28,16.675,0.9225,0.29,3.680406213
1,70,C,DF,DF,X,1,29,17.075,0.8875,0.23,3.958333333
1,70,D,DF,DF,X,1,30.75,15.75,0.955,0.17,6.690972222
1,70,E,DF,DF,X,1,30.5,16.8,0.8575,0.195,4.577631579
1,70,F,DF,DF,X,1,27.5,16.25,0.8075,0.21,4.194444444
1,70,A,DFDF,DF,DF,1,32.5,15.875,0.73,0.18,4.555727554
1,70,B,DFDF,DF,DF,1,31.5,15.45,0.84,0.185,4.452941176
1,70,C,DFDF,DF,DF,1,28.5,13.375,0.68,0.185,4.65
1,70,D,DFDF,DF,DF,1,29,15.425,0.7475,0.16,4.656862745
1,70,E,DFDF,DF,DF,1,32.5,15.875,0.9675,0.165,5.545454545
1,70,F,DFDF,DF,DF,1,37,16.85,0.93,0.205,4.916666667
1,70,A,DFN,DF,N,1,25.25,12.8,0.61,0.13,4.241830065
1,70,B,DFN,DF,N,1,32,15.325,0.865,0.17,5.617647059
1,70,C,DFN,DF,N,1,31.5,16.85,0.9125,0.19,4.789473684
1,70,D,DFN,DF,N,1,35,15.325,0.82,0.225,4.287037037
1,70,E,DFN,DF,N,1,41,16.675,0.94,0.225,4.579051383
1,70,F,DFN,DF,N,1,32,14.925,0.7025,0.13,4.86969697
2,55,A,N,N,X,1,30.25,23.425,2.1875,0.54,4.327741266
2,55,A,NN,N,N,1,31,21.975,2.215,0.4,6.5
2,55,A,NDF,N,DF,1,27,19.275,1.5925,0.37,4.82014652
2,55,A,DF,DF,X,1,22,12.125,1,0.4,3.122807018
2,55,A,DFDF,DF,DF,1,23,12.85,0.935,0.31,3.64516129
2,55,A,DFN,DF,N,1,24,12.775,0.9825,0.305,3.757575758
2,55,B,N,N,X,1,33.5,23.05,2.4625,0.445,6.613756614
2,55,B,NN,N,N,1,33,22.55,2.195,0.32,7.58097166
2,55,B,NDF,N,DF,1,21,17.875,1.3375,0.305,4.507526882
2,55,B,DF,DF,X,1,25,15.9,1.305,0.435,3.500265957
2,55,B,DFDF,DF,DF,1,24,14.9,1.14,0.42,3.609625668
2,55,B,DFN,DF,N,1,24.5,14.075,1.1425,0.365,4.101136364
2,55,C,N,N,X,1,34.5,23.775,2.5725,0.46,6.456521739
2,55,C,NN,N,N,1,36,23.725,2.2675,0.425,5.948447894
2,55,C,NDF,N,DF,1,29,21,1.6175,0.26,6.214285714
2,55,C,DF,DF,X,1,25,14.45,1.205,0.42,3.302564103
2,55,C,DFDF,DF,DF,1,30,11.4,1.14,0.42,2.714285714
2,55,C,DFN,DF,N,1,22.5,13.9,1.075,0.34,3.961805556
2,55,D,N,N,X,1,27.5,24.25,2.2975,0.525,5.023403483
2,55,D,NN,N,N,1,36.25,21.75,2.155,0.375,6.108463727
2,55,D,NDF,N,DF,1,34.75,18.4,1.6975,0.395,4.702941176
2,55,D,DF,DF,X,1,28.5,14.575,1.3375,0.45,3.575
2,55,D,DFDF,DF,DF,1,25,12.525,0.95,0.415,2.846445221
2,55,D,DFN,DF,N,1,23.5,13.6,0.9975,0.285,4.451612903
2,55,E,N,N,X,1,40.5,21.225,2.23,0.4,6.702313946
2,55,E,NN,N,N,1,47,22.15,2.3,0.505,5.492334906
2,55,E,NDF,N,DF,1,30.5,16.775,1.4775,0.36,4.647058824
2,55,E,DF,DF,X,1,26.5,12.875,1.175,0.455,2.732482482
2,55,E,DFDF,DF,DF,1,26,13.825,0.945,0.305,3.850537634
2,55,E,DFN,DF,N,1,26,13.6,0.9825,0.285,3.611486486
2,55,F,N,N,X,1,40,20.4,2.27,0.5,5.231331169
2,55,F,NN,N,N,1,41.5,24.25,2.4575,0.455,5.65746124
2,55,F,NDF,N,DF,1,31.5,22.675,1.9175,0.38,5.464411557
2,55,F,DF,DF,X,1,26.5,14.625,1.2625,0.515,2.863756614
2,55,F,DFDF,DF,DF,1,24,13.45,0.895,0.345,3.171288014
2,55,F,DFN,DF,N,1,19.5,12.225,0.78,0.26,3.038461538
