Logger,Year,Day.of.year,Time,DAS,PAR,Panel.Temp,T1,T2,T3,EXP,DorN,avgtemp,Growing_Period,Pre_Post_Trans
101,2020,276,1315,2,754,31.65,23.1,22.61,23.21,1,Day,22.97333333,pregraft,pre-transplant
101,2020,276,1330,2,482.2,30.44,23.45,22.9,23.59,1,Day,23.31333333,pregraft,pre-transplant
101,2020,276,1345,2,639.1,29.39,23.45,22.93,23.58,1,Day,23.32,pregraft,pre-transplant
101,2020,276,1400,2,541.3,29.14,23.3,23,23.35,1,Day,23.21666667,pregraft,pre-transplant
101,2020,276,1415,2,203,28.86,23.14,22.92,23.33,1,Day,23.13,pregraft,pre-transplant
101,2020,276,1430,2,262.8,28.41,23.57,23.29,23.7,1,Day,23.52,pregraft,pre-transplant
101,2020,276,1445,2,254.3,28.17,23.68,23.49,23.79,1,Day,23.65333333,pregraft,pre-transplant
101,2020,276,1500,2,219.1,28.13,23.98,23.82,24.02,1,Day,23.94,pregraft,pre-transplant
101,2020,276,1515,2,359.3,27.95,23.78,23.68,23.98,1,Day,23.81333333,pregraft,pre-transplant
101,2020,276,1530,2,223.8,28.01,23.96,23.76,23.95,1,Day,23.89,pregraft,pre-transplant
101,2020,276,1545,2,244.2,27.95,23.91,23.69,24.02,1,Day,23.87333333,pregraft,pre-transplant
101,2020,276,1600,2,180.2,27.86,24.44,24.72,24.79,1,Day,24.65,pregraft,pre-transplant
101,2020,276,1615,2,176.6,27.75,24.23,24.4,24.68,1,Day,24.43666667,pregraft,pre-transplant
101,2020,276,1630,2,202.6,27.64,24.73,24.78,24.82,1,Day,24.77666667,pregraft,pre-transplant
101,2020,276,1645,2,187.1,27.6,23.92,23.9,24.19,1,Day,24.00333333,pregraft,pre-transplant
101,2020,276,1700,2,149.5,27.5,24.96,24.87,24.87,1,Day,24.9,pregraft,pre-transplant
101,2020,276,1715,2,160.9,27.4,24.63,24.58,24.68,1,Day,24.63,pregraft,pre-transplant
101,2020,276,1730,2,116.2,27.3,24.82,24.87,24.89,1,Day,24.86,pregraft,pre-transplant
101,2020,276,1745,2,134.9,27.13,24.75,24.93,24.88,1,Day,24.85333333,pregraft,pre-transplant
101,2020,276,1800,2,157.4,27.01,24.89,24.94,25.06,1,Day,24.96333333,pregraft,pre-transplant
101,2020,276,1815,2,71.2,27,24.22,24.23,24.29,1,Day,24.24666667,pregraft,pre-transplant
101,2020,276,1830,2,49.31,26.73,22.85,23.01,23.09,1,Day,22.98333333,pregraft,pre-transplant
101,2020,276,1845,2,30.34,26.22,21.81,21.96,22.07,1,Day,21.94666667,pregraft,pre-transplant
101,2020,276,1900,2,16.88,25.62,20.86,21.01,21.18,1,Day,21.01666667,pregraft,pre-transplant
101,2020,276,1915,2,6.345,24.96,20.08,20.22,20.36,1,Day,20.22,pregraft,pre-transplant
101,2020,276,1930,2,0.931,24.29,19.24,19.45,19.54,1,Day,19.41,pregraft,pre-transplant
101,2020,276,1945,2,0.033,23.64,18.56,18.79,18.84,1,Night,18.73,pregraft,pre-transplant
101,2020,276,2000,2,0.001,23.02,18.05,18.26,18.38,1,Night,18.23,pregraft,pre-transplant
101,2020,276,2015,2,0.001,22.42,17.56,17.81,17.87,1,Night,17.74666667,pregraft,pre-transplant
101,2020,276,2030,2,0,21.86,17.14,17.32,17.41,1,Night,17.29,pregraft,pre-transplant
101,2020,276,2045,2,0,21.34,16.81,17,17.08,1,Night,16.96333333,pregraft,pre-transplant
101,2020,276,2100,2,0,20.86,16.65,16.88,16.93,1,Night,16.82,pregraft,pre-transplant
101,2020,276,2115,2,0,20.46,16.53,16.72,16.76,1,Night,16.67,pregraft,pre-transplant
101,2020,276,2130,2,0,20.09,16.17,16.36,16.38,1,Night,16.30333333,pregraft,pre-transplant
101,2020,276,2145,2,0,19.74,15.91,16.06,16.1,1,Night,16.02333333,pregraft,pre-transplant
101,2020,276,2200,2,0,19.38,15.65,15.77,15.84,1,Night,15.75333333,pregraft,pre-transplant
101,2020,276,2215,2,0,19.04,15.46,15.62,15.63,1,Night,15.57,pregraft,pre-transplant
101,2020,276,2230,2,0,18.73,15.36,15.51,15.53,1,Night,15.46666667,pregraft,pre-transplant
101,2020,276,2245,2,0,18.52,18.14,18.38,18.45,1,Night,18.32333333,pregraft,pre-transplant
101,2020,276,2300,2,0,18.65,18.1,18.18,18.22,1,Night,18.16666667,pregraft,pre-transplant
101,2020,276,2315,2,0,18.8,17.3,17.31,17.31,1,Night,17.30666667,pregraft,pre-transplant
101,2020,276,2330,2,0,18.8,16.72,16.7,16.71,1,Night,16.71,pregraft,pre-transplant
101,2020,276,2345,2,0,18.67,16.16,16.18,16.18,1,Night,16.17333333,pregraft,pre-transplant
101,2020,276,2400,2,0,18.47,15.75,15.8,15.84,1,Night,15.79666667,pregraft,pre-transplant
101,2020,277,15,3,0.001,18.23,15.44,15.49,15.5,1,Night,15.47666667,pregraft,pre-transplant
101,2020,277,30,3,0.001,17.99,15.3,15.36,15.37,1,Night,15.34333333,pregraft,pre-transplant
101,2020,277,45,3,0,17.85,18.25,18.54,18.51,1,Night,18.43333333,pregraft,pre-transplant
101,2020,277,100,3,0,18.05,17.8,17.91,17.96,1,Night,17.89,pregraft,pre-transplant
101,2020,277,115,3,0,18.22,16.99,16.96,16.97,1,Night,16.97333333,pregraft,pre-transplant
101,2020,277,130,3,0.001,18.21,16.18,16.14,16.17,1,Night,16.16333333,pregraft,pre-transplant
101,2020,277,145,3,0.003,18.07,15.46,15.46,15.52,1,Night,15.48,pregraft,pre-transplant
101,2020,277,200,3,0.001,17.85,16.59,16.89,16.84,1,Night,16.77333333,pregraft,pre-transplant
101,2020,277,215,3,0,17.86,18.12,18.39,18.44,1,Night,18.31666667,pregraft,pre-transplant
101,2020,277,230,3,0,18.04,17.11,17.05,17.08,1,Night,17.08,pregraft,pre-transplant
101,2020,277,245,3,0.002,18.06,16.15,16.11,16.15,1,Night,16.13666667,pregraft,pre-transplant
