EXP,DAS,Block,Treatment,SC,RS,N (%),P (%),K (%),Ca (%),Mg (%),S (ppm),Fe (ppm),Mn (ppm),B (ppm),Cu (ppm),Zn (ppm),Na (ppm)
2,55,A,N,N,X,5.02,0.45,4.66,1.85,0.85,2660,103.36,64.36,34.83,5.77,44.94,360.31
2,55,B,N,N,X,4.62,0.48,4.6,1.72,0.72,2582,94.54,61.44,35.98,5.62,43.99,324.51
2,55,C,N,N,X,4.58,0.47,4.63,1.71,0.7,2563,89.61,44.25,35.16,5.87,45.08,305.04
2,55,D,N,N,X,4.27,0.5,4.71,1.97,0.74,3046,104.13,75.6,39.78,5.48,56.82,361.87
2,55,E,N,N,X,3.92,0.49,4.64,1.8,0.72,2613,83.67,64.2,36.77,4.43,49.82,295.3
2,55,F,N,N,X,4.18,0.53,4.85,1.71,0.79,2581,88.98,55.07,33.83,5.36,54.8,301.36
2,55,A,NN,N,N,4.66,0.44,4.49,1.78,0.82,2632,94.58,42.56,31.39,4.21,42.78,344.12
2,55,B,NN,N,N,5.09,0.51,4.78,1.72,0.77,2799,89.99,38.77,31.84,4.28,43.3,473.67
2,55,C,NN,N,N,4.96,0.51,4.84,1.74,0.74,2918,95.96,55.43,33.32,4.97,51.49,479.67
2,55,D,NN,N,N,4.32,0.52,4.72,1.9,0.72,2982,89.86,51.25,35.98,4.17,46.57,440.88
2,55,E,NN,N,N,3.68,0.46,4.5,1.79,0.7,2539,83.67,54.8,34.22,4.58,44.59,383.33
2,55,F,NN,N,N,4.33,0.51,4.65,1.82,0.86,2741,91.84,65.12,34.48,5.41,53.64,370.21
2,55,A,NDF,N,DF,5.52,0.62,4.97,1.93,0.9,3684,98.66,37.57,39.97,6.22,53.16,613.77
2,55,B,NDF,N,DF,5.92,0.7,5.09,2.08,0.87,3437,103.85,55.59,34.41,7,58.14,657.46
2,55,C,NDF,N,DF,5.62,0.63,5.01,2.02,0.87,3260,105.19,36.68,38.27,6.41,54.88,609.51
2,55,D,NDF,N,DF,4.86,0.62,4.8,2.18,0.8,3490,98.32,67.25,40.44,7.81,63.59,538.46
2,55,E,NDF,N,DF,4.73,0.63,4.83,2.11,0.81,3634,99.58,51.25,40.33,5.77,61.28,542.45
2,55,F,NDF,N,DF,4.93,0.61,4.91,1.88,0.88,3193,98.58,47.99,37.28,6.35,53.35,456.78
2,55,A,DF,DF,X,6.22,0.79,4.76,2.53,1.07,4689,112,47.06,44.34,9.14,69.03,523.78
2,55,B,DF,DF,X,6.01,0.74,4.94,2.58,1,4884,111.67,65.79,43.96,8.93,66.57,551.74
2,55,C,DF,DF,X,6.15,0.79,4.95,2.74,1.01,5036,118.78,77.44,45.82,9.92,82.05,565.25
2,55,D,DF,DF,X,5.63,0.76,4.99,2.66,0.92,4907,115.39,74.41,48.4,9.01,79.9,502.37
2,55,E,DF,DF,X,5.42,0.79,4.85,2.69,0.96,4618,114.47,71.22,44.92,7.87,78.4,516.65
2,55,F,DF,DF,X,5.69,0.77,4.87,2.51,1.1,4554,118.12,64.75,44.78,9.88,75.18,543.46
2,55,A,DFDF,DF,DF,6.22,0.83,4.98,2.47,1.04,4792,111.54,47.3,38.25,8.86,64.27,658.88
2,55,B,DFDF,DF,DF,6.23,0.78,5.01,2.47,1.05,4790,107.69,41.7,38.45,9.3,62.77,543.69
2,55,C,DFDF,DF,DF,5.9,0.87,4.87,2.49,1.02,4933,116.86,51.64,40.18,8.85,66.82,703.23
2,55,D,DFDF,DF,DF,5.89,0.83,4.96,2.7,0.95,4927,116.62,52.39,41.98,8.87,75.09,612.82
2,55,E,DFDF,DF,DF,5.64,0.8,4.94,2.66,0.94,4831,112.62,58.03,41.03,8.25,77.56,687.93
2,55,F,DFDF,DF,DF,5.9,0.88,4.73,2.46,1.05,4867,117.07,48.42,41.25,10.83,69.76,642.83
2,55,A,DFN,DF,N,6.47,0.85,5.3,2.31,0.94,3903,102.37,80.83,30.55,6.08,59.74,481.05
2,55,B,DFN,DF,N,6.18,0.78,5.38,2.48,0.92,4232,107.17,60.93,33.21,7.9,60.82,536.6
2,55,C,DFN,DF,N,5.89,0.81,5.18,2.58,0.85,4291,106.46,59.97,36.52,8.33,65.24,541.47
2,55,D,DFN,DF,N,5.86,0.89,5.25,2.51,0.84,4316,113.98,67.54,37.06,6.64,69.22,541
2,55,E,DFN,DF,N,5.75,0.88,5.27,2.66,0.86,4234,113.19,70.81,36.71,7.19,71.04,520.01
2,55,F,DFN,DF,N,6.07,0.84,4.98,2.33,0.98,3992,115.03,82.38,36.69,7.84,61.63,500.37
