FruitGrw,LeafFormRate,N_leaves,Pruning,Stem_elong,weeks
NaN,10.6,10.6,50,85.5,34
NaN,6.3,16.9,50,159.8,35
12.25,7.5,24.4,50,235.5,36
13.8571428571429,7.9,32.3,50,300.5,37
16.5285714285714,8,40.3,50,365.6,38
19.7,6.8,47.1,50,432.6,39
21.75,7.5,54.6,50,494.1,40
22.2714285714286,7.6,62.2,50,552.6,41
22.5428571428571,7.4,69.6,50,614.9,42
23.6428571428571,6.6,76.2,50,674.1,43
24.6571428571429,6.6,82.8,50,733.3,44
24.2285714285714,6.6,89.4,67,795.5,45
25.6071428571429,7,96.4,67,861,46
25.8928571428571,6.2,102.6,67,921.8,47
27.3857142857143,2.8,105.4,67,958.3,48
28.15,NaN,105.4,NaN,958.3,49
