FruitGrw,LeafFormRate,N_leaves,Pruning,Stem_elong,weeks
NaN,11,11,50,84.9,34
NaN,12.9,23.9,50,160.6,35
12.25,7.7,31.6,50,237.1,36
14.2857142857143,7.8,39.4,33,309.4,37
16.6,7.9,47.3,50,369.3,38
16.1785714285714,7.3,54.6,33,419.3,39
17.1428571428571,7.6,62.2,50,471.1,40
15.95,8.3,70.5,50,530,41
15.6809523809524,8.5,79,33,589.9,42
18.1333333333333,7.7,86.7,50,647,43
20.1142857142857,7.3,94,33,706.7,44
19.2214285714286,7.6,101.6,67,764.1,45
19.6642857142857,7.7,109.3,67,824.1,46
20.5642857142857,5.8,115.1,67,872.5,47
21.9428571428571,0.1,115.2,67,879,48
22.0666666666667,NaN,115.2,NaN,879,49
