EC_Drain,drain,pH_Drain,time,water
0.0700000000000002,0,0.0399999999999998,43326,0.661424999759104
0.0700000000000002,0,0.0399999999999998,43327,0.406124999974351
0.0700000000000002,0,0.0399999999999998,43328,0.587715789183053
0.0700000000000002,0,0.0399999999999998,43329,1.28021666649679
0.0700000000000002,0,0.0399999999999998,43330,0.583288235330209
0.0700000000000002,0,0.0399999999999998,43331,0.503662499935879
0.0700000000000002,0,0.0399999999999998,43332,1.15483999991886
0.0700000000000002,0,0.0399999999999998,43333,1.01215714307196
1.01081597221757,0,2.0870486108713,43334,1.54545112785963
3.13723958334614,0.21,5.96463541666201,43335,1.3984
2.64001736116,2.64,6.24177083328328,43336,4.37
2.67541666670043,2.37,6.47435763889703,43337,3.933
2.5288020833147,2.53,6.48336805560795,43338,4.4574
2.47315972219545,3.5,6.44104166665619,43339,4.9818
2.51849637678001,2.88,6.19818840588456,43340,4.7196
2.57795180721275,0,6.05903225822945,43341,2.26375
2.69977777776536,0,5.89262962974262,43342,2.1387
2.91734767022566,2.22,5.91136200712279,43343,4.4574
3.0108680555509,1.67,6.0244618054694,43344,4.4574
3.10847222220942,2.91,6.09156250000931,43345,5.7684
3.32999999995227,4.18,5.93435763897386,43346,6.555
3.51451388884815,4.04,5.47756944452012,43347,6.555
3.65166666668297,4.03,5.01493055565683,43348,6.555
3.72333333333101,3.95,4.5918576388493,43349,6.2928
3.74871527779408,3.24,4.29059027778478,43350,6.2928
3.88260416665503,3.26,4.10928819442233,43351,6.2928
4.01734375001747,2.9,3.9661805555672,43352,6.2928
4.1415972221838,3.01,3.87295138888306,43353,6.2928
4.17064236112043,2.77,3.83821180552994,43354,6.0306
4.15958333332635,3.15,3.79868055554391,43355,6.0306
3.71737847321408,2.46,4.2108854169123,43356,5.5062
3.25135416656073,0.55,4.49315972236191,43357,3.6708
4.04940972220011,0.55,3.87833333333216,43358,3.6708
4.19717013889587,0.44,3.88805555556953,43359,3.6708
4.41145833329724,0.66,3.9410763888528,43360,4.1952
4.6583506943583,1.09,3.98904513890985,43361,4.1952
4.85930555553111,1.35,4.03190972220592,43362,4.4574
4.93675347206856,1.12,4.01486111111927,43363,4.4574
4.97706597214306,1.24,4.03645833335544,43364,4.4574
4.89328125005936,1.83,4.08562500003494,43365,4.4574
4.43635416668995,3.22,4.09847222222689,43366,5.5062
3.72079861107618,3.05,4.11781249994063,43367,6.2928
3.22717013881322,2.99,4.34911458321691,43368,6.2928
2.91956597219312,3.29,4.64366319432454,43369,6.2928
2.80038194438857,2.7,4.90534722203129,43370,5.7684
2.74965277775217,3.19,5.08734374983703,43371,5.7684
2.59774305551947,2.75,5.21496527756124,43372,5.7684
2.53232638890169,2.77,5.38624999980908,43373,5.7684
2.54975694445143,2.81,5.53934027756941,43374,5.7684
2.49227430556487,3.05,5.70687499978113,43375,5.5062
2.47656250000582,2.64,5.70520833317271,43376,5.5062
2.59777777779291,2.9,5.53635416646993,43377,5.5062
2.74373263888191,2.8,5.25229166633023,43378,5.5062
2.84437500000233,2.7,4.90779513859204,43379,5.5062
3.01381944450265,2.84,4.50585069421975,43380,5.5062
3.1283333333799,2.48,4.31072916650019,43381,5.5062
3.12027777777312,2.55,4.33621527761481,43382,5.5062
3.12579861110995,2.1,4.37611111109482,43383,4.9818
3.24151041664688,1.84,4.30157986112741,43384,4.7196
3.3151388888819,1.88,4.29944444446191,43385,4.7196
3.31335069443047,1.87,4.40727430555789,43386,4.7196
3.28003472224434,1.98,4.55097222222222,43387,4.7196
3.30246527778127,2.07,4.62156250000117,43388,4.7196
3.26420138888773,2.24,4.71871527780804,43389,4.7196
3.16295138891217,2.14,4.86868055558816,43390,4.7196
3.11636029410039,NaN,5.07768382352942,43391,NaN
3.09996389890728,2.98,5.29956678701559,43392,5.7684
3.04335069446889,3.28,5.53618055555789,43393,6.0306
2.92755208335079,3.33,5.74614583335893,43394,6.0306
2.84444444442465,1.77,5.90364583333218,43395,4.7196
2.8339409722036,1.51,6.06784722223273,43396,4.1952
2.82696180556895,1.64,6.19524305550201,43397,4.1952
2.81079861112858,1.92,6.26281249998486,43398,4.1952
2.69836805559397,2.17,6.28947916668529,43399,4.1952
2.58253472221058,2.05,6.26357638894361,43400,4.1952
2.5224075425601,1.79,6.3102384428652,43401,4.1952
2.48791666664338,2.14,6.41847222214772,43402,4.4574
2.47310763891857,2.28,6.50965277779757,43403,4.4574
2.4611979167045,2.14,6.53652777774983,43404,4.4574
2.46062500001979,2,6.62215277777081,43405,4.1952
2.48736111114603,2.09,6.66572916652,43406,4.4574
2.45779513888365,1.86,6.76631944456201,43407,4.4574
2.4332638888854,1.88,6.82361111120074,43408,4.4574
2.48124999995809,1.64,6.84510416667713,43409,4.4574
2.46760416664339,1.62,6.89173611121241,43410,4.1952
2.50928819446016,1.75,6.96020833324953,43411,4.1952
2.59812500003726,2.1,6.89881944442464,43412,4.4574
2.55501736112101,1.74,6.89055555552764,43413,4.1952
2.47329861111693,1.73,6.87677083334031,43414,3.933
2.45250000000465,1.72,6.74927083329027,43415,3.933
2.4200347222164,1.73,6.63218749997671,43416,3.933
2.44083333333916,1.6,6.48022569436938,43417,3.933
2.45986111112509,1.48,6.38644097221465,43418,3.933
2.40498263889529,1.48,6.38402777790931,43419,3.933
2.3418055555963,1.51,6.43222222226997,43420,3.933
2.35902777773004,1.59,6.36819444457482,43421,3.933
2.45348958329899,1.48,6.34031250006286,43422,3.933
2.55531250000932,1.49,6.32277777782783,43423,3.933
2.68817708329666,1.6,6.24305555562076,43424,3.933
2.790017361121,1.51,6.12513888882485,43425,3.6708
2.87685763885222,1.27,6.07194444441068,43426,3.6708
2.95123263889762,1.45,5.99315972216287,43427,3.6708
3.02475694445492,1.49,5.86381944441999,43428,3.6708
3.14542750923621,1.72,5.6319702601858,43429,3.6708
3.28668402773994,1.74,5.33786458331296,43430,3.6708
3.40225694449218,1.74,5.13979166666432,43431,3.6708
3.46062500004307,1.81,5.0620486110692,43432,3.6708
3.39947916668063,1.79,5.02621527778011,43433,3.6708
3.37354166665386,1.77,4.99914930559107,43434,3.6708
3.33552083336593,1.9,5.00298611110298,43435,3.6708
3.222083333331,1.9,4.93215277779755,43436,3.6708
3.16958333337524,1.87,4.75767361112509,43437,3.6708
3.12892361116001,1.79,4.73375000003377,43438,3.6708
2.92260416674233,2,5.00781249993479,43439,3.6708
2.55505208335953,2.12,5.21093749998603,43440,3.6708
2.24114583333683,2.12,5.37184027776033,43441,3.6708
