FruitGrw,LeafFormRate,N_leaves,Pruning,Stem_elong,weeks
NaN,10.7,10.7,50,85.5,34
NaN,6.5,17.2,50,159.4,35
11.4,9.1,26.3,50,241.1,36
12.7428571428571,7.9,34.2,50,298.4,37
14.8214285714286,8,42.2,50,347.7,38
15.7571428571429,7.5,49.7,50,401.5,39
17.1,7.2,56.9,50,452.3,40
16.6571428571429,8.2,65.1,50,512.3,41
18.4714285714286,8.1,73.2,50,567,42
19.5285714285714,7.6,80.8,50,624.2,43
18.5428571428571,7.3,88.1,50,679.1,44
21.0642857142857,7.4,95.5,50,735.5,45
21.8285714285714,6.3,101.8,50,790.4,46
21.5714285714286,7.4,109.2,50,842.1,47
21.15,0.5,109.7,50,862.5,48
19.5666666666667,NaN,109.7,NaN,862.5,49
