FruitGrw,LeafFormRate,N_leaves,Pruning,Stem_elong,weeks
NaN,10.1,10.1,50,64.4,34
NaN,6.1,16.2,67,132.1,35
9.4,8.3,24.5,67,204.2,36
9.91428571428571,8.3,32.8,67,265.7,37
10.7357142857143,8.1,40.9,67,325.8,38
13,6.3,47.2,67,370.7,39
12.6857142857143,7.8,55,67,413.2,40
10.0785714285714,9.7,64.7,67,485.8,41
11.2914285714286,8.7,73.4,67,548.2,42
15.5228571428571,7.6,81,67,606.9,43
16.8,7.2,88.2,67,672,44
17.4142857142857,7.5,95.7,50,728.8,45
17.5428571428571,6.7,102.4,50,798.3,46
15.5857142857143,7.3,109.7,50,862.8,47
18.4285714285714,6.4,116.1,50,929.9,48
16,NaN,116.1,NaN,929.9,49
