EC_Drain,drain,pH_Drain,time,water
0.0300699300699301,0,0.00999999999999994,43326,0.661424999759104
0.03,0,0.00999999999999994,43327,0.406124999974351
0.03,0,0.00999999999999994,43328,0.587715789183053
0.03,0,0.00999999999999994,43329,1.28021666649679
0.03,0,0.010034722221058,43330,0.583288235330209
0.03,0,0.00999999999999994,43331,0.503662499935879
0.03,0,0.00999999999999994,43332,1.15483999991886
0.03,0,0.00999999999999994,43333,1.01215714307196
1.15206597220476,0,2.1083506945597,43334,1.54545112785963
3.07621527767416,0.42,5.46116319444912,43335,1.0488
3.03138888895059,1.77,5.53628472227111,43336,2.5346
2.97527777782551,1.56,5.71968749993713,43337,2.3598
2.85725694439439,1.7,5.90909722219079,43338,2.7531
2.75885416666666,3.63,6.05960069443164,43339,4.3263
2.74367753621002,0,5.82307971018866,43340,0.2622
2.7060642570712,0,6.0461693548387,43341,1.447475
2.57474074077924,0,6.41566666656732,43342,1.50915000109887
2.9578494623043,3.38,6.63505376344086,43343,5.681
3.34310763891101,1.68,6.51730902775216,43344,3.1464
3.23388888886677,1.49,6.60593750003725,43345,4.0641
3.71630208334032,2.74,6.37569444445841,43346,5.24400000439547
4.00642361112275,3.28000001005828,6.10552083329143,43347,5.3751
4.07072916664571,3.74,5.65288194443629,43348,5.8995
4.10619791666666,5.08,4.98661458332868,43349,7.0357
4.27652777771025,0.39,4.87649305555091,43350,2.8405
4.81072916675398,0.57,4.63961805552179,43351,3.0153
5.68656250006636,0.19,4.5275347222583,43352,2.622
6.22902777779873,0.19,4.4008680555998,43353,2.622
6.57538194448635,0.18,4.45043402777313,43354,2.75310001318641
6.31888888877596,0.18,4.62767361103312,43355,2.622
6.36039930564868,0.19,5.03894097224202,43356,2.622
6.84600694425935,0.77,5.20552083328677,43357,2.7531
6.53052083331471,0.29,5.2719097222781,43358,1.7043
6.13468750000116,0.18,5.18486111114253,43359,2.622
5.99749999997439,0.19,4.96454861114022,43360,2.622
6.16763888886559,0.18,4.77222222222804,43361,2.622
6.73989583344858,0.47,4.90069444442465,43362,2.8842
7.64232638868282,0.28,5.14684027773471,43363,0.5244
8.0434027775822,0.39,5.15734375004075,43364,2.622
8.28697916697517,0.88,5.45595486109482,43365,3.0153
8.20260416666316,0.6,5.54309027777777,43366,1.7043
6.60600694461791,0.29,5.35288194446424,43367,2.7531
6.83119791629297,0.680000009052454,5.39836805549501,43368,2.8842
6.74418402782318,0.72,5.58600694442698,43369,2.88420001318641
6.62041666661195,0.85,5.55645833331354,43370,2.7531
5.26423611130669,0.19,5.38149305557767,43371,2.3598
4.50725694431174,0.56,5.51451388885745,43372,2.7531
5.43362847228974,0.850000009052454,5.97618055555206,43373,3.0153
5.28013888905187,0.57,6.03774305557767,43374,2.4035
4.31496527782434,0.47,6.08581597211978,43375,2.62200000879094
4.79826388884698,0.28,6.3193402776148,43376,2.88420000439547
4.81762152763342,0.62,6.59203125004191,43377,2.0976
4.09909722221058,0.68,6.5738541664839,43378,2.7531
3.94093750003725,0.9,6.81461805540654,43379,3.0153
3.62017361121472,0.31,6.72956597226064,43380,2.2287
2.9909027777056,0.8,6.76760416657354,43381,3.14640001318641
