FruitGrw,LeafFormRate,N_leaves,Pruning,Stem_elong,weeks
NaN,13,13,50,130.1,34
NaN,8,21,67,211.3,35
11.95,8.2,29.2,67,297.1,36
12.2714285714286,7.7,36.9,67,366.2,37
15.6071428571429,8,44.9,67,437.9,38
16.5514285714286,7.4,52.3,67,507.3,39
18.5557142857143,7.7,60,67,566.6,40
19.4714285714286,8.1,68.1,67,623.9,41
19.45,7.8,75.9,67,675.2,42
17.9714285714286,7.5,83.4,50,729.9,43
17.7285714285714,6.7,90.1,50,778.5,44
17.3071428571429,7.2,97.3,50,835.5,45
18.6428571428571,6.8,104.1,50,890,46
18.4642857142857,6.2,110.3,50,941.5,47
17.5428571428571,0,110.3,50,948.1,48
17.9333333333333,NaN,110.3,NaN,948.1,49
