time,AbsHumOut,Iglob,PARout,Pyrgeo,RadSum,Rain,Rhout,Tout,Winddir,Windsp
8/14/2018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8/14/2018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8/14/2018,13.3691893,0,0,-32.0000001,0,0,87.80000001,17.7,32,3.2
8/14/2018,13.3893795,0,0,-36,0,0,87.4,17.8,32,3.2
8/14/2018,13.4551973,0,1,-38.99999926,0,0,87.30000004,17.89999999,32,3.2
8/14/2018,13.4654617,0,1,-28.00000148,0,0,87.89999992,17.80000001,32,3.2
8/14/2018,13.435029,0,1,-23.00000034,0,0,87.70000001,17.8,32,3.2
8/14/2018,13.4705057,0,1,-25.9999999,0,0,87.40000001,17.9,32,3.2
8/14/2018,13.5470457,0,0.999999966,-16.00000023,0,0,87.89999999,17.90000001,32,2.7
8/14/2018,13.6495523,0,1.01E-07,-23.00000151,0,0,87.5,18.1,32,2.7
8/14/2018,13.6495523,0,0.999999899,-37.99999849,0,0,87.5,18.1,32,2.7
8/14/2018,13.773488,0,1,-42.99999983,0,0,88.29999997,18.1,32,2.7
8/14/2018,13.7889786,0,1,-41,0,0,88.4,18.1,32,2.7
8/14/2018,13.773488,0,0.999999933,-42.99999973,0,0,88.30000001,18.1,32,3.2
8/14/2018,13.8044691,0,1.34E-07,-39.00000054,0,0,88.49999997,18.1,32,3.2
8/14/2018,13.7632494,0,0.999999933,-44.9999996,0,0,87.70000005,18.19999999,32,3.2
8/14/2018,13.8723412,0,1,-42.0000001,0,0,88.39999998,18.2,32,3.699999983
8/14/2018,13.90911289,0,1,-32.99999987,0,0,88.1,18.29999999,32,3.7
8/14/2018,13.75799661,0,1,-28.9999993,0,0,88.20000004,18.1,32,3.7
8/14/2018,13.81995869,0,1,-22.0000007,0,0,88.59999996,18.1,32,3.7
8/14/2018,13.8974066,0,3.35E-08,-19.0000001,0,0,89.09999998,18.1,32,3.7
8/14/2018,14.0125837,0,0,-19,0,0,89.3,18.2,32,3.7
8/14/2018,14.043746,0,1,-28.00000054,0,0,89.5,18.2,32,3.7
8/14/2018,14.043746,0,1,-35.99999893,0,0,89.5,18.2,32,3.7
8/14/2018,14.0749063,0,1,-28.00000054,0,0,89.69999999,18.2,32,3.7
8/14/2018,14.0502033,0,3.35E-08,-27.00000003,0,0,89.00000002,18.3,32,3.7
8/14/2018,13.8669033,0,1,-12.99999997,0,0,87.29999995,18.40000001,32.00000107,3.7
8/14/2018,13.7951984,0,1,-12,0,0,85.80000004,18.59999999,64,3.7
8/14/2018,13.776,0,1,-12,0,0,86.19999996,18.50000001,64,3.7
8/14/2018,13.77923,0,1,-15.99999987,0,0,85.70000002,18.6,64,3.7
8/14/2018,13.4445381,0,0,-15,0,0,83.1,18.7,64,3.7
8/14/2018,13.20346449,0,1,-15.00000027,0,0,81.59999997,18.69999999,64,4.400000034
8/14/2018,13.04446222,0,1,-18.99999946,0,0,81.10000007,18.60000001,64,4.899999933
8/14/2018,13.0125046,0,1,-20.99999987,0,0,80.90000001,18.6,64,4.9
8/14/2018,13.0138988,0,1,-19.00000007,0,0,81.39999998,18.5,64,4.9
