EC_Drain,drain,pH_Drain,time,water
-6.15143356644059,0,0.0500000000000002,43326,0.661424999759104
-18.5792361111041,0,0.0500000000000002,43327,0.406124999974351
-18.5795833333403,0,0.0500000000000002,43328,0.587715789183053
-18.5790277777777,0,0.0500000000000002,43329,1.28021666649679
-18.5795833333333,0,0.0500000000000002,43330,0.583288235330209
-18.5795833333216,0,0.0500000000000002,43331,0.503662499935879
-18.5795833333356,0,0.0500000000000002,43332,1.15483999991886
-18.5792708333473,0,0.0500000000000002,43333,1.01215714307196
-9.40388889105759,0,0.0500347222210583,43334,1.54545112785963
0.0304166666643384,0,0.0500000000000002,43335,1.5744
1.25774305531458,0.52,3.82060763823463,43336,3.8048
2.02713541664106,0.53,6.07829861106802,43337,3.5424
2.00553819444212,0.52,6.13288194445026,43338,4.1328
1.92697916658518,2.35,6.22635416657004,43339,4.92
1.99487318844103,1.18,6.31454710150638,43340,2.7552
1.84783132531736,0,6.42443548392639,43341,3.1412
1.80481481480115,0,6.28425925927042,43342,2.5668
1.80437275984461,0.83,6.5984229391366,43343,3.5424
1.70154513884116,0.83,6.85520833341482,43344,3.936
2.2103125000035,0.66,6.77572916668879,43345,3.936
2.44463541681335,1.09,6.85795138885628,43346,3.936
2.34416666676678,1.34,6.99510416665037,43347,3.7392
2.38980902785694,1.6,6.90076388896922,43348,4.3296
2.39388888887143,2.29,6.75104166661661,43349,4.7232
2.5273958333345,2.38,6.48833333333915,43350,5.904
2.865902777751,0.77,6.03852430554158,43351,3.936
2.92850694443746,0.42,5.83336805552529,43352,3.7392
2.97347222219778,0.84,5.87475694447239,43353,4.3296
2.93539930558932,0.66,5.97814236101681,43354,4.3296
3.01628472229906,2.06,6.04104166650135,43355,5.1168
3.03536458329957,1.1,5.84192708338223,43356,4.5264
3.14631944442931,0.84,5.58350694441417,43357,4.3296
3.15347222222339,0.86,5.55055555549619,43358,4.3296
3.20184027781037,0.83,5.60072916663989,43359,3.7392
3.2794097222292,0.41,5.44999999999418,43360,3.936
3.56831597218264,1.01,5.21444444445725,43361,4.92
3.7325694444619,1.81,5.33899305554974,43362,5.3136
3.4794270833636,1,5.27243055557767,43363,4.5264
3.35760416673885,2.25,5.19862847217216,43364,5.3136
3.06303819449217,1.72,4.97125000004423,43365,3.936
2.75583333337175,1.9,4.81173611110412,43366,4.1328
2.61892361113905,2.15,4.63340277776731,43367,5.5104
2.54229166670042,1.62,4.61256944443629,43368,4.7232
2.46440972221989,2.08,4.52437500005355,43369,5.5104
2.47723958334847,1.77,4.32468749998952,43370,5.1168
2.50546874999651,1.12,4.23715277776963,43371,3.7392
2.46013888889006,1.58,4.32506944447238,43372,4.7232
2.42576388890053,1.12,4.408229166669,43373,3.936
2.39451388888773,1.03,4.54347222224899,43374,3.936
2.36241319446656,1.5,4.75979166669228,43375,4.1328
2.34538194444793,1.29,4.75340277788488,43376,4.1328
2.35671874999302,1.57,4.82402777780455,43377,3.936
2.36954861113905,1.03,4.7419270833275,43378,3.936
2.44338541665968,1.33,4.56267361117863,43379,4.1328
2.55550347223386,1.45,4.34913194441418,43380,4.1328
2.65093749999651,1.36,4.34045138880739,43381,4.1328
2.67585069441534,1.34,4.43531250001047,43382,4.1328
2.70239583334963,1.25,4.40482638888772,43383,4.1328
2.76402777779291,1.51,4.30914930563473,43384,4.1328
2.80854166665503,1.75,4.22204861122286,43385,4.5264
2.79092013890402,1.43,4.27118055563472,43386,4.5264
2.80342013887259,1.33,4.36151041666666,43387,4.5264
2.90385416666317,1.51,4.41090277776846,43388,4.3296
2.87138888889937,1.61,4.56309027773121,43389,4.3296
2.79270833331587,1.72,4.58611111104243,43390,4.3296
2.75573529413244,NaN,4.58555147062399,43391,NaN
2.81873646210359,1.63,4.50963898911533,43392,4.3296
2.80758680556254,2.09,4.58315972227461,43393,4.3296
2.75954861112042,1.66,4.55444444446075,43394,3.5424
2.79291666661311,1.12,4.49052083341598,43395,3.5424
2.89385416663756,1.27,4.39885416669577,43396,3.5424
2.83515624999593,1.27,4.59657986115069,43397,3.5424
2.73027777774285,1.47,4.87378472234446,43398,3.3456
2.63090277781154,1.64,5.05472222225017,43399,3.5424
2.6113194444328,0.87,4.96142361111226,43400,3.1488
2.66852554742445,0.42,4.921158150832,43401,2.952
2.72249999996973,0.77,5.00743055550666,43402,3.3456
2.72347222220127,1.03,5.27657986105697,43403,3.1488
2.75770833335079,0.94,5.37173611118794,43404,3.3456
2.72182291668821,0.94,5.4422048610337,43405,3.1488
2.6594791666946,0.61,5.48937500000582,43406,2.7552
2.63019097223677,0.5,5.50918402779815,43407,2.952
2.63041666670508,0.59,5.54295138880856,43408,2.952
2.60828125003202,0.51,5.57534722216866,43409,2.952
2.56600694447821,0.77,5.6992361110855,43410,2.952
2.55491319443571,0.77,5.75307291676271,43411,2.7552
2.53317708330481,0.77,5.67826388895409,43412,2.952
