FruitGrw,LeafFormRate,N_leaves,Pruning,Stem_elong,weeks
NaN,12.7,12.7,50,111,34
NaN,7.4,20.1,50,192.9,35
14,8.1,28.2,50,268.4,36
14.7642857142857,8,36.2,50,345.7,37
16.0714285714286,7.5,43.7,50,416.5,38
16.0785714285714,6.8,50.5,50,477.5,39
18.9285714285714,7.3,57.8,50,537.5,40
18.8857142857143,8.1,65.9,50,605.5,41
16.9357142857143,7.7,73.6,50,665.9,42
18.2928571428571,7.2,80.8,50,727.6,43
17,7.1,87.9,50,777.5,44
17,8,95.9,50,838.3,45
17,2.3,98.2,50,864.3,46
17,NaN,NaN,50,NaN,47
17,NaN,NaN,50,NaN,48
17,NaN,NaN,NaN,NaN,49
