time,CO2_Vip,HeatTemp_Vip,HumDef_Vip,MinPipeGrow_Vip,MinPipeLow_Vip,VentLeewMin_Vip,VentLeew_Vip,VentWind_Vip,WaterSupInt_Vip
43326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43326.00347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43326.00694,NaN,10,1.8,0,0,0,20.5,20.60000001,NaN
43326.01042,NaN,10,1.8,0,0,0,20.5,20.7,NaN
43326.01389,NaN,10,1.8,0,0,0,20.5,20.79999999,NaN
43326.01736,NaN,10,1.8,0,0,0,20.5,20.70000001,NaN
43326.02083,NaN,10,1.8,0,0,0,20.5,20.60000001,NaN
43326.02431,NaN,10,1.8,0,0,0,20.5,20.5,NaN
43326.02778,NaN,10,1.8,0,0,0,20.5,20.60000001,NaN
43326.03125,NaN,10,1.8,0,0,0,20.5,20.79999998,NaN
43326.03472,NaN,10,1.8,0,0,0,20.5,20.60000002,NaN
43326.03819,NaN,10,1.8,0,0,0,20.5,20.6,NaN
43326.04167,NaN,10,1.8,0,0,0,20.5,20.6,NaN
43326.04514,NaN,10,1.8,0,0,0,20.5,20.69999999,NaN
43326.04861,NaN,10,1.8,0,0,0,20.5,20.60000001,NaN
43326.05208,NaN,10,1.8,0,0,0,20.5,20.6,NaN
43326.05556,NaN,10,1.8,0,0,0,20.5,20.7,NaN
43326.05903,NaN,10,1.8,0,0,0,20.5,20.59999999,NaN
43326.0625,NaN,10,1.8,0,0,0,20.5,20.40000002,NaN
43326.06597,NaN,10,1.8,0,0,0,20.5,20.59999998,NaN
43326.06944,NaN,10,1.8,0,0,0,20.5,20.6,NaN
43326.07292,NaN,10,1.8,0,0,0,20.5,20.7,NaN
43326.07639,NaN,10,1.8,0,0,0,20.5,20.70000001,NaN
43326.07986,NaN,10,1.8,0,0,0,20.5,20.79999999,NaN
43326.08333,NaN,10,1.8,0,0,0,20.5,20.70000001,NaN
43326.08681,NaN,10,1.8,0,0,0,20.5,20.7,NaN
43326.09028,NaN,10,1.8,0,0,0,20.5,20.8,NaN
43326.09375,NaN,10,1.8,0,0,0,20.5,20.80000001,NaN
43326.09722,NaN,10,1.8,0,0,0,20.5,20.89999999,NaN
43326.10069,NaN,10,1.8,0,0,0,20.5,20.8,NaN
43326.10417,NaN,10,1.8,0,0,0,20.5,20.8,NaN
43326.10764,NaN,10,1.8,0,0,0,20.5,20.80000001,NaN
43326.11111,NaN,10,1.8,0,0,0,20.5,20.89999999,NaN
43326.11458,NaN,10,1.8,0,0,0,20.5,20.70000001,NaN
43326.11806,NaN,10,1.8,0,0,0,20.5,20.89999999,NaN
43326.12153,NaN,10,1.8,0,0,0,20.5,21,NaN
43326.125,NaN,10,1.8,0,0,0,20.5,21,NaN
43326.12847,NaN,10,1.8,0,0,0,20.5,21,NaN
43326.13194,NaN,10,1.8,0,0,0,20.5,21,NaN
43326.13542,NaN,10,1.8,0,0,0,20.5,21,NaN
43326.13889,NaN,10,1.8,0,0,0,20.5,21.00000001,NaN
43326.14236,NaN,10,1.8,0,0,0,20.5,21.09999999,NaN
43326.14583,NaN,10,1.8,0,0,0,20.5,21.00000001,NaN
43326.14931,NaN,10,1.8,0,0,0,20.5,20.9,NaN
43326.15278,NaN,10,1.8,0,0,0,20.5,21,NaN
43326.15625,NaN,10,1.8,0,0,0,20.5,21.09999998,NaN
43326.15972,NaN,10,1.8,0,0,0,20.5,20.90000002,NaN
43326.16319,NaN,10,1.8,0,0,0,20.5,20.8,NaN
43326.16667,NaN,10,1.8,0,0,0,20.5,20.9,NaN
43326.17014,NaN,10,1.8,0,0,0,20.5,21,NaN
43326.17361,NaN,10,1.8,0,0,0,20.5,21,NaN
43326.17708,NaN,10,1.8,0,0,0,20.5,20.90000001,NaN
43326.18056,NaN,10,1.8,0,0,0,20.5,21,NaN
43326.18403,NaN,10,1.8,0,0,0,20.5,20.9,NaN
43326.1875,NaN,10,1.8,0,0,0,20.5,20.90000001,NaN
