Date,CO2_vip,dx_vip,heating_temp_vip,net_pipe_vip,assim_vip,scr_enrg_vip,scr_blck_vip,vent_templee_vip,vent_tempwind_vip,lee_wind_min_vip
2/1/2022 0:00,220.0,2.2,5.0,0.0,15.0,100.0,90.0,18.0,20.0,0.0
2/1/2022 0:04,300.0,2.2,5.0,0.0,15.0,100.0,90.0,18.0,20.0,0.0
2/1/2022 0:09,400.0,2.2,5.0,0.0,15.0,100.0,90.0,18.0,20.0,0.0
2/1/2022 0:15,420.0,2.2,5.0,0.0,15.0,100.0,90.0,18.0,20.0,0.0
2/1/2022 0:20,420.0,2.2,5.0,0.0,15.0,100.0,90.0,18.0,20.0,0.0
2/1/2022 0:24,420.0,2.2,5.0,0.0,15.0,100.0,90.0,18.0,20.0,0.0
2/1/2022 0:29,420.0,2.2,5.0,0.0,15.0,100.0,90.0,18.0,20.0,0.0
2/1/2022 0:35,420.0,2.2,5.0,0.0,15.0,100.0,90.0,18.0,20.0,0.0
2/1/2022 0:40,420.0,2.2,5.0,0.0,15.0,100.0,90.0,18.0,20.0,0.0
2/1/2022 0:45,420.0,2.2,5.0,0.0,15.0,100.0,90.0,18.0,20.0,0.0
2/1/2022 0:49,420.0,2.2,5.0,0.0,15.0,100.0,90.0,18.0,20.0,0.0
2/1/2022 0:54,420.0,2.2,5.0,0.0,15.0,100.0,90.0,18.0,20.0,0.0
2/1/2022 1:00,420.0,2.2,5.0,0.0,15.0,100.0,90.0,18.0,20.0,0.0
2/1/2022 1:05,420.0,2.2,5.0,0.0,15.0,100.0,90.0,18.0,20.0,0.0
2/1/2022 1:09,420.0,2.2,5.0,0.0,15.0,100.0,90.0,18.0,20.0,0.0
2/1/2022 1:14,420.0,2.2,5.0,0.0,15.0,100.0,90.0,18.0,20.0,0.0
2/1/2022 1:20,420.0,2.2,5.0,0.0,15.0,100.0,90.0,18.0,20.0,0.0
2/1/2022 1:25,420.0,2.2,5.0,0.0,15.0,100.0,90.0,18.0,20.0,0.0
