Plant Number,Greenhouse Side,Tip-burn,Fresh Weight,Height,Width,Dry Weight,Botrytis,Class A,Class B,Class C
1,L,1,151.90,-,-,-,-,-,-,x
2,L,4,134.50,-,-,-,-,-,-,x
3,L,3,139.70,-,-,-,-,-,-,x
4,L,2,150.70,-,-,-,-,-,-,x
5,L,2,148.10,-,-,-,-,-,-,x
6,L,1,127.60,-,-,-,-,-,-,x
7,L,2,150.70,-,-,-,-,-,-,x
8,L,2,147.40,-,-,-,-,-,-,x
9,L,3,157.50,-,-,-,-,-,-,x
10,L,1,101.70,-,-,-,-,-,-,x
11,L,2,158.40,-,-,-,-,-,-,x
12,L,2,142.20,-,-,-,-,-,-,x
13,L,1,132.10,-,-,-,-,-,-,x
14,L,2,116.30,-,-,-,-,-,-,x
15,L,3,125.00,-,-,-,-,-,-,x
16,L,4,119.70,-,-,-,-,-,-,x
17,L,2,111.10,-,-,-,-,-,-,x
18,L,3,168.20,-,-,-,-,-,-,x
19,L,2,167.30,-,-,-,-,-,-,x
20,L,2,170.40,-,-,-,-,-,-,x
21,L,2,158.00,-,-,-,-,-,-,x
22,L,2,157.90,-,-,-,-,-,-,x
23,L,2,143.30,-,-,-,-,-,-,x
24,L,1,139.10,-,-,-,-,-,-,x
25,L,2,121.60,-,-,-,-,-,-,x
26,L,2,157.40,-,-,-,-,-,-,x
27,L,1,120.60,-,-,-,-,-,-,x
28,L,2,134.10,-,-,-,-,-,-,x
29,L,2,148.20,-,-,-,-,-,-,x
30,L,1,159.90,-,-,-,-,-,-,x
31,L,2,153.40,-,-,-,-,-,-,x
32,L,2,151.30,-,-,-,-,-,-,x
33,L,2,134.50,-,-,-,-,-,-,x
34,L,2,141.90,-,-,-,-,-,-,x
35,L,1,157.90,-,-,-,-,-,-,x
36,L,1,149.20,-,-,-,-,-,-,x
1,R,1,142.00,-,-,-,-,-,-,x
2,R,2,134.90,-,-,-,-,-,-,x
3,R,2,136.60,-,-,-,-,-,-,x
4,R,2,145.60,-,-,-,-,-,-,x
5,R,2,146.80,-,-,-,-,-,-,x
6,R,2,121.70,-,-,-,-,-,-,x
7,R,1,115.50,-,-,-,-,-,-,x
8,R,2,151.20,-,-,-,-,-,-,x
9,R,1,113.50,-,-,-,-,-,-,x
10,R,2,129.40,-,-,-,-,-,-,x
11,R,1,129.50,-,-,-,-,-,-,x
12,R,1,114.50,-,-,-,-,-,-,x
13,R,2,156.20,-,-,-,-,-,-,x
14,R,1,127.10,-,-,-,-,-,-,x
15,R,2,159.70,-,-,-,-,-,-,x
16,R,1,113.60,-,-,-,-,-,-,x
17,R,2,133.60,-,-,-,-,-,-,x
18,R,1,146.90,-,-,-,-,-,-,x
19,R,1,113.10,-,-,-,-,-,-,x
20,R,1,143.40,-,-,-,-,-,-,x
21,R,1,137.60,-,-,-,-,-,-,x
22,R,3,140.50,-,-,-,-,-,-,x
23,R,2,128.60,-,-,-,-,-,-,x
24,R,2,120.70,-,-,-,-,-,-,x
25,R,3,153.70,-,-,-,-,-,-,x
26,R,2,154.60,-,-,-,-,-,-,x
27,R,2,140.40,-,-,-,-,-,-,x
28,R,2,120.60,-,-,-,-,-,-,x
29,R,2,162.40,-,-,-,-,-,-,x
30,R,1,118.60,-,-,-,-,-,-,x
31,R,2,104.80,-,-,-,-,-,-,x
32,R,2,133.60,-,-,-,-,-,-,x
33,R,2,140.50,-,-,-,-,-,-,x
34,R,2,126.70,-,-,-,-,-,-,x
35,R,2,131.40,-,-,-,-,-,-,x
36,R,1,136.80,-,-,-,-,-,-,x
