Plant Number,Greenhouse Side,Tip-burn,Fresh Weight,Height,Width,Dry Weight,Botrytis,Class A,Class B,Class C
1,L,4,229.20,11.00,21.50,9.76,-,-,-,x
2,L,4,231.36,12.50,21.50,9.94,-,-,-,x
3,L,4,344.89,12.00,26.00,16.22,-,-,-,x
4,L,4,304.31,13.00,27.00,12.79,-,-,-,x
5,L,4,313.09,12.00,23.50,13.31,-,-,-,x
6,L,4,291.37,-,-,-,-,-,-,x
7,L,4,281.40,-,-,-,-,-,-,x
8,L,4,284.77,-,-,-,-,-,-,x
9,L,4,324.82,-,-,-,-,-,-,x
10,L,4,317.01,-,-,-,-,-,-,x
11,L,4,369.38,-,-,-,-,-,-,x
12,L,4,324.36,-,-,-,-,-,-,x
13,L,4,276.62,-,-,-,-,-,-,x
14,L,4,293.53,-,-,-,-,-,-,x
15,L,4,308.78,-,-,-,-,-,-,x
16,L,4,285.90,-,-,-,-,-,-,x
17,L,4,314.24,-,-,-,-,-,-,x
18,L,4,278.08,-,-,-,-,-,-,x
19,L,4,322.25,-,-,-,-,-,-,x
20,L,4,299.30,-,-,-,-,-,-,x
21,L,4,309.36,-,-,-,-,-,-,x
22,L,4,302.95,-,-,-,-,-,-,x
23,L,4,282.39,-,-,-,-,-,-,x
24,L,4,285.11,-,-,-,-,-,-,x
25,L,4,272.70,-,-,-,-,-,-,x
26,L,4,306.00,-,-,-,-,-,-,x
27,L,4,297.77,-,-,-,-,-,-,x
28,L,4,292.95,-,-,-,-,-,-,x
29,L,4,260.33,-,-,-,-,-,-,x
30,L,4,319.47,-,-,-,-,-,-,x
31,L,4,334.47,-,-,-,-,-,-,x
32,L,4,341.84,-,-,-,-,-,-,x
33,L,4,346.22,-,-,-,-,-,-,x
34,L,4,235.85,-,-,-,-,-,-,x
35,L,4,328.55,-,-,-,-,-,-,x
36,L,3,289.40,-,-,-,-,-,x,-
1,R,3,268.33,12.50,22.50,12.51,-,-,x,-
2,R,5,180.22,12.00,21.00,8.28,x,-,-,x
3,R,4,235.01,12.50,24.00,9.15,-,-,-,x
4,R,4,292.43,14.00,25.00,11.06,-,-,-,x
5,R,4,285.05,11.50,26.00,12.13,-,-,-,x
6,R,4,280.50,-,-,-,-,-,-,x
7,R,4,278.20,-,-,-,-,-,-,x
8,R,4,270.19,-,-,-,-,-,-,x
9,R,4,283.93,-,-,-,-,-,-,x
10,R,4,302.74,-,-,-,-,-,-,x
11,R,4,302.30,-,-,-,-,-,-,x
12,R,4,308.95,-,-,-,-,-,-,x
13,R,4,289.66,-,-,-,-,-,-,x
14,R,5,238.83,-,-,-,x,-,-,x
15,R,4,268.08,-,-,-,-,-,-,x
16,R,4,240.65,-,-,-,-,-,-,x
17,R,4,319.21,-,-,-,-,-,-,x
18,R,4,320.51,-,-,-,-,-,-,x
19,R,4,280.24,-,-,-,-,-,-,x
20,R,4,262.07,-,-,-,-,-,-,x
21,R,4,205.61,-,-,-,-,-,-,x
22,R,4,279.07,-,-,-,-,-,-,x
23,R,4,285.90,-,-,-,-,-,-,x
24,R,4,265.44,-,-,-,-,-,-,x
25,R,4,284.91,-,-,-,-,-,-,x
26,R,4,286.70,-,-,-,-,-,-,x
27,R,4,282.58,-,-,-,-,-,-,x
28,R,4,301.44,-,-,-,-,-,-,x
29,R,4,276.01,-,-,-,-,-,-,x
30,R,4,316.00,-,-,-,-,-,-,x
31,R,4,285.61,-,-,-,-,-,-,x
32,R,4,282.11,-,-,-,-,-,-,x
33,R,4,255.03,-,-,-,-,-,-,x
34,R,4,294.32,-,-,-,-,-,-,x
35,R,4,272.42,-,-,-,-,-,-,x
36,R,4,271.41,-,-,-,-,-,-,x
