Date,Tair,Rhair,CO2air,HumDef,VentLee,VentWind,AssimLight,EnScr,BlckScr,Tpipe,CO2reg,PARin,Tair_sigrow,Rhair_sigrow,PARin_sigrow,stomata_cond,Netrad_ridder,Transp_ridder,Tleaf_ridder
2/1/2022 0:00,18.90,69.40,421.00,4.95,0.00,0.00,0.00,99.70,99.90,31.40,2.00,0.00,16.49,64.70,,0.00,,,
2/1/2022 0:04,18.80,69.60,423.00,4.89,0.00,0.00,0.00,99.70,99.90,31.70,2.00,0.00,16.49,64.87,-0.04,0.00,,,
2/1/2022 0:09,18.80,69.80,422.00,4.86,0.00,0.00,0.00,99.70,99.90,34.00,2.00,0.00,16.49,65.03,-0.04,0.00,,,
2/1/2022 0:15,18.60,69.80,422.00,4.80,0.00,0.00,0.00,99.70,99.90,34.70,2.00,0.00,16.49,65.20,-0.04,0.00,,,
2/1/2022 0:20,19.00,69.60,422.00,4.94,0.00,0.00,0.00,99.70,99.90,35.10,2.00,0.00,16.49,65.20,-0.04,0.00,,,
2/1/2022 0:24,19.10,69.30,425.00,5.02,0.00,0.00,0.00,99.70,99.90,34.00,2.00,0.00,16.49,65.20,-0.04,0.00,,,
2/1/2022 0:29,19.00,69.30,424.00,4.99,0.00,0.00,0.00,99.70,99.90,33.10,2.00,0.00,16.49,65.20,-0.04,0.00,,,
2/1/2022 0:35,18.80,69.40,424.00,4.92,0.00,0.00,0.00,99.70,99.90,32.20,2.00,0.00,16.49,65.20,-0.04,0.00,,,
2/1/2022 0:40,19.00,69.40,425.00,4.98,0.00,0.00,0.00,99.70,99.90,31.70,2.00,0.00,16.49,65.20,-0.04,0.00,,,
2/1/2022 0:45,18.90,69.50,424.00,4.93,0.00,0.00,0.00,99.70,99.90,32.60,2.00,0.00,16.49,65.20,-0.04,0.00,,,
2/1/2022 0:49,18.70,69.70,423.00,4.84,0.00,0.00,0.00,99.70,99.90,35.50,2.00,0.00,16.49,65.20,-0.04,0.00,,,
2/1/2022 0:54,18.90,69.50,422.00,4.93,0.00,0.00,0.00,99.70,99.90,36.10,2.00,0.00,16.49,65.20,-0.04,0.00,,,
2/1/2022 1:00,19.00,69.10,422.00,5.03,0.00,0.00,0.00,99.70,99.90,35.00,2.00,0.00,16.49,65.20,-0.04,0.00,,,
2/1/2022 1:05,19.20,68.90,422.00,5.12,0.00,0.00,0.00,99.70,99.90,34.50,2.00,0.00,16.51,65.33,-0.04,0.00,,,
2/1/2022 1:09,19.20,68.90,423.00,5.12,0.00,0.00,0.00,99.70,99.90,33.10,2.00,0.00,16.52,65.47,-0.04,0.00,,,
2/1/2022 1:14,19.20,69.00,423.00,5.10,0.00,0.00,0.00,99.70,99.90,32.80,2.00,0.00,16.54,65.60,-0.04,0.00,,,
2/1/2022 1:20,19.20,69.00,425.00,5.10,0.00,0.00,0.00,99.70,99.90,33.20,2.00,0.00,16.55,65.47,-0.04,0.00,,,
2/1/2022 1:25,19.20,69.10,427.00,5.09,0.00,0.00,0.00,99.70,99.90,34.20,2.00,0.00,16.57,65.33,-0.04,0.00,,,
2/1/2022 1:30,19.10,69.00,425.00,5.07,0.00,0.00,0.00,99.70,99.90,34.90,2.00,0.00,16.58,65.20,-0.04,0.00,,,
2/1/2022 1:34,19.40,68.70,427.00,5.21,0.00,0.00,0.00,99.70,99.90,35.40,2.00,0.00,16.60,65.20,-0.04,0.00,,,
2/1/2022 1:39,19.20,68.70,423.00,5.15,0.00,0.00,0.00,99.70,99.90,34.70,2.00,0.00,16.61,65.20,-0.04,0.00,,,
2/1/2022 1:45,19.30,68.60,423.00,5.20,0.00,0.00,0.00,99.70,99.90,33.50,2.00,0.00,16.63,65.20,-0.04,0.00,,,
2/1/2022 1:50,19.40,68.70,421.00,5.21,0.00,0.00,0.00,99.70,99.90,32.70,2.00,0.00,16.66,65.50,-0.04,0.00,,,
2/1/2022 1:54,19.30,68.80,424.00,5.17,0.00,0.00,0.00,99.70,99.90,31.70,2.00,0.00,16.68,65.80,-0.04,0.00,,,
2/1/2022 1:59,19.20,69.10,425.00,5.09,0.00,0.00,0.00,99.70,99.90,30.90,2.00,0.00,16.71,66.10,-0.04,0.00,,,
2/1/2022 2:05,19.10,69.40,427.00,5.01,0.00,0.00,0.00,99.70,99.90,30.20,2.00,0.00,16.70,65.80,-0.04,0.00,,,
2/1/2022 2:10,19.00,69.60,426.00,4.94,0.00,0.00,0.00,99.70,99.90,29.80,2.00,0.00,16.68,65.50,-0.04,0.00,,,
2/1/2022 2:15,18.80,69.80,426.00,4.86,0.00,0.00,0.00,99.70,99.90,30.80,2.00,0.00,16.67,65.20,-0.04,0.00,,,
2/1/2022 2:19,18.80,69.90,429.00,4.84,0.00,0.00,0.00,99.70,99.90,31.70,2.00,0.00,16.64,65.50,-0.04,0.00,,,
2/1/2022 2:24,18.90,69.90,426.00,4.87,0.00,0.00,0.00,99.70,99.90,32.70,2.00,0.00,16.61,65.80,-0.04,0.00,,,
2/1/2022 2:30,19.00,69.80,423.00,4.91,0.00,0.00,0.00,99.70,99.90,33.40,2.00,0.00,16.58,66.10,-0.04,0.00,,,
2/1/2022 2:35,19.20,69.70,423.00,4.99,0.00,0.00,0.00,99.70,99.90,33.80,2.00,0.00,16.60,66.10,-0.04,0.00,,,
2/1/2022 2:39,19.20,69.50,423.00,5.02,0.00,0.00,0.00,99.70,99.90,33.10,2.00,0.00,16.61,66.10,-0.04,0.00,,,
2/1/2022 2:44,19.10,69.50,425.00,4.99,0.00,0.00,0.00,99.70,99.90,32.30,2.00,0.00,16.63,66.10,-0.04,0.00,,,
