Plant Number,Greenhouse Side,Tip-burn,Fresh Weight,Height,Width,Dry Weight,Botrytis,Class A,Class B,Class C
1,L,3,249.14,11.50,26.50,10.71,-,-,x,-
2,L,4,275.80,13.00,26.50,11.54,-,-,-,x
3,L,5,289.18,15.50,30.00,12.24,x,-,-,x
4,L,2,327.65,15.00,31.00,14.70,-,x,-,-
5,L,3,245.25,11.50,30.00,11.94,-,-,x,-
6,L,4,275.32,-,-,-,-,-,-,x
7,L,4,254.00,-,-,-,-,-,-,x
8,L,3,282.00,-,-,-,-,-,x,-
9,L,3,269.86,-,-,-,-,-,x,-
10,L,2,319.32,-,-,-,-,x,-,-
11,L,2,257.00,-,-,-,-,x,-,-
12,L,4,316.50,-,-,-,-,-,-,x
13,L,3,300.60,-,-,-,-,-,x,-
14,L,2,292.46,-,-,-,-,x,-,-
15,L,4,263.30,-,-,-,-,-,-,x
16,L,3,261.39,-,-,-,-,-,x,-
17,L,5,259.42,-,-,-,x,-,-,x
18,L,3,277.51,-,-,-,-,-,x,-
19,L,4,315.50,-,-,-,-,-,-,x
20,L,3,264.31,-,-,-,-,-,x,-
21,L,3,228.33,-,-,-,-,-,x,-
22,L,4,258.73,-,-,-,-,-,-,x
23,L,4,251.70,-,-,-,-,-,-,x
24,L,2,267.80,-,-,-,-,x,-,-
25,L,3,305.90,-,-,-,-,-,x,-
26,L,2,260.60,-,-,-,-,x,-,-
27,L,4,268.62,-,-,-,-,-,-,x
28,L,3,229.80,-,-,-,-,-,x,-
29,L,2,312.93,-,-,-,-,x,-,-
30,L,5,223.45,-,-,-,-,-,-,x
31,L,2,289.20,-,-,-,-,x,-,-
32,L,2,247.00,-,-,-,-,x,-,-
33,L,2,324.68,-,-,-,-,x,-,-
34,L,4,261.72,-,-,-,-,-,-,x
35,L,2,288.13,-,-,-,-,x,-,-
36,L,2,246.40,-,-,-,-,x,-,-
1,R,2,308.66,14.00,30.00,14.54,-,x,-,-
2,R,2,260.63,12.50,29.00,11.12,-,x,-,-
3,R,2,254.45,12.00,29.00,10.92,-,x,-,-
4,R,2,336.60,13.50,29.00,10.75,-,x,-,-
5,R,3,242.41,13.50,26.00,14.13,-,-,x,-
6,R,2,266.00,-,-,-,-,x,-,-
7,R,1,271.86,-,-,-,-,x,-,-
8,R,2,256.80,-,-,-,-,x,-,-
9,R,2,277.02,-,-,-,-,x,-,-
10,R,3,239.18,-,-,-,-,-,x,-
11,R,3,219.31,-,-,-,-,-,x,-
12,R,2,282.80,-,-,-,-,x,-,-
13,R,2,266.07,-,-,-,-,x,-,-
14,R,2,291.05,-,-,-,-,x,-,-
15,R,3,265.30,-,-,-,-,-,x,-
16,R,4,289.40,-,-,-,-,-,-,x
17,R,2,229.08,-,-,-,-,x,-,-
18,R,3,242.80,-,-,-,-,-,x,-
19,R,3,277.80,-,-,-,-,-,x,-
20,R,4,208.18,-,-,-,-,-,-,x
21,R,2,270.77,-,-,-,-,x,-,-
22,R,4,257.21,-,-,-,-,-,-,x
23,R,2,279.34,-,-,-,-,x,-,-
24,R,3,237.40,-,-,-,-,-,x,-
25,R,3,255.65,-,-,-,-,-,x,-
26,R,3,251.35,-,-,-,-,-,x,-
27,R,2,285.13,-,-,-,-,x,-,-
28,R,2,254.68,-,-,-,-,x,-,-
29,R,2,278.60,-,-,-,-,x,-,-
30,R,2,290.40,-,-,-,-,x,-,-
31,R,4,246.60,-,-,-,-,-,-,x
32,R,2,273.33,-,-,-,-,x,-,-
33,R,2,310.28,-,-,-,-,x,-,-
34,R,4,215.00,-,-,-,-,-,-,x
35,R,3,261.50,-,-,-,-,-,x,-
36,R,2,277.27,-,-,-,-,x,-,-
