Plant Number,Greenhouse Side,Tip-burn,Fresh Weight,Height,Width,Dry Weight,Botrytis,Class A,Class B,Class C
1,L,1,322.70,18.50,33.50,12.08,-,x,-,-
2,L,1,353.25,22.50,29.00,13.33,-,x,-,-
3,L,1,263.50,18.50,29.00,8.29,-,x,-,-
4,L,1,262.07,18.50,32.50,8.35,-,x,-,-
5,L,1,279.30,19.00,35.00,9.49,-,x,-,-
6,L,3,267.20,-,-,-,-,-,-,x
7,L,1,265.52,-,-,-,-,x,-,-
8,L,1,277.62,-,-,-,-,x,-,-
9,L,1,273.30,-,-,-,-,x,-,-
10,L,1,221.59,-,-,-,-,x,-,-
11,L,1,274.44,-,-,-,-,x,-,-
12,L,1,313.12,-,-,-,-,x,-,-
13,L,1,293.69,-,-,-,-,x,-,-
14,L,1,222.48,-,-,-,-,x,-,-
15,L,2,289.83,-,-,-,-,x,-,-
16,L,1,257.41,-,-,-,-,x,-,-
17,L,1,253.34,-,-,-,-,x,-,-
18,L,1,253.86,-,-,-,-,x,-,-
19,L,1,247.58,-,-,-,-,x,-,-
20,L,1,269.52,-,-,-,-,x,-,-
21,L,1,310.12,-,-,-,-,x,-,-
22,L,1,268.09,-,-,-,-,x,-,-
23,L,1,233.69,-,-,-,-,x,-,-
24,L,1,254.77,-,-,-,-,x,-,-
25,L,1,264.01,-,-,-,-,x,-,-
26,L,1,259.30,-,-,-,-,x,-,-
27,L,1,272.17,-,-,-,-,x,-,-
28,L,1,287.12,-,-,-,-,x,-,-
29,L,1,270.07,-,-,-,-,x,-,-
30,L,1,255.88,-,-,-,-,x,-,-
31,L,1,255.42,-,-,-,-,x,-,-
32,L,1,292.28,-,-,-,-,x,-,-
33,L,1,281.76,-,-,-,-,x,-,-
34,L,1,289.50,-,-,-,-,x,-,-
35,L,1,310.68,-,-,-,-,x,-,-
36,L,2,321.95,-,-,-,-,x,-,-
1,R,1,250.87,17.50,28.00,7.93,-,x,-,-
2,R,1,255.71,19.00,32.00,9.09,-,x,-,-
3,R,1,251.24,19.00,32.50,8.03,-,x,-,-
4,R,1,244.42,17.00,34.00,7.98,-,x,-,-
5,R,1,251.48,18.50,31.50,8.62,-,x,-,-
6,R,1,243.63,-,-,-,-,x,-,-
7,R,1,206.57,-,-,-,-,-,x,-
8,R,1,190.20,-,-,-,-,-,x,-
9,R,1,272.80,-,-,-,-,x,-,-
10,R,1,249.17,-,-,-,-,x,-,-
11,R,1,245.50,-,-,-,-,x,-,-
12,R,1,243.00,-,-,-,-,x,-,-
13,R,1,241.70,-,-,-,-,x,-,-
14,R,1,229.06,-,-,-,-,x,-,-
15,R,1,242.91,-,-,-,-,x,-,-
16,R,1,211.82,-,-,-,-,-,x,-
17,R,1,219.80,-,-,-,-,-,x,-
18,R,1,245.95,-,-,-,-,x,-,-
19,R,1,223.92,-,-,-,-,x,-,-
20,R,1,218.15,-,-,-,-,-,x,-
21,R,1,239.07,-,-,-,-,x,-,-
22,R,1,258.98,-,-,-,-,x,-,-
23,R,1,258.34,-,-,-,-,x,-,-
24,R,1,242.87,-,-,-,-,x,-,-
25,R,1,218.50,-,-,-,-,-,x,-
26,R,1,216.74,-,-,-,-,-,x,-
27,R,1,219.81,-,-,-,-,-,x,-
28,R,1,247.17,-,-,-,-,x,-,-
29,R,1,289.65,-,-,-,-,x,-,-
30,R,1,245.84,-,-,-,-,x,-,-
31,R,1,231.45,-,-,-,-,x,-,-
32,R,1,230.01,-,-,-,-,x,-,-
33,R,1,248.49,-,-,-,-,x,-,-
34,R,1,229.05,-,-,-,-,x,-,-
35,R,1,225.33,-,-,-,-,x,-,-
36,R,1,253.36,-,-,-,-,x,-,-
