Plant Number,Greenhouse Side,Tip-burn,Fresh Weight,Height,Width,Dry Weight,Botrytis,Class A,Class B,Class C
1,L,4,235.18,14.00,21.00,13.80,-,-,-,x
2,L,4,210.85,10.50,20.00,10.79,-,-,-,x
3,L,5,161.72,12.00,22.00,11.59,x,-,-,x
4,L,4,198.89,12.00,20.00,11.37,-,-,-,x
5,L,4,268.52,13.00,22.50,14.14,-,-,-,x
6,L,4,153.18,-,-,-,x,-,-,x
7,L,4,227.34,-,-,-,-,-,-,x
8,L,4,181.24,-,-,-,x,-,-,x
9,L,4,225.32,-,-,-,-,-,-,x
10,L,4,229.18,-,-,-,-,-,-,x
11,L,4,211.36,-,-,-,-,-,-,x
12,L,4,208.68,-,-,-,-,-,-,x
13,L,4,217.70,-,-,-,-,-,-,x
14,L,4,251.08,-,-,-,-,-,-,x
15,L,4,236.30,-,-,-,-,-,-,x
16,L,4,202.85,-,-,-,x,-,-,x
17,L,4,206.55,-,-,-,-,-,-,x
18,L,4,182.27,-,-,-,-,-,-,x
19,L,4,223.71,-,-,-,-,-,-,x
20,L,5,186.92,-,-,-,x,-,-,x
21,L,4,214.76,-,-,-,-,-,-,x
22,L,4,186.96,-,-,-,-,-,-,x
23,L,4,154.19,-,-,-,-,-,-,x
24,L,4,214.48,-,-,-,-,-,-,x
25,L,4,253.28,-,-,-,-,-,-,x
26,L,4,236.94,-,-,-,-,-,-,x
27,L,4,173.18,-,-,-,x,-,-,x
28,L,4,197.45,-,-,-,x,-,-,x
29,L,4,226.80,-,-,-,-,-,-,x
30,L,4,207.22,-,-,-,x,-,-,x
31,L,4,187.53,-,-,-,x,-,-,x
32,L,4,227.30,-,-,-,x,-,-,x
33,L,4,243.42,-,-,-,x,-,-,x
34,L,4,178.87,-,-,-,x,-,-,x
35,L,4,231.30,-,-,-,-,-,-,x
36,L,4,246.11,-,-,-,x,-,-,x
1,R,4,151.78,12.00,19.00,8.80,x,-,-,x
2,R,4,194.68,12.00,22.00,10.74,-,-,-,x
3,R,4,210.64,12.00,23.00,11.00,-,-,-,x
4,R,4,162.34,11.50,20.00,9.32,x,-,-,x
5,R,4,174.62,9.50,23.00,9.54,x,-,-,x
6,R,4,198.74,-,-,-,x,-,-,x
7,R,4,205.83,-,-,-,-,-,-,x
8,R,4,213.85,-,-,-,-,-,-,x
9,R,4,197.29,-,-,-,x,-,-,x
10,R,4,184.97,-,-,-,x,-,-,x
11,R,4,200.96,-,-,-,-,-,-,x
12,R,4,216.10,-,-,-,-,-,-,x
13,R,4,183.20,-,-,-,x,-,-,x
14,R,4,204.30,-,-,-,x,-,-,x
15,R,4,221.16,-,-,-,x,-,-,x
16,R,4,204.92,-,-,-,-,-,-,x
17,R,4,194.28,-,-,-,x,-,-,x
18,R,4,178.32,-,-,-,x,-,-,x
19,R,4,174.06,-,-,-,x,-,-,x
20,R,4,200.55,-,-,-,-,-,-,x
21,R,4,205.17,-,-,-,-,-,-,x
22,R,4,188.60,-,-,-,x,-,-,x
23,R,4,180.32,-,-,-,x,-,-,x
24,R,4,188.48,-,-,-,x,-,-,x
25,R,4,200.53,-,-,-,x,-,-,x
26,R,4,211.82,-,-,-,x,-,-,x
27,R,4,213.01,-,-,-,x,-,-,x
28,R,4,175.43,-,-,-,x,-,-,x
29,R,4,193.59,-,-,-,x,-,-,x
30,R,4,181.50,-,-,-,x,-,-,x
31,R,4,185.69,-,-,-,-,-,-,x
32,R,4,214.60,-,-,-,x,-,-,x
33,R,4,249.73,-,-,-,-,-,-,x
34,R,4,220.00,-,-,-,-,-,-,x
35,R,4,210.54,-,-,-,x,-,-,x
36,R,4,241.74,-,-,-,-,-,-,x
