lamp_opening,timestamp,thermal_opening,blackout_opening,co2_Air,rh_Air,T_Air,par,humidity_deficit,lee_vent,wind_vent,net_radiation__ridder,T_Canopy__ridder,transpiration__ridder,rh_Air__sigrow,T_Air__sigrow,par__sigrow,stomata_conductivity__sigrow
,2022-05-02 13:15:00,0.1,0.3,569.0,64.6,23.5,1300.0,7.48,39.6,42.6,,,,44.8,27.8,651.0,0.0025
,2022-05-02 13:30:00,0.1,0.3,537.0,61.9,21.5,363.0,7.18,0.0,0.0,316.4,27.4,59.7,45.5,26.02,808.0,0.0025
,2022-05-02 13:45:00,0.1,0.3,514.0,50.9,22.7,1565.0,9.91,23.4,22.2,330.0,27.7,62.3,48.6,25.45,1270.0,0.0025
,2022-05-02 14:00:00,0.1,0.3,520.0,54.1,23.5,1270.0,9.7,59.3,41.1,,,,43.8,26.28,297.0,0.0
,2022-05-02 14:15:00,0.1,0.3,509.0,52.1,23.9,1525.0,10.35,56.9,47.6,337.9,28.0,64.8,48.6,25.5,496.0,0.0
,2022-05-02 14:30:00,0.1,0.3,520.0,59.9,22.6,1478.0,8.05,22.7,22.8,,,,53.9,24.84,458.0,0.0
,2022-05-02 14:45:00,0.1,0.3,479.0,55.9,22.1,358.0,8.6,30.7,23.2,,,,47.6,24.76,520.0,0.0025
,2022-05-02 15:00:00,0.1,0.3,483.0,52.6,22.5,1151.0,9.46,58.3,44.2,403.2,28.7,92.2,47.6,24.23,518.0,0.0
,2022-05-02 15:15:00,0.1,0.3,492.0,56.2,22.9,372.0,8.94,62.0,39.9,417.8,29.4,96.5,53.7,23.37,406.0,0.0
,2022-05-02 15:30:00,0.1,0.3,472.0,54.0,22.2,377.0,9.02,90.7,47.9,,,,52.3,24.24,394.0,0.0
,2022-05-02 15:45:00,0.1,0.3,468.0,55.3,22.4,307.0,8.87,63.6,25.9,377.8,26.9,84.2,46.6,22.98,306.0,0.0
,2022-05-02 16:00:00,0.1,0.3,473.0,55.1,22.0,302.0,8.7,77.5,38.7,383.0,27.7,86.4,41.9,23.33,305.0,0.0
,2022-05-02 16:15:00,0.1,0.3,460.0,56.1,20.4,234.0,7.76,63.7,32.7,,,,45.4,23.24,242.0,0.0
,2022-05-02 16:30:00,0.1,0.3,451.0,51.8,20.6,223.0,8.62,76.0,37.6,318.0,25.3,65.4,41.8,22.77,217.0,0.0025
,2022-05-02 16:45:00,0.1,0.3,473.0,54.5,20.4,212.0,8.04,68.0,27.3,295.9,25.9,58.8,47.2,22.18,182.0,0.0
,2022-05-02 17:00:00,0.1,0.3,462.0,57.9,20.0,203.0,7.26,61.3,38.3,,,,45.1,22.05,184.0,0.0
