days,timestamp,effective_plant_density,fixed_total_wur,fixed_plants,fixed_gh,fixed_light,fixed_co2,var_electricity,var_gas,var_co2,var_penalty,plant_density
1,2022-05-03,0.0,3.927,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,90.0
2,2022-05-04,90.0,4.036,10.8,0.047,0.052,0.004,0.016,0.028,0.001,0.0,90.0
3,2022-05-05,90.0,4.146,10.8,0.093,0.104,0.008,0.024,0.045,0.002,0.0,90.0
4,2022-05-06,90.0,4.255,10.8,0.14,0.155,0.012,0.055,0.057,0.004,0.0,90.0
5,2022-05-07,90.0,4.364,10.8,0.186,0.207,0.016,0.079,0.068,0.007,0.0,90.0
6,2022-05-08,90.0,4.474,10.8,0.233,0.259,0.021,0.09,0.076,0.009,0.0,90.0
7,2022-05-09,90.0,4.583,10.8,0.279,0.311,0.025,0.099,0.087,0.012,0.0,90.0
8,2022-05-10,90.0,4.692,10.8,0.326,0.362,0.029,0.108,0.098,0.016,0.0,90.0
9,2022-05-11,90.0,4.802,10.8,0.373,0.414,0.033,0.136,0.104,0.02,0.0,90.0
10,2022-05-12,90.0,4.911,10.8,0.419,0.466,0.037,0.151,0.115,0.024,0.0,90.0
11,2022-05-13,90.0,5.02,10.8,0.466,0.518,0.041,0.157,0.129,0.028,0.0,90.0
12,2022-05-14,86.0833,5.175,10.33,0.512,0.57,0.045,0.171,0.144,0.033,0.0,58.2
13,2022-05-15,83.075,5.288,9.969,0.559,0.621,0.049,0.179,0.157,0.037,0.0,58.5
14,2022-05-16,80.6917,5.401,9.683,0.605,0.673,0.053,0.182,0.167,0.043,0.0,58.8
15,2022-05-17,78.75,5.515,9.45,0.652,0.725,0.058,0.205,0.182,0.049,0.0,58.9
16,2022-05-18,77.1417,5.629,9.257,0.699,0.777,0.062,0.23,0.193,0.056,0.0,59.1
17,2022-05-19,75.7917,5.742,9.095,0.745,0.828,0.066,0.23,0.213,0.061,0.0,59.2
18,2022-05-20,74.6333,5.855,8.956,0.792,0.88,0.07,0.246,0.248,0.068,0.0,59.2
19,2022-05-21,72.0,6.043,8.64,0.838,0.932,0.074,0.3,0.269,0.077,0.0,44.0
20,2022-05-22,69.8,6.16,8.376,0.885,0.984,0.078,0.3,0.301,0.083,0.0,44.2
21,2022-05-23,67.925,6.278,8.151,0.932,1.036,0.082,0.3,0.319,0.089,0.0,44.2
22,2022-05-24,66.3167,6.395,7.958,0.978,1.087,0.086,0.33,0.35,0.097,0.0,44.3
23,2022-05-25,64.9167,6.513,7.79,1.025,1.139,0.09,0.351,0.397,0.104,0.0,44.3
24,2022-05-26,63.6917,6.63,7.643,1.071,1.191,0.095,0.351,0.443,0.111,0.0,44.4
25,2022-05-27,62.6083,6.748,7.513,1.118,1.243,0.099,0.351,0.501,0.12,0.0,44.5
26,2022-05-28,60.0,6.968,7.2,1.164,1.295,0.103,0.351,0.558,0.127,0.0,29.4
27,2022-05-29,57.775,7.09,6.933,1.211,1.346,0.107,0.351,0.599,0.134,0.0,29.4
28,2022-05-30,55.8583,7.212,6.703,1.258,1.398,0.111,0.368,0.64,0.142,0.0,29.5
29,2022-05-31,54.1917,7.333,6.503,1.304,1.45,0.115,0.368,0.671,0.147,0.0,29.5
30,2022-06-01,52.725,7.455,6.327,1.351,1.502,0.119,0.368,0.701,0.153,0.0,29.5
31,2022-06-02,51.425,7.577,6.171,1.397,1.553,0.123,0.368,0.746,0.161,0.0,29.6
32,2022-06-03,50.2667,7.698,6.032,1.444,1.605,0.127,0.368,0.771,0.169,0.0,29.6
33,2022-06-04,48.4,7.952,5.808,1.49,1.657,0.132,0.368,0.795,0.177,0.0,22.1
34,2022-06-05,46.775,8.076,5.613,1.537,1.709,0.136,0.368,0.835,0.186,0.0,22.2
35,2022-06-06,45.3333,8.203,5.44,1.584,1.761,0.14,0.381,0.875,0.194,0.0,22.1
36,2022-06-07,44.0583,8.328,5.287,1.63,1.812,0.144,0.381,0.935,0.202,0.0,22.2
37,2022-06-08,42.35,8.602,5.082,1.677,1.864,0.148,0.381,0.98,0.212,0.0,17.7
38,2022-06-09,40.8583,8.732,4.903,1.723,1.916,0.152,0.395,1.023,0.222,0.0,17.7
39,2022-06-10,39.5417,8.861,4.745,1.77,1.968,0.156,0.407,1.057,0.233,0.0,17.8
40,2022-06-11,38.3583,8.992,4.603,1.816,2.019,0.16,0.416,1.09,0.245,0.0,17.7
41,2022-06-12,37.3083,9.121,4.477,1.863,2.071,0.164,0.416,1.12,0.256,0.0,17.8
42,2022-06-13,36.3583,9.251,4.363,1.91,2.123,0.168,0.416,1.152,0.267,0.0,17.8
43,2022-06-14,35.4917,9.381,4.259,1.956,2.175,0.173,0.416,1.198,0.276,0.0,17.7
