Date,Tout ,Rhout,Iglob,Windsp,RadSum,Winddir,Rain,PARout,Pyrgeo ,AbsHumOut
2/1/2022 0:00,5.10,77.10,1.00,4.40,0.00,128.00,0.00,0.00,-78.00,5.28
2/1/2022 0:04,4.90,77.40,0.00,4.40,0.00,128.00,0.00,0.00,-76.00,5.23
2/1/2022 0:09,4.80,78.00,0.00,4.40,0.00,128.00,0.00,0.00,-72.00,5.24
2/1/2022 0:15,5.00,78.80,0.00,4.00,0.00,128.00,0.00,0.00,-72.00,5.36
2/1/2022 0:20,5.10,78.90,0.00,4.00,0.00,128.00,0.00,0.00,-69.00,5.41
2/1/2022 0:24,4.80,78.90,0.00,4.00,0.00,128.00,0.00,0.00,-70.00,5.30
2/1/2022 0:29,4.80,78.50,0.00,4.00,0.00,128.00,0.00,0.00,-71.00,5.27
2/1/2022 0:35,4.80,77.50,0.00,4.50,0.00,128.00,0.00,0.00,-67.00,5.21
2/1/2022 0:40,5.00,78.00,0.00,4.50,0.00,128.00,0.00,0.00,-56.00,5.31
2/1/2022 0:45,5.10,78.00,0.00,5.00,0.00,128.00,0.00,0.00,-39.00,5.35
2/1/2022 0:49,5.20,78.10,0.00,5.00,0.00,64.00,0.00,0.00,-60.00,5.39
2/1/2022 0:54,5.10,77.50,0.00,5.00,0.00,64.00,0.00,0.00,-75.00,5.31
2/1/2022 1:00,4.80,77.50,0.00,5.00,0.00,64.00,0.00,0.00,-72.00,5.21
2/1/2022 1:05,4.90,78.30,0.00,5.00,0.00,64.00,0.00,0.00,-64.00,5.30
2/1/2022 1:09,4.80,78.40,0.00,5.00,0.00,64.00,0.00,0.00,-51.00,5.27
2/1/2022 1:14,5.10,77.70,0.00,5.00,0.00,64.00,0.00,0.00,-49.00,5.33
2/1/2022 1:20,5.20,77.40,0.00,5.00,0.00,64.00,0.00,0.00,-42.00,5.34
2/1/2022 1:25,5.20,77.50,0.00,5.00,0.00,64.00,0.00,0.00,-35.00,5.35
2/1/2022 1:30,5.20,78.00,0.00,5.00,0.00,64.00,0.00,0.00,-20.00,5.38
2/1/2022 1:34,5.20,78.50,0.00,4.00,0.00,64.00,0.00,0.00,-19.00,5.42
2/1/2022 1:39,5.20,77.30,0.00,4.00,0.00,64.00,0.00,0.00,-26.00,5.33
2/1/2022 1:45,5.10,78.00,0.00,4.00,0.00,64.00,0.00,0.00,-43.00,5.35
2/1/2022 1:50,4.90,78.60,0.00,3.50,0.00,64.00,0.00,0.00,-54.00,5.32
2/1/2022 1:54,4.70,78.90,0.00,3.00,0.00,64.00,0.00,0.00,-58.00,5.27
2/1/2022 1:59,4.90,79.40,0.00,3.00,0.00,64.00,0.00,0.00,-35.00,5.37
2/1/2022 2:05,5.00,79.60,0.00,3.00,1.00,64.00,0.00,0.00,-25.00,5.42
2/1/2022 2:10,5.30,75.90,0.00,5.30,1.00,64.00,0.00,0.00,-28.00,5.27
2/1/2022 2:15,5.50,74.90,0.00,6.40,1.00,64.00,0.00,0.00,-31.00,5.27
2/1/2022 2:19,5.50,74.40,0.00,6.90,1.00,64.00,0.00,0.00,-35.00,5.24
2/1/2022 2:24,5.30,75.20,0.00,6.90,1.00,64.00,0.00,0.00,-33.00,5.22
2/1/2022 2:30,5.50,74.00,0.00,6.90,1.00,64.00,0.00,0.00,-34.00,5.21
2/1/2022 2:35,5.50,73.60,0.00,5.90,1.00,64.00,0.00,0.00,-24.00,5.18
2/1/2022 2:39,5.40,74.70,0.00,5.40,1.00,64.00,0.00,0.00,-29.00,5.22
2/1/2022 2:44,5.30,74.90,0.00,4.90,1.00,64.00,0.00,0.00,-33.00,5.20
2/1/2022 2:50,5.50,74.80,0.00,4.90,1.00,64.00,0.00,0.00,-35.00,5.27
2/1/2022 2:55,5.70,75.10,0.00,4.90,1.00,64.00,0.00,0.00,-41.00,5.36
2/1/2022 3:00,5.60,75.20,0.00,4.90,1.00,64.00,0.00,0.00,-46.00,5.33
2/1/2022 3:04,5.60,75.60,0.00,4.90,1.00,64.00,0.00,0.00,-53.00,5.36
2/1/2022 3:09,5.50,75.80,0.00,5.40,1.00,64.00,0.00,0.00,-57.00,5.34
2/1/2022 3:15,5.30,76.30,0.00,5.40,1.00,64.00,0.00,0.00,-45.00,5.30
2/1/2022 3:20,5.40,76.80,0.00,5.40,1.00,64.00,0.00,0.00,-35.00,5.37
2/1/2022 3:24,5.40,77.20,0.00,5.40,1.00,64.00,0.00,0.00,-34.00,5.40
2/1/2022 3:29,5.40,77.30,0.00,5.40,1.00,64.00,0.00,0.00,-35.00,5.40
2/1/2022 3:35,5.40,77.20,0.00,5.40,1.00,64.00,0.00,0.00,-32.00,5.40
2/1/2022 3:40,5.30,77.70,0.00,5.40,1.00,64.00,0.00,0.00,-27.00,5.40
2/1/2022 3:45,5.50,76.90,0.00,5.40,1.00,64.00,0.00,0.00,-26.00,5.41
2/1/2022 3:49,5.50,76.60,0.00,5.40,1.00,64.00,0.00,0.00,-27.00,5.39
2/1/2022 3:54,5.50,76.90,0.00,5.40,1.00,64.00,0.00,0.00,-28.00,5.41
2/1/2022 4:00,5.60,76.90,0.00,5.40,1.00,64.00,0.00,0.00,-28.00,5.45
2/1/2022 4:05,5.70,76.50,0.00,5.40,1.00,64.00,0.00,0.00,-28.00,5.46
2/1/2022 4:09,5.80,76.60,0.00,5.40,1.00,64.00,0.00,0.00,-26.00,5.50
2/1/2022 4:14,5.80,76.80,0.00,5.40,1.00,64.00,0.00,0.00,-26.00,5.51
2/1/2022 4:20,5.70,77.90,0.00,5.40,1.00,64.00,0.00,0.00,-26.00,5.56
2/1/2022 4:25,5.80,78.20,0.00,5.40,1.00,64.00,0.00,0.00,-27.00,5.61
2/1/2022 4:30,5.90,77.40,0.00,5.40,1.00,64.00,0.00,0.00,-25.00,5.59
2/1/2022 4:34,5.90,77.30,0.00,5.40,1.00,64.00,0.00,0.00,-24.00,5.59
2/1/2022 4:39,5.90,77.40,0.00,5.40,1.00,64.00,0.00,0.00,-24.00,5.59
2/1/2022 4:45,5.90,78.00,0.00,5.40,1.00,64.00,0.00,0.00,-24.00,5.64
2/1/2022 4:50,5.90,79.00,0.00,6.20,1.00,64.00,0.00,0.00,-24.00,5.71
2/1/2022 4:54,6.00,80.30,0.00,6.20,1.00,64.00,0.00,0.00,-22.00,5.84
2/1/2022 4:59,6.00,81.50,0.00,6.70,1.00,64.00,0.00,0.00,-19.00,5.93
2/1/2022 5:05,6.10,82.50,0.00,6.70,1.00,64.00,0.00,0.00,-20.00,6.04
2/1/2022 5:10,6.10,83.50,0.00,6.70,1.00,64.00,0.00,0.00,-18.00,6.11
2/1/2022 5:15,6.10,84.30,0.00,6.70,1.00,64.00,0.00,0.00,-16.00,6.17
2/1/2022 5:19,6.00,85.40,0.00,6.70,1.00,64.00,0.00,0.00,-16.00,6.21
2/1/2022 5:24,6.10,87.10,0.00,6.70,1.00,64.00,0.00,0.00,-20.00,6.38
2/1/2022 5:30,6.00,88.00,0.00,7.70,1.00,64.00,0.00,0.00,-18.00,6.40
2/1/2022 5:35,6.10,88.20,0.00,7.70,1.00,64.00,0.00,0.00,-19.00,6.46
2/1/2022 5:39,6.10,88.20,0.00,7.70,1.00,64.00,0.00,0.00,-20.00,6.46
2/1/2022 5:44,6.00,88.50,0.00,7.70,1.00,64.00,0.00,0.00,-20.00,6.44
2/1/2022 5:50,6.10,88.60,0.00,7.70,1.00,64.00,0.00,0.00,-18.00,6.49
2/1/2022 5:55,6.00,88.70,0.00,7.20,1.00,64.00,0.00,0.00,-15.00,6.45
2/1/2022 6:00,6.00,88.60,0.00,6.70,1.00,64.00,0.00,0.00,-12.00,6.44
2/1/2022 6:04,6.00,89.50,1.00,6.20,1.00,64.00,0.00,0.00,-10.00,6.51
2/1/2022 6:09,6.10,90.00,1.00,6.20,1.00,64.00,0.00,0.00,-10.00,6.59
2/1/2022 6:15,6.00,90.60,0.00,5.70,1.00,64.00,0.00,0.00,-8.00,6.59
2/1/2022 6:20,6.00,91.80,0.00,5.20,1.00,64.00,0.00,0.00,-9.00,6.68
2/1/2022 6:24,5.90,92.00,0.00,5.20,1.00,64.00,0.00,0.00,-8.00,6.65
2/1/2022 6:29,6.00,93.00,0.00,5.20,1.00,64.00,0.00,0.00,-7.00,6.76
2/1/2022 6:35,6.00,94.00,0.00,5.20,1.00,64.00,0.00,0.00,-8.00,6.83
2/1/2022 6:40,6.10,94.70,0.00,5.20,1.00,64.00,0.00,0.00,-7.00,6.93
2/1/2022 6:45,6.20,94.90,0.00,5.20,1.00,64.00,0.00,0.00,-8.00,6.99
2/1/2022 6:49,6.30,94.60,0.00,5.90,1.00,64.00,1.00,0.00,-8.00,7.02
2/1/2022 6:54,6.20,95.80,0.00,6.40,1.00,64.00,0.00,0.00,-7.00,7.06
2/1/2022 7:00,6.20,96.10,0.00,6.40,1.00,64.00,0.00,0.00,-6.00,7.08
2/1/2022 7:05,6.20,96.70,0.00,6.40,1.00,64.00,0.00,0.00,-6.00,7.12
2/1/2022 7:09,6.10,96.70,0.00,6.40,1.00,64.00,0.00,0.00,-5.00,7.08
2/1/2022 7:14,6.30,97.30,0.00,6.40,1.00,64.00,1.00,0.00,-6.00,7.22
2/1/2022 7:20,6.30,96.80,0.00,6.90,1.00,64.00,0.00,0.00,-6.00,7.18
2/1/2022 7:25,6.30,97.10,0.00,8.00,1.00,64.00,0.00,0.00,-6.00,7.20
2/1/2022 7:30,6.30,97.50,0.00,8.00,1.00,64.00,0.00,0.00,-7.00,7.23
2/1/2022 7:34,6.50,96.80,0.00,7.50,1.00,64.00,0.00,0.00,-6.00,7.27
2/1/2022 7:39,6.40,97.40,0.00,7.50,1.00,64.00,0.00,0.00,-6.00,7.27
2/1/2022 7:45,6.50,95.90,0.00,8.60,1.00,64.00,0.00,0.00,-6.00,7.21
2/1/2022 7:50,6.50,95.80,0.00,9.10,1.00,64.00,0.00,0.00,-6.00,7.20
2/1/2022 7:54,6.50,95.80,0.00,9.10,1.00,64.00,0.00,0.00,-6.00,7.20
2/1/2022 7:59,6.60,97.20,0.00,9.40,1.00,64.00,0.00,0.00,-7.00,7.35
2/1/2022 8:05,6.60,98.00,0.00,9.40,1.00,64.00,1.00,0.00,-6.00,7.41
2/1/2022 8:10,6.40,98.70,0.00,9.40,1.00,64.00,1.00,0.00,-6.00,7.37
2/1/2022 8:15,6.50,99.40,0.00,9.40,1.00,64.00,1.00,0.00,-5.00,7.47
2/1/2022 8:19,6.60,99.50,0.00,9.40,1.00,64.00,1.00,0.00,-5.00,7.52
2/1/2022 8:24,6.60,99.40,1.00,9.40,1.00,64.00,1.00,0.00,-5.00,7.52
2/1/2022 8:30,6.60,99.40,2.00,8.90,1.00,64.00,1.00,1.00,-5.00,7.52
2/1/2022 8:35,6.70,99.40,3.00,8.90,1.00,64.00,1.00,3.00,-5.00,7.57
2/1/2022 8:39,6.70,99.40,3.00,9.60,1.00,64.00,1.00,9.00,-5.00,7.57
2/1/2022 8:44,6.60,99.30,5.00,9.60,1.00,64.00,1.00,10.00,-4.00,7.51
2/1/2022 8:50,6.70,99.40,9.00,9.10,1.00,64.00,1.00,13.00,-4.00,7.57
2/1/2022 8:55,6.90,99.40,9.00,9.10,2.00,64.00,1.00,15.00,-5.00,7.67
2/1/2022 9:00,6.90,99.50,8.00,9.30,2.00,64.00,1.00,13.00,-4.00,7.67
2/1/2022 9:04,7.00,99.50,8.00,9.30,2.00,64.00,1.00,17.00,-5.00,7.72
2/1/2022 9:09,6.90,99.30,12.00,9.30,2.00,64.00,1.00,24.00,-4.00,7.66
2/1/2022 9:15,6.90,99.40,10.00,10.00,3.00,64.00,1.00,21.00,-3.00,7.67
2/1/2022 9:20,7.00,99.30,11.00,10.00,3.00,64.00,1.00,22.00,-4.00,7.71
2/1/2022 9:24,7.00,99.50,16.00,10.00,3.00,64.00,1.00,24.00,-4.00,7.72
2/1/2022 9:29,6.90,99.30,20.00,11.00,4.00,64.00,1.00,34.00,-4.00,7.66
2/1/2022 9:35,7.00,99.40,25.00,11.00,5.00,64.00,1.00,52.00,-5.00,7.72
2/1/2022 9:40,7.00,99.50,22.00,11.00,5.00,64.00,1.00,51.00,-3.00,7.72
2/1/2022 9:45,7.00,99.50,18.00,11.00,6.00,64.00,1.00,40.00,-4.00,7.72
2/1/2022 9:49,7.00,99.30,20.00,10.50,6.00,64.00,1.00,36.00,-3.00,7.71
2/1/2022 9:54,7.00,99.30,19.00,10.50,7.00,64.00,1.00,47.00,-3.00,7.71
2/1/2022 10:00,7.10,99.50,23.00,10.00,8.00,64.00,1.00,42.00,-4.00,7.78
2/1/2022 10:05,7.10,99.50,32.00,9.50,9.00,64.00,1.00,75.00,-4.00,7.78
2/1/2022 10:09,7.10,99.30,29.00,9.00,9.00,64.00,1.00,52.00,-3.00,7.76
2/1/2022 10:14,7.20,99.50,20.00,9.50,10.00,64.00,1.00,42.00,-4.00,7.83
2/1/2022 10:20,7.20,99.50,35.00,10.00,11.00,64.00,1.00,79.00,-3.00,7.83
2/1/2022 10:25,7.20,99.40,33.00,10.50,12.00,64.00,1.00,69.00,-4.00,7.82
2/1/2022 10:30,7.20,99.30,42.00,11.90,13.00,64.00,1.00,90.00,-3.00,7.81
2/1/2022 10:34,7.30,99.50,32.00,11.90,14.00,64.00,1.00,66.00,-4.00,7.88
2/1/2022 10:39,7.30,99.40,30.00,11.90,15.00,64.00,1.00,60.00,-3.00,7.87
2/1/2022 10:45,7.30,99.40,33.00,11.40,16.00,64.00,1.00,73.00,-3.00,7.87
2/1/2022 10:50,7.40,99.40,34.00,11.10,17.00,64.00,1.00,71.00,-3.00,7.92
2/1/2022 10:54,7.50,99.50,34.00,11.10,18.00,64.00,1.00,68.00,-4.00,7.98
2/1/2022 10:59,7.50,99.50,30.00,11.10,19.00,64.00,1.00,64.00,-4.00,7.98
2/1/2022 11:05,7.40,99.30,30.00,11.10,20.00,64.00,0.00,57.00,-4.00,7.91
2/1/2022 11:10,7.60,99.50,22.00,11.10,21.00,64.00,0.00,47.00,-4.00,8.03
2/1/2022 11:15,7.60,99.30,21.00,10.60,22.00,64.00,0.00,52.00,-4.00,8.02
2/1/2022 11:19,7.80,98.50,20.00,10.80,22.00,64.00,0.00,41.00,-5.00,8.06
2/1/2022 11:24,7.80,97.30,37.00,11.80,23.00,64.00,0.00,75.00,-4.00,7.96
2/1/2022 11:30,7.90,96.50,39.00,12.30,24.00,64.00,0.00,89.00,-5.00,7.95
2/1/2022 11:35,8.00,96.70,54.00,12.30,26.00,64.00,0.00,108.00,-5.00,8.01
2/1/2022 11:39,7.90,94.60,50.00,12.30,27.00,64.00,0.00,106.00,-5.00,7.79
2/1/2022 11:44,8.00,94.60,40.00,12.60,29.00,64.00,0.00,87.00,-6.00,7.84
2/1/2022 11:50,8.10,93.80,46.00,12.60,30.00,64.00,0.00,98.00,-7.00,7.83
2/1/2022 11:55,8.20,93.40,57.00,12.60,31.00,64.00,0.00,119.00,-6.00,7.84
2/1/2022 12:00,8.40,93.40,46.00,12.10,33.00,64.00,0.00,102.00,-6.00,7.95
2/1/2022 12:04,8.60,92.30,48.00,11.60,34.00,64.00,0.00,101.00,-7.00,7.95
2/1/2022 12:09,8.60,91.60,45.00,11.90,36.00,64.00,0.00,105.00,-7.00,7.89
2/1/2022 12:15,8.70,91.20,35.00,13.00,37.00,64.00,0.00,79.00,-8.00,7.91
2/1/2022 12:20,8.60,91.40,51.00,13.00,38.00,64.00,0.00,113.00,-8.00,7.88
2/1/2022 12:24,8.50,91.50,54.00,13.00,40.00,64.00,0.00,111.00,-8.00,7.83
2/1/2022 12:29,8.50,91.60,55.00,13.00,42.00,64.00,0.00,121.00,-9.00,7.84
2/1/2022 12:35,8.50,92.30,49.00,13.00,43.00,64.00,0.00,111.00,-8.00,7.90
2/1/2022 12:40,8.60,91.80,64.00,12.00,45.00,64.00,0.00,134.00,-9.00,7.91
2/1/2022 12:45,8.60,91.90,62.00,11.50,47.00,64.00,0.00,119.00,-10.00,7.92
2/1/2022 12:49,8.70,91.50,79.00,11.50,49.00,64.00,0.00,158.00,-9.00,7.94
2/1/2022 12:54,8.80,91.80,103.00,11.50,51.00,64.00,0.00,214.00,-9.00,8.01
2/1/2022 13:00,8.80,91.60,98.00,11.50,54.00,64.00,0.00,209.00,-10.00,8.00
2/1/2022 13:05,8.90,91.40,68.00,11.80,57.00,64.00,0.00,155.00,-9.00,8.03
2/1/2022 13:09,9.00,90.60,65.00,11.80,59.00,64.00,0.00,146.00,-11.00,8.01
2/1/2022 13:14,9.10,90.00,59.00,13.40,61.00,64.00,0.00,138.00,-10.00,8.01
2/1/2022 13:20,9.20,90.40,88.00,13.40,63.00,64.00,0.00,184.00,-13.00,8.10
2/1/2022 13:25,9.20,89.40,118.00,13.40,67.00,64.00,0.00,228.00,-13.00,8.01
2/1/2022 13:30,9.20,90.00,127.00,12.40,70.00,64.00,0.00,299.00,-13.00,8.06
2/1/2022 13:34,9.20,89.80,105.00,12.40,74.00,64.00,0.00,216.00,-12.00,8.05
2/1/2022 13:39,9.20,90.40,106.00,12.90,77.00,64.00,0.00,228.00,-13.00,8.10
2/1/2022 13:45,9.20,90.10,111.00,12.90,80.00,64.00,0.00,255.00,-17.00,8.07
2/1/2022 13:50,9.40,89.60,141.00,12.40,84.00,64.00,0.00,286.00,-23.00,8.13
2/1/2022 13:54,9.50,89.40,160.00,12.40,88.00,64.00,0.00,337.00,-23.00,8.17
2/1/2022 13:59,9.60,89.00,142.00,11.90,93.00,64.00,0.00,295.00,-23.00,8.18
2/1/2022 14:05,9.50,88.50,133.00,11.90,97.00,64.00,0.00,272.00,-24.00,8.08
2/1/2022 14:10,9.50,88.20,137.00,11.90,101.00,64.00,0.00,280.00,-20.00,8.06
2/1/2022 14:15,9.50,88.30,124.00,11.90,104.00,64.00,0.00,259.00,-19.00,8.07
2/1/2022 14:19,9.50,88.80,112.00,10.90,108.00,64.00,0.00,225.00,-19.00,8.11
2/1/2022 14:24,9.50,88.90,135.00,11.60,112.00,64.00,0.00,289.00,-21.00,8.12
2/1/2022 14:30,9.60,88.70,125.00,11.60,116.00,64.00,0.00,262.00,-21.00,8.15
2/1/2022 14:35,9.60,88.40,119.00,11.90,119.00,64.00,0.00,249.00,-20.00,8.13
2/1/2022 14:39,9.60,88.10,106.00,12.00,123.00,64.00,0.00,221.00,-21.00,8.10
2/1/2022 14:44,9.60,88.30,118.00,12.00,126.00,64.00,0.00,234.00,-22.00,8.12
2/1/2022 14:50,9.60,87.70,125.00,12.00,130.00,64.00,0.00,267.00,-23.00,8.06
