days,timestamp,effective_plant_density,fixed_total_wur,fixed_plants,fixed_gh,fixed_light,fixed_co2,var_electricity,var_gas,var_co2,var_penalty,plant_density
1,2022-05-03,0.0,3.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
2,2022-05-04,90.0,3.642,10.8,0.047,0.023,0.004,0.0,0.009,0.002,0.0,90.0
3,2022-05-05,90.0,3.723,10.8,0.093,0.047,0.008,0.014,0.022,0.003,0.0,90.0
4,2022-05-06,90.0,3.804,10.8,0.14,0.07,0.012,0.03,0.037,0.005,0.0,90.0
5,2022-05-07,90.0,3.884,10.8,0.186,0.093,0.016,0.042,0.038,0.008,0.0,90.0
6,2022-05-08,90.0,3.965,10.8,0.233,0.117,0.021,0.049,0.038,0.012,0.0,90.0
7,2022-05-09,90.0,4.046,10.8,0.279,0.14,0.025,0.054,0.045,0.014,0.0,90.0
8,2022-05-10,90.0,4.127,10.8,0.326,0.163,0.029,0.062,0.051,0.018,0.0,90.0
9,2022-05-11,90.0,4.208,10.8,0.373,0.186,0.033,0.084,0.051,0.028,0.0,90.0
10,2022-05-12,90.0,4.289,10.8,0.419,0.21,0.037,0.098,0.053,0.034,0.0,90.0
11,2022-05-13,90.0,4.369,10.8,0.466,0.233,0.041,0.098,0.061,0.039,0.0,90.0
12,2022-05-14,90.0,4.45,10.8,0.512,0.256,0.045,0.098,0.075,0.044,0.0,90.0
13,2022-05-15,90.0,4.531,10.8,0.559,0.28,0.049,0.098,0.086,0.05,0.0,90.0
14,2022-05-16,90.0,4.612,10.8,0.605,0.303,0.053,0.098,0.101,0.057,0.0,90.0
15,2022-05-17,86.9,4.75,10.428,0.652,0.326,0.058,0.098,0.11,0.064,0.0,58.6
16,2022-05-18,84.375,4.835,10.125,0.699,0.35,0.062,0.098,0.121,0.07,0.0,58.8
17,2022-05-19,82.2833,4.92,9.874,0.745,0.373,0.066,0.098,0.128,0.076,0.0,58.9
18,2022-05-20,78.4583,5.075,9.415,0.792,0.396,0.07,0.109,0.137,0.085,0.0,43.8
19,2022-05-21,75.35,5.164,9.042,0.838,0.419,0.074,0.133,0.151,0.093,0.0,44.0
20,2022-05-22,72.7667,5.253,8.732,0.885,0.443,0.078,0.143,0.171,0.103,0.0,44.1
21,2022-05-23,70.5917,5.342,8.471,0.932,0.466,0.082,0.153,0.181,0.11,0.0,44.2
22,2022-05-24,68.725,5.431,8.247,0.978,0.489,0.086,0.18,0.208,0.12,0.0,44.2
23,2022-05-25,64.9167,5.611,7.79,1.025,0.513,0.09,0.18,0.246,0.127,0.0,29.3
24,2022-05-26,61.7917,5.704,7.415,1.071,0.536,0.095,0.18,0.263,0.135,0.0,29.3
25,2022-05-27,59.175,5.797,7.101,1.118,0.559,0.099,0.18,0.288,0.144,0.0,29.3
26,2022-05-28,55.5583,5.993,6.667,1.164,0.583,0.103,0.18,0.319,0.151,0.0,22.0
27,2022-05-29,52.5833,6.09,6.31,1.211,0.606,0.107,0.18,0.333,0.158,0.0,22.0
28,2022-05-30,50.1,6.188,6.012,1.258,0.629,0.111,0.18,0.357,0.164,0.0,22.0
29,2022-05-31,48.0,6.285,5.76,1.304,0.652,0.115,0.18,0.375,0.17,0.0,22.1
30,2022-06-01,46.1917,6.382,5.543,1.351,0.676,0.119,0.18,0.394,0.177,0.0,22.1
31,2022-06-02,44.625,6.48,5.355,1.397,0.699,0.123,0.18,0.415,0.185,0.0,22.1
32,2022-06-03,43.2583,6.576,5.191,1.444,0.722,0.127,0.18,0.427,0.192,0.0,22.2
33,2022-06-04,41.4417,6.805,4.973,1.49,0.746,0.132,0.18,0.443,0.201,0.0,17.7
34,2022-06-05,39.8667,6.907,4.784,1.537,0.769,0.136,0.18,0.464,0.21,0.0,17.7
35,2022-06-06,38.4917,7.008,4.619,1.584,0.792,0.14,0.18,0.495,0.218,0.0,17.7
36,2022-06-07,37.275,7.11,4.473,1.63,0.816,0.144,0.18,0.537,0.23,0.0,17.7
37,2022-06-08,36.2,7.211,4.344,1.677,0.839,0.148,0.18,0.556,0.242,0.0,17.8
38,2022-06-09,35.2417,7.312,4.229,1.723,0.862,0.152,0.18,0.579,0.255,0.0,17.8
39,2022-06-10,34.375,7.413,4.125,1.77,0.885,0.156,0.18,0.603,0.266,0.0,17.8
40,2022-06-11,33.5917,7.515,4.031,1.816,0.909,0.16,0.18,0.619,0.279,0.0,17.8
41,2022-06-12,32.875,7.617,3.945,1.863,0.932,0.164,0.18,0.638,0.29,0.0,17.7
42,2022-06-13,32.225,7.718,3.867,1.91,0.955,0.168,0.18,0.66,0.302,0.0,17.8
