timestamp,effective_plant_density,fixed_total_wur,fixed_plants,fixed_gh,fixed_light,fixed_co2,var_electricity,var_gas,var_co2,var_penalty,plant_density
2022-05-03,0,3.732,0,0,0,0,0,0.001,0,0,90
2022-05-04,90,3.826,10.8,0.047,0.037,0.004,0.016,0.025,0.002,0,90
2022-05-05,90,3.921,10.8,0.093,0.074,0.008,0.031,0.041,0.006,0,90
2022-05-06,90,4.015,10.8,0.14,0.11,0.012,0.058,0.05,0.008,0,90
2022-05-07,90,4.109,10.8,0.186,0.147,0.016,0.076,0.055,0.013,0,90
2022-05-08,90,4.203,10.8,0.233,0.184,0.021,0.091,0.055,0.02,0,90
2022-05-09,90,4.298,10.8,0.279,0.221,0.025,0.103,0.055,0.027,0,90
2022-05-10,90,4.392,10.8,0.326,0.257,0.029,0.12,0.062,0.033,0,90
2022-05-11,90,4.486,10.8,0.373,0.294,0.033,0.149,0.062,0.041,0,90
2022-05-12,90,4.581,10.8,0.419,0.331,0.037,0.169,0.062,0.051,0,90
2022-05-13,90,4.675,10.8,0.466,0.368,0.041,0.169,0.063,0.06,0,90
2022-05-14,90,4.769,10.8,0.512,0.404,0.045,0.169,0.063,0.069,0,90
2022-05-15,90,4.864,10.8,0.559,0.441,0.049,0.169,0.064,0.077,0,90
2022-05-16,90,4.958,10.8,0.605,0.478,0.053,0.175,0.066,0.085,0,90
2022-05-17,90,5.052,10.8,0.652,0.515,0.058,0.18,0.072,0.093,0,90
2022-05-18,87.1,5.208,10.452,0.699,0.551,0.062,0.197,0.074,0.101,0,58.7
2022-05-19,84.7083,5.306,10.165,0.745,0.588,0.066,0.197,0.078,0.109,0,58.9
2022-05-20,82.7,5.405,9.924,0.792,0.625,0.07,0.201,0.093,0.116,0,58.9
2022-05-21,81,5.503,9.72,0.838,0.662,0.074,0.22,0.094,0.123,0,59.1
2022-05-22,79.5333,5.602,9.544,0.885,0.699,0.078,0.22,0.095,0.132,0,59.2
2022-05-23,78.2583,5.7,9.391,0.932,0.735,0.082,0.22,0.097,0.141,0,59.3
2022-05-24,72.6917,5.885,8.723,0.978,0.772,0.086,0.22,0.102,0.147,0,29.1
2022-05-25,68.275,5.987,8.193,1.025,0.809,0.09,0.22,0.111,0.155,0,29.2
2022-05-26,64.6917,6.089,7.763,1.071,0.846,0.095,0.22,0.112,0.164,0,29.3
2022-05-27,61.7167,6.192,7.406,1.118,0.882,0.099,0.22,0.114,0.174,0,29.3
2022-05-28,59.2083,6.295,7.105,1.164,0.919,0.103,0.22,0.115,0.184,0,29.4
2022-05-29,57.075,6.397,6.849,1.211,0.956,0.107,0.22,0.116,0.194,0,29.5
2022-05-30,55.225,6.5,6.627,1.258,0.993,0.111,0.22,0.129,0.202,0,29.5
2022-05-31,53.6167,6.603,6.434,1.304,1.029,0.115,0.22,0.142,0.209,0,29.5
2022-06-01,52.2,6.705,6.264,1.351,1.066,0.119,0.22,0.153,0.217,0,29.6
2022-06-02,50.9417,6.808,6.113,1.397,1.103,0.123,0.22,0.165,0.227,0,29.6
2022-06-03,49.825,6.91,5.979,1.444,1.14,0.127,0.22,0.173,0.236,0,29.7
2022-06-04,47.2167,7.144,5.666,1.49,1.176,0.132,0.22,0.178,0.245,0,17.6
2022-06-05,45,7.251,5.4,1.537,1.213,0.136,0.22,0.185,0.253,0,17.7
2022-06-06,43.1,7.357,5.172,1.584,1.25,0.14,0.229,0.189,0.259,0,17.7
2022-06-07,41.45,7.464,4.974,1.63,1.287,0.144,0.229,0.193,0.267,0,17.7
2022-06-08,40,7.571,4.8,1.677,1.324,0.148,0.229,0.2,0.277,0,17.7
2022-06-09,38.725,7.677,4.647,1.723,1.36,0.152,0.229,0.201,0.283,0,17.8
2022-06-10,37.5833,7.784,4.51,1.77,1.397,0.156,0.229,0.208,0.292,0,17.7
2022-06-11,36.5667,7.89,4.388,1.816,1.434,0.16,0.229,0.213,0.3,0,17.8
2022-06-12,35.6417,7.997,4.277,1.863,1.471,0.164,0.229,0.218,0.31,0,17.7
2022-06-13,34.8083,8.104,4.177,1.91,1.507,0.168,0.229,0.222,0.32,0,17.8
2022-06-14,34.05,8.211,4.086,1.956,1.544,0.173,0.229,0.224,0.33,0,17.8
2022-06-15,33.3583,8.317,4.003,2.003,1.581,0.177,0.229,0.23,0.338,0,17.8
