days,timestamp,effective_plant_density,fixed_total_wur,fixed_plants,fixed_gh,fixed_light,fixed_co2,var_electricity,var_gas,var_co2,var_penalty,plant_density
1,2022-05-03,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,90.0
2,2022-05-04,90.0,3.658,10.8,0.047,0.0,0.004,0.0,0.015,0.0,0.0,90.0
3,2022-05-05,90.0,3.715,10.8,0.093,0.0,0.008,0.0,0.026,0.0,0.0,90.0
4,2022-05-06,90.0,3.773,10.8,0.14,0.0,0.012,0.0,0.033,0.0,0.0,90.0
5,2022-05-07,90.0,3.83,10.8,0.186,0.0,0.016,0.0,0.04,0.0,0.0,90.0
6,2022-05-08,90.0,3.888,10.8,0.233,0.0,0.021,0.0,0.043,0.0,0.0,90.0
7,2022-05-09,90.0,3.945,10.8,0.279,0.0,0.025,0.0,0.044,0.0,0.0,90.0
8,2022-05-10,90.0,4.003,10.8,0.326,0.0,0.029,0.0,0.048,0.0,0.0,90.0
9,2022-05-11,90.0,4.06,10.8,0.373,0.0,0.033,0.0,0.048,0.0,0.0,90.0
10,2022-05-12,90.0,4.118,10.8,0.419,0.0,0.037,0.0,0.048,0.0,0.0,90.0
11,2022-05-13,90.0,4.175,10.8,0.466,0.0,0.041,0.0,0.048,0.0,0.0,90.0
12,2022-05-14,90.0,4.233,10.8,0.512,0.0,0.045,0.0,0.048,0.0,0.0,90.0
13,2022-05-15,90.0,4.29,10.8,0.559,0.0,0.049,0.0,0.048,0.001,0.0,90.0
14,2022-05-16,90.0,4.348,10.8,0.605,0.0,0.053,0.0,0.048,0.001,0.0,90.0
15,2022-05-17,86.9,4.463,10.428,0.652,0.0,0.058,0.0,0.049,0.001,0.0,58.6
16,2022-05-18,84.375,4.525,10.125,0.699,0.0,0.062,0.0,0.049,0.001,0.0,58.8
17,2022-05-19,82.2833,4.587,9.874,0.745,0.0,0.066,0.0,0.049,0.001,0.0,58.9
18,2022-05-20,80.525,4.648,9.663,0.792,0.0,0.07,0.0,0.049,0.001,0.0,59.1
19,2022-05-21,77.1417,4.784,9.257,0.838,0.0,0.074,0.0,0.049,0.001,0.0,43.9
20,2022-05-22,74.35,4.849,8.922,0.885,0.0,0.078,0.0,0.049,0.001,0.0,44.1
21,2022-05-23,72.0,4.915,8.64,0.932,0.0,0.082,0.0,0.049,0.001,0.0,44.1
22,2022-05-24,70.0,4.981,8.4,0.978,0.0,0.086,0.0,0.049,0.001,0.0,44.2
23,2022-05-25,66.0,5.137,7.92,1.025,0.0,0.09,0.0,0.076,0.007,0.0,29.2
24,2022-05-26,62.725,5.207,7.527,1.071,0.0,0.095,0.0,0.092,0.013,0.0,29.3
25,2022-05-27,60.0,5.277,7.2,1.118,0.0,0.099,0.0,0.105,0.021,0.0,29.4
26,2022-05-28,57.6917,5.347,6.923,1.164,0.0,0.103,0.0,0.125,0.03,0.0,29.4
27,2022-05-29,55.7167,5.416,6.686,1.211,0.0,0.107,0.0,0.145,0.037,0.0,29.5
28,2022-05-30,54.0,5.486,6.48,1.258,0.0,0.111,0.0,0.173,0.044,0.0,29.5
29,2022-05-31,51.425,5.672,6.171,1.304,0.0,0.115,0.0,0.194,0.049,0.0,22.0
30,2022-06-01,49.2417,5.746,5.909,1.351,0.0,0.119,0.0,0.208,0.056,0.0,22.1
31,2022-06-02,47.3667,5.819,5.684,1.397,0.0,0.123,0.0,0.232,0.065,0.0,22.1
32,2022-06-03,45.7417,5.893,5.489,1.444,0.0,0.127,0.0,0.243,0.074,0.0,22.2
33,2022-06-04,43.6333,6.099,5.236,1.49,0.0,0.132,0.0,0.254,0.084,0.0,17.6
34,2022-06-05,41.8333,6.176,5.02,1.537,0.0,0.136,0.0,0.277,0.093,0.0,17.7
35,2022-06-06,40.2667,6.254,4.832,1.584,0.0,0.14,0.0,0.303,0.1,0.0,17.7
36,2022-06-07,38.8917,6.333,4.667,1.63,0.0,0.144,0.0,0.344,0.11,0.0,17.7
37,2022-06-08,37.675,6.411,4.521,1.677,0.0,0.148,0.0,0.37,0.122,0.0,17.7
38,2022-06-09,36.5917,6.489,4.391,1.723,0.0,0.152,0.0,0.404,0.133,0.0,17.7
39,2022-06-10,35.625,6.567,4.275,1.77,0.0,0.156,0.0,0.427,0.147,0.0,17.8
40,2022-06-11,34.75,6.646,4.17,1.816,0.0,0.16,0.0,0.448,0.161,0.0,17.7
41,2022-06-12,33.9583,6.724,4.075,1.863,0.0,0.164,0.0,0.468,0.176,0.0,17.8
42,2022-06-13,33.2417,6.802,3.989,1.91,0.0,0.168,0.0,0.49,0.191,0.0,17.8
43,2022-06-14,32.5833,6.88,3.91,1.956,0.0,0.173,0.0,0.523,0.203,0.0,17.8
44,2022-06-15,31.9833,6.958,3.838,2.003,0.0,0.177,0.0,0.534,0.212,0.0,17.8
45,2022-06-16,31.425,7.036,3.771,2.049,0.0,0.181,0.0,0.546,0.225,0.0,17.8
46,2022-06-17,30.9167,7.114,3.71,2.096,0.0,0.185,0.0,0.558,0.236,0.0,17.9
