lamp_opening,timestamp,thermal_opening,blackout_opening,co2_Air,rh_Air,T_Air,par,humidity_deficit,lee_vent,wind_vent,net_radiation__ridder,T_Canopy__ridder,transpiration__ridder,rh_Air__sigrow,T_Air__sigrow,par__sigrow,stomata_conductivity__sigrow
,2022-05-02 13:15:00,69.8,50.0,421.0,43.7,25.9,416.0,13.61,99.7,85.1,,,,43.4,28.96,646.0,0.0775
,2022-05-02 13:30:00,69.8,50.0,400.0,43.7,26.4,92.0,14.0,99.7,85.1,30.8,26.0,20.7,38.8,29.69,115.0,0.015
,2022-05-02 13:45:00,69.8,50.0,394.0,49.9,26.3,248.0,12.39,99.7,85.1,7.3,26.0,7.8,48.6,28.7,342.0,0.0475
,2022-05-02 14:00:00,69.8,50.0,410.0,46.7,27.7,427.0,14.24,99.7,85.1,,,,,,,
,2022-05-02 14:15:00,69.8,50.0,399.0,43.8,27.9,541.0,15.18,99.7,85.1,44.5,26.7,30.7,42.3,29.99,271.0,0.0175
,2022-05-02 14:30:00,69.8,50.0,412.0,49.9,26.4,521.0,12.46,99.7,85.1,7.2,25.6,7.7,,,,
,2022-05-02 14:45:00,69.8,50.0,418.0,49.9,26.4,180.0,12.46,82.7,72.5,,,,40.0,29.39,163.0,0.0525
,2022-05-02 15:00:00,69.8,50.0,401.0,52.0,26.0,458.0,11.67,82.7,72.5,7.1,26.9,8.2,,,,
,2022-05-02 15:15:00,69.8,50.0,412.0,49.7,26.4,421.0,12.51,82.1,72.6,8.7,27.0,8.5,,,,
,2022-05-02 15:30:00,69.8,50.0,399.0,51.2,26.9,332.0,12.47,79.6,65.5,,,,46.3,29.05,231.0,0.095
,2022-05-02 15:45:00,69.8,50.0,396.0,50.4,26.4,217.0,12.34,79.6,53.5,7.2,25.0,6.9,45.7,29.35,218.0,0.085
,2022-05-02 16:00:00,69.8,50.0,388.0,50.1,26.7,202.0,12.62,78.4,56.9,7.5,25.3,7.0,44.6,29.35,223.0,0.0175
,2022-05-02 16:15:00,69.8,50.0,387.0,50.9,26.2,186.0,12.07,78.4,52.5,,,,44.6,29.39,231.0,0.0925
