days,timestamp,effective_plant_density,fixed_total_wur,fixed_plants,fixed_gh,fixed_light,fixed_co2,var_electricity,var_gas,var_co2,var_penalty,plant_density
1,2022-05-03,0.0,3.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
2,2022-05-04,90.0,3.465,10.8,0.047,0.0,0.004,0.0,0.019,0.001,0.0,90.0
3,2022-05-05,90.0,3.519,10.8,0.093,0.0,0.008,0.0,0.038,0.003,0.0,90.0
4,2022-05-06,90.0,3.573,10.8,0.14,0.0,0.012,0.0,0.051,0.004,0.0,90.0
5,2022-05-07,90.0,3.627,10.8,0.186,0.0,0.016,0.0,0.064,0.009,0.0,90.0
6,2022-05-08,90.0,3.682,10.8,0.233,0.0,0.021,0.0,0.07,0.013,0.0,90.0
7,2022-05-09,90.0,3.736,10.8,0.279,0.0,0.025,0.0,0.082,0.016,0.0,90.0
8,2022-05-10,90.0,3.79,10.8,0.326,0.0,0.029,0.0,0.092,0.021,0.0,90.0
9,2022-05-11,90.0,3.844,10.8,0.373,0.0,0.033,0.0,0.093,0.026,0.0,90.0
10,2022-05-12,90.0,3.898,10.8,0.419,0.0,0.037,0.0,0.098,0.032,0.0,90.0
11,2022-05-13,90.0,3.952,10.8,0.466,0.0,0.041,0.0,0.11,0.037,0.0,90.0
12,2022-05-14,86.0833,4.052,10.33,0.512,0.0,0.045,0.0,0.119,0.042,0.0,58.2
13,2022-05-15,83.075,4.11,9.969,0.559,0.0,0.049,0.0,0.126,0.048,0.0,58.5
14,2022-05-16,80.6917,4.168,9.683,0.605,0.0,0.053,0.0,0.14,0.055,0.0,58.8
15,2022-05-17,76.3667,4.283,9.164,0.652,0.0,0.058,0.0,0.142,0.061,0.0,43.6
16,2022-05-18,72.975,4.346,8.757,0.699,0.0,0.062,0.0,0.152,0.066,0.0,43.8
17,2022-05-19,70.2417,4.409,8.429,0.745,0.0,0.066,0.0,0.161,0.072,0.0,43.9
18,2022-05-20,65.1083,4.54,7.813,0.792,0.0,0.07,0.0,0.179,0.076,0.0,29.0
19,2022-05-21,61.1333,4.607,7.336,0.838,0.0,0.074,0.0,0.186,0.08,0.0,29.1
20,2022-05-22,57.9667,4.673,6.956,0.885,0.0,0.078,0.0,0.198,0.086,0.0,29.2
21,2022-05-23,55.3833,4.74,6.646,0.932,0.0,0.082,0.0,0.211,0.093,0.0,29.3
22,2022-05-24,51.7833,4.892,6.214,0.978,0.0,0.086,0.0,0.223,0.097,0.0,21.9
23,2022-05-25,48.8917,4.963,5.867,1.025,0.0,0.09,0.0,0.242,0.103,0.0,21.9
24,2022-05-26,46.5167,5.034,5.582,1.071,0.0,0.095,0.0,0.254,0.109,0.0,22.0
25,2022-05-27,44.5333,5.104,5.344,1.118,0.0,0.099,0.0,0.272,0.118,0.0,22.0
26,2022-05-28,42.8583,5.175,5.143,1.164,0.0,0.103,0.0,0.296,0.126,0.0,22.1
27,2022-05-29,41.4167,5.245,4.97,1.211,0.0,0.107,0.0,0.317,0.134,0.0,22.1
28,2022-05-30,40.1667,5.316,4.82,1.258,0.0,0.111,0.0,0.343,0.141,0.0,22.1
29,2022-05-31,39.0667,5.387,4.688,1.304,0.0,0.115,0.0,0.365,0.147,0.0,22.1
30,2022-06-01,38.1,5.457,4.572,1.351,0.0,0.119,0.0,0.38,0.154,0.0,22.2
31,2022-06-02,37.2417,5.527,4.469,1.397,0.0,0.123,0.0,0.406,0.165,0.0,22.2
32,2022-06-03,36.4667,5.598,4.376,1.444,0.0,0.127,0.0,0.42,0.175,0.0,22.2
33,2022-06-04,35.775,5.669,4.293,1.49,0.0,0.132,0.0,0.436,0.186,0.0,22.3
34,2022-06-05,35.15,5.739,4.218,1.537,0.0,0.136,0.0,0.462,0.198,0.0,22.3
35,2022-06-06,34.575,5.81,4.149,1.584,0.0,0.14,0.0,0.49,0.206,0.0,22.2
36,2022-06-07,34.05,5.881,4.086,1.63,0.0,0.144,0.0,0.536,0.219,0.0,22.2
37,2022-06-08,33.2333,6.098,3.988,1.677,0.0,0.148,0.0,0.565,0.232,0.0,17.8
38,2022-06-09,32.4917,6.173,3.899,1.723,0.0,0.152,0.0,0.587,0.246,0.0,17.8
39,2022-06-10,31.8167,6.248,3.818,1.77,0.0,0.156,0.0,0.611,0.259,0.0,17.8
40,2022-06-11,31.2,6.323,3.744,1.816,0.0,0.16,0.0,0.628,0.273,0.0,17.8
41,2022-06-12,30.6417,6.397,3.677,1.863,0.0,0.164,0.0,0.65,0.288,0.0,17.9
42,2022-06-13,30.125,6.472,3.615,1.91,0.0,0.168,0.0,0.672,0.303,0.0,17.8
