timestamp,thermal_opening,blackout_opening,co2_Air,rh_Air,T_Air,par,humidity_deficit,lee_vent,wind_vent,net_radiation__ridder,T_Canopy__ridder,transpiration__ridder,rh_Air__sigrow,T_Air__sigrow,par__sigrow,stomata_conductivity__sigrow
2022-05-02 13:15:00,79.8,0.2,639,52.4,28.2,598,13.07,96.2,53.9,,,,51.3,29.18,469,0.014
2022-05-02 13:30:00,79.8,0.2,635,49.3,26.2,145,12.47,44.5,38.2,5.5,26.3,8.8,39.7,30.24,176,0.008
2022-05-02 13:45:00,79.8,0.2,710,53.8,27.3,645,12.08,40.5,32.3,5.9,26.4,8.9,44.9,28.92,420,0.016
2022-05-02 14:00:00,79.8,0.2,727,49.6,28.4,650,14,94.6,47.7,,,,46.1,30.02,373,0.044
2022-05-02 14:15:00,79.8,0.2,677,45.5,28.2,667,14.97,100,65.1,5.3,27.1,9.4,41.4,30.29,344,0.032
2022-05-02 14:30:00,79.8,0.2,619,44.6,26.8,640,14.09,48.3,35.2,7.2,25.3,7.9,39.1,29.35,264,0.01
2022-05-02 14:45:00,79.8,0.2,620,46.7,26.6,285,13.4,39.3,15.5,,,,40.3,29,240,0.008
2022-05-02 15:00:00,79.8,0.2,702,57.2,27.2,562,11.12,29.7,13.9,5.5,27.4,9.5,55.8,28.23,804,0.01
2022-05-02 15:15:00,79.8,0.2,700,51,27.9,416,13.24,46.7,23.2,7.5,27.2,9.1,51.6,29.33,337,0.012
2022-05-02 15:30:00,79.8,0.2,638,48.4,27.1,687,13.34,42.1,19.8,,,,42,29.81,329,0.012
2022-05-02 15:45:00,79.8,0.2,628,47.1,27.8,416,14.21,37.4,20.3,5.4,25.4,8.5,43.1,30.11,303,0.01
2022-05-02 16:00:00,79.8,0.2,669,49.7,27.3,421,13.15,23.3,12.6,4.8,26.1,8.9,44.9,29.3,300,0.01
2022-05-02 16:15:00,79.8,0.2,604,46.2,26.8,384,13.68,22.7,14.3,,,,39.8,29.25,280,0.008
2022-05-02 16:30:00,79.8,0.2,616,49.2,26.8,372,12.92,19.5,11.1,2.6,25.8,9.1,40.9,29.89,270,0.01
2022-05-02 16:45:00,79.8,0.2,635,50.5,26.6,334,12.45,16.9,9.4,-0.2,26.5,9.7,44.3,30.02,250,0.01
2022-05-02 17:00:00,79.8,0.2,688,55.4,26.6,319,11.22,13.7,7.2,,,,48.3,29.73,231,0.01
2022-05-02 17:15:00,79.8,0.2,659,55.1,25.3,281,10.5,47.1,25.2,-1.2,25.5,9.1,43.7,29.05,206,0.008
2022-05-02 17:30:00,79.8,0.2,624,55,24.7,254,10.17,17.3,9.7,-4,23.7,7.9,48,27.55,193,0.006
2022-05-02 17:45:00,79.8,0.2,636,56.3,23.9,219,9.44,23.1,12.5,,,,46.9,27.01,212,0.004
2022-05-02 18:00:00,79.8,0.2,672,56.6,23.9,194,9.38,25.6,26.7,-5.7,25.2,9,48.6,26.75,174,0.008
2022-05-02 18:15:00,79.8,0.2,663,55.2,23.2,218,9.3,31.9,27.4,-8.5,21.9,7.1,47.4,25.76,240,0.004
2022-05-02 18:30:00,79.8,0.2,682,55.3,22.9,358,9.12,31.9,19.8,,,,46.8,26.06,202,0.006
2022-05-02 18:45:00,79.8,0.2,622,56.9,22.5,138,8.6,80.9,55.7,-10.9,21.2,6.4,47.4,25.64,172,0
2022-05-02 19:00:00,79.8,0.2,541,53.6,22.2,310,9.1,80.9,55.7,-11.2,20.8,6,46.2,25.17,167,0.002
2022-05-02 19:15:00,79.8,0.2,425,53.3,21.9,258,9,91.9,55.7,,,,46.2,25,147,0.002
2022-05-02 19:30:00,74,0.2,407,52.2,21,83,8.74,79.8,45.6,-13,19.8,5.5,42.2,25.26,74,0
2022-05-02 19:45:00,0.1,0.2,405,49.7,19.9,67,8.63,21,11.6,13.3,19,10.7,39.6,24.16,70,0
2022-05-02 20:00:00,0.1,0.2,407,50.6,19.7,47,8.38,21,15.3,,,,42.5,22.49,48,0.002
2022-05-02 20:15:00,0.1,0.2,410,52.3,19.9,35,8.18,17.6,9.3,-7.1,18.7,7.8,46.6,21.77,38,0
2022-05-02 20:30:00,0.1,0.2,405,47,18,24,8.13,71.3,39.1,-9,16.9,5.8,39.9,20.93,27,0
2022-05-02 20:45:00,0.1,0.2,410,47.9,17.3,14,7.67,58.5,33.4,,,,43.2,19.59,15,0
2022-05-02 21:00:00,42.1,0.2,413,46.5,16.9,3,7.68,35.9,21.3,-18.8,15.8,3.8,41.3,18.95,9,0
2022-05-02 21:15:00,98,0.2,413,51.7,18.4,0,7.59,61.3,31.5,-13.9,17.7,4.6,49.7,18.51,0,0
2022-05-02 21:30:00,98,0.2,416,53.8,18.7,0,7.39,100,83.6,,,,52.1,18.69,0,0
2022-05-02 21:45:00,98,0.2,416,54.3,18.5,0,7.22,100,83.6,-13.4,17.4,4.4,51.6,18.77,0,0
2022-05-02 22:00:00,98,0.2,416,52,18.5,0,7.59,100,83.6,-13.5,17.2,4.4,50.7,18.64,0,0.002
2022-05-02 22:15:00,98,0.2,415,52,18.1,0,7.41,100,83.6,,,,50.7,18.48,0,0
2022-05-02 22:30:00,98,0.2,418,53.3,17.7,0,7.04,100,83.6,-12.3,16.7,4.1,50.7,18.27,0,0
2022-05-02 22:45:00,98,0.2,421,55.4,17.4,0,6.6,100,75.3,-11.1,16.3,3.9,52.1,17.91,0,0
