Date,Tair,Rhair,CO2air,HumDef,VentLee,VentWind,AssimLight,EnScr,BlckScr,Tpipe,CO2reg,PARin,Tair_sigrow,Rhair_sigrow,PARin_sigrow,stomata_cond,Netrad_ridder,Transp_ridder,Tleaf_ridder
2/1/2022 0:00,12.90,78.40,423.00,2.43,0.30,0.00,0.00,99.80,99.90,0.00,2.00,0.00,9.87,84.20,,0.00,,,
2/1/2022 0:04,12.90,78.70,423.00,2.39,0.30,0.00,0.00,99.80,99.90,21.50,2.00,0.00,9.84,84.07,-0.04,0.00,,,
2/1/2022 0:09,13.00,78.20,423.00,2.47,0.30,0.00,0.00,99.80,99.90,25.50,2.00,0.00,9.81,83.93,-0.04,0.00,,,
2/1/2022 0:15,13.30,77.20,423.00,2.63,0.30,0.00,0.00,99.80,99.90,25.10,2.00,0.00,9.78,83.80,-0.04,0.00,,,
2/1/2022 0:20,13.40,76.80,421.00,2.69,0.30,0.00,0.00,99.80,99.90,24.60,2.00,0.00,9.77,83.93,-0.04,0.00,,,
2/1/2022 0:24,13.50,76.40,423.00,2.75,0.30,0.00,0.00,99.80,99.90,23.90,2.00,0.00,9.75,84.07,-0.04,0.00,,,
2/1/2022 0:29,13.50,76.00,423.00,2.80,0.30,0.00,0.00,99.80,99.90,0.00,2.00,0.00,9.74,84.20,-0.04,0.00,,,
2/1/2022 0:35,13.50,76.10,423.00,2.79,0.30,0.00,0.00,99.80,99.90,0.00,2.00,0.00,9.71,84.20,-0.04,0.00,,,
2/1/2022 0:40,13.50,76.30,421.00,2.77,0.30,0.00,0.00,99.80,99.90,0.00,2.00,0.00,9.69,84.20,-0.04,0.00,,,
2/1/2022 0:45,13.40,76.50,423.00,2.73,0.30,0.00,0.00,99.80,99.90,0.00,2.00,0.00,9.66,84.20,-0.04,0.00,,,
2/1/2022 0:49,13.40,76.80,425.00,2.69,0.00,0.30,0.00,99.80,99.90,0.00,2.00,0.00,9.64,84.20,-0.04,0.00,,,
2/1/2022 0:54,13.40,76.30,426.00,2.75,0.00,0.30,0.00,99.80,99.90,0.00,2.00,0.00,9.63,84.20,-0.04,0.00,,,
2/1/2022 1:00,13.40,76.70,424.00,2.70,0.00,0.30,0.00,99.80,99.90,0.00,2.00,0.00,9.61,84.20,-0.04,0.00,,,
2/1/2022 1:05,13.30,76.60,423.00,2.70,0.00,0.30,0.00,99.80,99.90,0.00,2.00,0.00,9.60,84.33,-0.04,0.00,,,
2/1/2022 1:09,13.30,77.30,421.00,2.62,0.00,0.30,0.00,99.80,99.90,0.00,2.00,0.00,9.58,84.47,-0.04,0.00,,,
