timestamp,thermal_opening,blackout_opening,co2_Air,rh_Air,T_Air,par,humidity_deficit,lee_vent,wind_vent,net_radiation__ridder,T_Canopy__ridder,transpiration__ridder,rh_Air__sigrow,T_Air__sigrow,par__sigrow,stomata_conductivity__sigrow
2022-05-02 13:15:00,69.8,50,421,43.7,25.9,416,13.61,99.7,85.1,,,,43.4,28.96,646,0.0775
2022-05-02 13:30:00,69.8,50,400,43.7,26.4,92,14,99.7,85.1,30.8,26,20.7,38.8,29.69,115,0.015
2022-05-02 13:45:00,69.8,50,394,49.9,26.3,248,12.39,99.7,85.1,7.3,26,7.8,48.6,28.7,342,0.0475
2022-05-02 14:00:00,69.8,50,410,46.7,27.7,427,14.24,99.7,85.1,,,,,,,
2022-05-02 14:15:00,69.8,50,399,43.8,27.9,541,15.18,99.7,85.1,44.5,26.7,30.7,42.3,29.99,271,0.0175
2022-05-02 14:30:00,69.8,50,412,49.9,26.4,521,12.46,99.7,85.1,7.2,25.6,7.7,,,,
2022-05-02 14:45:00,69.8,50,418,49.9,26.4,180,12.46,82.7,72.5,,,,40,29.39,163,0.0525
2022-05-02 15:00:00,69.8,50,401,52,26,458,11.67,82.7,72.5,7.1,26.9,8.2,,,,
2022-05-02 15:15:00,69.8,50,412,49.7,26.4,421,12.51,82.1,72.6,8.7,27,8.5,,,,
2022-05-02 15:30:00,69.8,50,399,51.2,26.9,332,12.47,79.6,65.5,,,,46.3,29.05,231,0.095
2022-05-02 15:45:00,69.8,50,396,50.4,26.4,217,12.34,79.6,53.5,7.2,25,6.9,45.7,29.35,218,0.085
2022-05-02 16:00:00,69.8,50,388,50.1,26.7,202,12.62,78.4,56.9,7.5,25.3,7,44.6,29.35,223,0.0175
2022-05-02 16:15:00,69.8,50,387,50.9,26.2,186,12.07,78.4,52.5,,,,44.6,29.39,231,0.0925
2022-05-02 16:30:00,69.8,50,387,50.8,26.2,173,12.1,78.4,52.5,3.5,25.8,7.8,,,,
2022-05-02 16:45:00,69.8,50,386,53.4,25.8,164,11.21,78.4,52.5,2.5,25.5,7.6,46.9,28.88,212,0.0925
2022-05-02 17:00:00,69.8,50,385,52.9,25.3,191,11.02,58.2,41.4,,,,,,,
2022-05-02 17:15:00,60,50,387,54.1,25.2,206,10.67,58.2,37.4,-2.9,24.1,7.3,,,,
2022-05-02 17:30:00,60,50,388,54.6,25.4,173,10.68,57.6,37.4,-4.5,23.7,7.1,,,,
2022-05-02 17:45:00,60,50,385,54.9,24.5,327,10.08,46.6,27.6,,,,48.2,27.32,147,0.04
