timestamp,thermal_opening,blackout_opening,co2_Air,rh_Air,T_Air,par,humidity_deficit,lee_vent,wind_vent,net_radiation__ridder,T_Canopy__ridder,transpiration__ridder,rh_Air__sigrow,T_Air__sigrow,par__sigrow,stomata_conductivity__sigrow
2022-05-02 13:15:00,79.8,0.2,589,40.2,26.3,604,14.79,99.8,100,,,,40.6,27.1,525,0
2022-05-02 13:30:00,79.8,0.2,634,41.1,25.9,142,14.24,99.8,100,,,,36.4,28.42,144,0
2022-05-02 13:45:00,79.8,0.2,649,45.4,26.3,640,13.5,99.8,100,,,,42.2,27.27,481,0
2022-05-02 14:00:00,79.8,0.2,622,39.6,27.8,657,16.23,99.8,100,,,,42.2,28.38,464,0
2022-05-02 14:15:00,79.8,0.2,617,38.2,28.2,699,16.98,99.8,100,8.9,25.5,7.5,35.6,29.25,368,0
2022-05-02 14:30:00,79.8,0.2,507,36,27.3,648,16.73,99.8,94,8.1,25.1,7.4,34,29.34,259,0
2022-05-02 14:45:00,79.8,0.2,419,39.7,27.2,282,15.68,82.7,76.5,,,,,,,
2022-05-02 14:45:00,79.8,0.2,419,39.7,27.2,282,15.68,82.7,76.5,,,,,,,
2022-05-02 15:00:00,79.8,0.2,397,42.9,26.3,581,14.12,82.7,82.1,7,26.9,8.4,40,27.52,380,0
2022-05-02 15:15:00,79.8,0.2,394,37.1,27,585,16.17,82.1,82.7,8.1,27.3,8.7,33.3,28.65,378,0.0025
2022-05-02 15:30:00,79.8,0.2,390,39.7,26.6,1037,15.17,79.6,74,,,,31.5,28.99,386,0
2022-05-02 15:45:00,79.8,0.2,391,40,26,1038,14.59,79.6,74,6.5,25.3,7.2,33.7,28.12,617,0
2022-05-02 16:00:00,79.8,0.2,388,37.6,26.7,450,15.78,78.4,78.4,7,25.5,7.2,34.8,27.91,507,0
2022-05-02 16:15:00,79.8,0.2,386,39.6,25.8,471,14.53,78.4,72.7,,,,36.4,27.57,573,0
2022-05-02 16:30:00,79.8,0.2,388,40.9,26,420,14.37,78.4,78.4,3.7,25.7,7.7,40.1,27.57,296,0
2022-05-02 16:45:00,79.8,0.2,387,42.8,25.3,378,13.38,78.4,72.7,0,24.1,7.1,,,,
2022-05-02 17:00:00,79.8,0.2,385,45.3,24.8,370,12.44,78.4,67.5,,,,40.1,26.49,236,0
2022-05-02 17:15:00,79.8,0.2,387,45.3,24.4,345,12.16,65.2,40.4,0.4,25,7.5,41.2,26.15,214,0
2022-05-02 17:30:00,77,0.2,387,44.9,24.1,291,12.04,64.6,40.4,-1.8,22.5,6.3,,,,
2022-05-02 17:45:00,14.6,0.2,385,60.9,24.5,505,8.74,0,0,,,,,,,
2022-05-02 18:00:00,0.1,0.2,387,62.5,25.4,310,8.82,5.2,7.9,118.3,24.7,36,61.6,26.06,165,0
2022-05-02 18:15:00,0.1,0.2,391,66.2,25.1,183,7.81,12.1,5.9,106.8,24.6,35.2,58.3,26.06,173,0
2022-05-02 18:30:00,0.1,0.2,385,55.1,22,163,8.7,19.1,11,,,,45.1,24.49,125,0
2022-05-02 18:45:00,0.1,0.2,385,58.5,21.5,136,7.82,17.1,9.6,76.7,21.8,18.5,,,,
2022-05-02 19:00:00,0.1,0.2,386,63,21.6,117,7.01,14.5,7.9,64.9,21.3,16.7,54.8,23.23,104,0
2022-05-02 19:15:00,0.1,0.2,383,60.7,21.1,97,7.23,9.5,5.4,,,,52.7,23.35,80,0
2022-05-02 19:30:00,0.1,0.2,385,59.5,20.7,85,7.28,14.4,8.5,21.9,19.7,13.7,53.2,22.83,68,0
