Year,Mon,Day,Harvest,Treatment,Cultivar,Berry #,Brix,TA
20,12,25,1,CONT,AL,1,14.6,0.4728
20,12,25,1,CONT,AL,2,11.4,0.4962
20,12,25,1,CONT,AL,3,16.2,0.4824
20,12,25,1,CONT,CA,1,10,0.4814
20,12,25,1,CONT,CA,2,15.2,0.3685
20,12,25,1,CONT,CA,3,15.2,0.4488
20,12,25,1,CO2,CA,1,12,0.4235
20,12,25,1,CO2,CA,2,14.7,0.5681
20,12,25,1,CO2,CA,3,8.8,0.4271
20,12,29,2,CONT,AL,1,12.2,0.4764
20,12,29,2,CONT,AL,2,12,0.6297
20,12,29,2,CONT,AL,3,14.1,0.6072
20,12,29,2,CO2,CA,1,9.8,0.4245
20,12,29,2,CO2,CA,2,12.6,0.4666
20,12,29,2,CO2,CA,3,12.5,0.4492
20,12,29,2,CO2,AL,1,13.2,0.4376
20,12,29,2,CO2,AL,2,10.3,0.5301
20,12,29,2,CO2,AL,3,17.2,0.4646
20,12,29,2,CONT,CA,1,11.1,0.4327
20,12,29,2,CONT,CA,2,10.6,0.5617
20,12,29,2,CONT,CA,3,9.2,0.5369
21,1,1,3,CO2,CA,1,8.6,0.5526
21,1,1,3,CO2,CA,2,12.5,0.421
21,1,1,3,CO2,CA,3,11.7,0.4969
21,1,1,3,CO2,AL,1,11.4,0.4977
21,1,1,3,CO2,AL,2,12.3,0.6049
21,1,1,3,CO2,AL,3,12.3,0.4938
21,1,1,3,CONT,AL,1,10,0.573
21,1,1,3,CONT,AL,2,8.7,0.5562
21,1,1,3,CONT,AL,3,10.9,0.4712
21,1,1,3,CONT,CA,1,10.1,0.5064
21,1,1,3,CONT,CA,2,7.2,0.5993
21,1,1,3,CONT,CA,3,6.7,0.5155
21,1,5,4,CO2,CA,1,9.1,0.5082
21,1,5,4,CO2,CA,2,10.7,0.4742
21,1,5,4,CO2,CA,3,8.1,0.5651
21,1,5,4,CO2,AL,1,11.8,0.4186
