Yr,Mon,Day,Harvest #,Treatment,Cultivar,Row,Bucket,TB#,TBFW,TFW/Berry,MB#,MBFW,MFW/Berry,,,TB#,TBFW,MB#,MBFW,kg/pl/3mon,lb/pl/3mon,lb/acre/3mon,lb/acre/9mon,,,,,,,,,
2020,12,25,1,CO2,CA,1,1,0,, ,0,, ,,CO2,CA,1566,18.1225,554,9.827,0.204729166666667,0.450404166666667,19619.6055,58858.8165,,,,,,,,,
2020,12,25,1,CO2,CA,1,2,0,, ,0,, ,,CO2,AL,1306,14.0743,574,8.4582,0.1762125,0.3876675,16886.7963,50660.3889,,,,,,,,,
2020,12,25,1,CO2,CA,1,3,0,, ,0,, ,,Cont,CA,1825,16.7452,673,9.2538,0.1927875,0.4241325,18475.2117,55425.6351,,,,,,,,,
2020,12,25,1,CO2,CA,1,4,0,, ,0,, ,,Cont,AL,1291,10.5497,346,4.6952,0.097816666666667,0.215196666666667,9373.9668,28121.9004,,,,,,,,,
2020,12,25,1,CO2,CA,2,1,0,, ,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,CO2,CA,2,2,0,, ,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,CO2,CA,2,3,0,, ,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,CO2,CA,2,4,0,, ,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,CO2,CA,3,1,1,13.3,13.3,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,CO2,CA,3,2,3,92.2,30.7333333333333,2,57.4,28.7,,,,,,,,,,,,,,,,,,,
2020,12,25,1,CO2,CA,3,3,0,, ,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,CO2,CA,3,4,0,, ,0,, ,,,,,,,,,,,,,,4,105.5,22.0166666666667,2,57.4,28.7
2020,12,25,1,CO2,AL,1,1,0,, ,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,CO2,AL,1,2,0,, ,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,CO2,AL,1,3,0,, ,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,CO2,AL,1,4,0,, ,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,CO2,AL,2,1,0,, ,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,CO2,AL,2,2,0,, ,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,CO2,AL,2,3,0,, ,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,CO2,AL,2,4,0,, ,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,CO2,AL,3,1,0,, ,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,CO2,AL,3,2,0,, ,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,CO2,AL,3,3,0,, ,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,CO2,AL,3,4,0,, ,0,, ,,,,,,,,,,,,,,0,0,#DIV/0!,0,0,#DIV/0!
2020,12,25,1,Control,CA,1,1,0,, ,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,Control,CA,1,2,5,79.8,15.96,1,25.3,25.3,,,,,,,,,,,,,,,,,,,
2020,12,25,1,Control,CA,1,3,0,, ,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,Control,CA,1,4,0,, ,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,Control,CA,2,1,2,75,37.5,2,75,37.5,,,,,,,,,,,,,,,,,,,
2020,12,25,1,Control,CA,2,2,0,, ,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,Control,CA,2,3,3,72.3,24.1,1,22.8,22.8,,,,,,,,,,,,,,,,,,,
2020,12,25,1,Control,CA,2,4,0,, ,0,, ,,,,,,,,,,,,,,,,,,,
2020,12,25,1,Control,CA,3,1,2,44.2,22.1,1,32.9,32.9,,,,,,,,,,,,,,,,,,,
2020,12,25,1,Control,CA,3,2,6,93.6,15.6,0,, ,,,,,,,,,,,,,,,,,,,
