Harvest #,Treatment,Cultivar,TB#,TBFW,Mean TBFW/Berry,MB#,MBFW,Mean MBFW/Berry
1,CO2,AL,0,0,,0,0,
1,Control,AL,7,162.9,23.38,4,76.3,19.25
2,CO2,AL,8,137.1,17.5857142857143,1,26.5,26.5
2,Control,AL,7,40.9,14.575,4,93,24.4333333333333
3,CO2,AL,4,78.2,20.65,1,38.3,38.3
3,Control,AL,2,30.5,15.25,1,18.5,18.5
4,CO2,AL,18,314.7,15.325,10,204.1,17.6166666666667
4,Control,AL,15,164.7,11.1588888888889,3,37.1,12.3666666666667
5,CO2,AL,9,117.1,12.4333333333333,2,34.2,17.1
5,Control,AL,18,137.9,8.13148148148148,4,48.9,12.2833333333333
6,CO2,AL,39,478.6,11.9241071428571,15,242.5,15.8821428571429
6,Control,AL,42,378.9,8.84280303030303,15,250.3,14.8619047619048
7,CO2,AL,37,410.3,11.7709788359788,16,263.5,16.2296296296296
7,Control,AL,47,439.4,8.88507936507937,9,186.3,20.3166666666667
8,CO2,AL,76,837.1,10.9463293650794,43,718,16.5958333333333
8,Control,AL,68,624.1,9.14844576719577,19,362.7,18.2277777777778
9,CO2,AL,48,552,12.5254603174603,31,391.6,13.3681481481481
9,Control,AL,24,265.2,11.284,12,202.8,17.0148148148148
10,CO2,AL,63,956.2,15.9004707792208,37,443.1,14.6030555555556
10,Control,AL,60,556.1,9.97866161616162,15,232.2,14.637037037037
11,CO2,AL,53,693.2,12.6716567460317,29,417.2,15.2086363636364
11,Control,AL,48,414,8.99835497835498,10,147.5,15.1071428571429
12,CO2,AL,60,567.8,10.2622685185185,26,297.2,12.3989393939394
12,Control,AL,40,464.8,11.0195833333333,14,237.5,16.7680555555556
13,CO2,AL,21,305,14.9033333333333,9,154.2,18.3888888888889
13,Control,AL,48,443.6,10.6297402597403,24,367.5,14.0883333333333
14,CO2,AL,61,622,11.0717592592593,19,286.5,14.5925
14,Control,AL,112,910.5,8.03193539404066,25,369,14.9378787878788
15,CO2,AL,15,142.9,8.90208333333333,3,41.4,13.8
15,Control,AL,36,361,10.8850462962963,10,115,10.5
16,CO2,AL,36,372.2,11.1656428571429,13,247.1,19.3791666666667
16,Control,AL,69,537.4,7.73275462962963,19,205.9,10.9037037037037
17,CO2,AL,22,262.9,12.5146296296296,9,102.3,10.4066666666667
17,Control,AL,57,558.1,9.66781746031746,24,298.1,11.9841666666667
18,CO2,AL,43,477.2,12.3034722222222,14,216,14.4708333333333
18,Control,AL,87,465,6.11048024891775,17,199.5,11.295
19,CO2,AL,38,495.6,13.8474206349206,23,406,17.8925925925926
19,Control,AL,79,646.4,8.75451178451178,25,350.1,14.7966666666667
