%Time,irr_PH,irr_EC,irr_NH4,irr_K,irr_Na,irr_Ca,irr_Mg,irr_Si,irr_NO3,irr_Cl,irr_SO4,irr_HCO3,irr_PO4,irr_Fe,irr_Mn,irr_Zn,irr_B,irr_Cu,irr_Mo,drain_PH,drain_EC,drain_NH4,drain_K,drain_Na,drain_Ca,drain_Mg,drain_Si,drain_NO3,drain_Cl,drain_SO4,drain_HCO3,drain_PO4,drain_Fe,drain_Mn,drain_Zn,drain_B,drain_Cu,drain_Mo
43836, 5.3,4.3,1.1,15.2,0.3,9.6,4.9,0.09,21.7,5.7,8.7,0.09,2.7,20.3,15.1,4.3,41,0.7,0.5,6.5,4.5,0.09,17.1,0.6,10.6,6.7,0.09,15.7,7.6,13.5,1.4,2,27.8,7.7,5.7,49,0.9,0.61
43850, 5.2,4,1.1,11.3,0.3,9.8,4.1,0.09,21,5.3,6.1,0.09,2.2,19.6,14,2.3,46,0.6,0.31,7.1,5,0.09,12.8,1.1,13.5,11.1,0.3,6.5,10,23.4,1.3,0.42,21.1,0.8,6.4,56,0.7,0.94
43864, 4.8,3.9,1.3,11.6,0.3,10.2,3.5,0.09,18.6,8.2,4.4,0.09,3.3,26.1,22.3,2.6,57,0.6,0.28,6.4,4.4,0.09,2.2,1,18.5,10,0.6,11.3,12,17.5,1,1.3,18.3,1.1,3.7,93,0.5,0.47
43879, 4.8,3.7,1.4,13.3,0.4,8.2,2.8,0.09,16,7.2,4,0.09,4.2,27.1,23.9,3.4,45,0.6,0.27,5.5,5.7,0.09,4.5,1.4,21.9,10.1,1.3,13.9,20,13.2,0.1,6.1,24.4,4.5,3.8,134,1,0.13
43893, 4.7,3.5,1.1,11.3,0.4,7.6,2.5,0.01,14.1,6.6,3.5,0.1,3.72,24,23,3.4,38,0.6,0.3,5.2,6.6,0.1,11.9,1.5,22.7,9.4,1.26,23.6,21.2,11.6,0.1,9.32,31,11,6.5,113,1.1,0.1
43908, 5.4,3.4,1.3,13.4,0.3,6.5,1.9,0.009,17.1,0.2,4.8,0.2,3.25,35,24,4.6,25,0.7,0.3,5.6,5,0.09,14.8,1.1,14.2,6,0.82,20.9,4.3,12.3,0.09,6.41,35,9.8,8.2,60,1.1,0.1
43921, 5.6,3.1,1.2,11,0.2,5.6,2,0.009,16.9,0.3,4.1,0.1,2.74,28,20,3.8,22,0.6,0.3,5.4,5.3,0.09,17.9,0.7,13.4,5.1,0.59,27.1,0.1,11,0.09,5.6,30,13,9.5,37,1.1,0.1
43936, 5.7,2.9,1.2,9.3,0.3,6.4,2.7,0.009,16.6,1,3.7,0.09,2.55,27,20,3.7,32,0.7,0.1,5.3,5.3,0.09,13.5,0.8,15.1,6.6,0.79,30.1,0.09,11.3,0.09,5.99,27,15,8.3,66,0.8,0.09
43951, 6.00,3.60,0.80,13.60,0.30,8.30,3.20,0.01,17.00,4.30,5.70,0.30,2.14,29.00,23.00,6.30,41.00,0.90,0.60,5.10,4.90,0.09,13.80,0.80,14.90,6.40,0.80,29.20,0.09,9.90,0.09,5.20,35.00,15.00,9.90,68.00,0.80,0.09
43963, 5.70,3.00,0.80,9.10,0.20,6.20,2.10,0.01,15.70,0.90,3.70,0.09,2.66,23.00,24.00,4.10,29.00,0.80,0.50,4.80,7.20,0.09,18.60,0.90,19.00,8.10,1.11,46.10,0.20,12.30,0.09,5.99,53.00,27.00,13.00,86.00,1.00,0.09
