%Time ,Heat_cons,ElecHigh,ElecLow,CO2_cons,Irr,Drain
43815,2.8557,0.84475,0,0.005477352,16.2,0.0
43816,1.1328,0.522666667,0,0.005503333,0.0,0.0
43817,1.143,0.837,0,0.0114525,0.0,0.0
43818,0.1194,0.864,0.54,0.01983,0.0,0.0
43819,0.5727,1.326583333,0.550833333,0.031044167,0.8,0.0
43820,2.4702,1.438833333,0.291,0.015726667,0.5,0.0
43821,1.8318,1.438833333,0.21825,0.022485833,0.5,0.0
43822,3.087,1.487333333,0.12125,0.020441667,0.2,1.8
43823,3.3036,1.487333333,0.116416667,0.0381175,1.1,0.4
43824,2.4594,1.495416667,0.113166667,0.0272375,4.3,4.4
43825,3.4986,1.495416667,0.113166667,0.020265,1.4,1.6
43826,3.0144,1.495416667,0.113166667,0.0240325,1.4,2.3
43827,3.3084,2.01025,0.113166667,0.029253333,0.7,0.8
43828,3.1068,2.202833333,0.166833333,0.034603333,0.7,0.0
43829,2.6589,1.835166667,0.166833333,0.04672,0.7,1.0
43830,2.3616,2.142583333,0.0945,0.038374167,2.2,0.8
43831,3.2034,2.2165,0.166833333,0.039654167,2.2,1.1
43832,3.558,2.2165,0.166833333,0.040348333,2.2,1.1
43833,2.8782,2.192666667,0.166833333,0.053045833,1.7,0.5
43834,2.0817,2.192666667,0.166833333,0.061370833,1.7,0.4
43835,1.9524,2.204583333,0.166833333,0.051531667,1.7,0.5
43836,1.9539,2.20425,0.166833333,0.064473333,1.7,0.2
43837,2.1531,2.09125,0.166833333,0.0557025,2.9,1.2
43838,1.5012,2.126833333,0.1725,0.0643225,2.2,0.2
43839,1.6545,2.139,0.23,0.074516667,2.9,0.0
43840,1.6623,2.136583333,0.23,0.053849167,2.9,1.7
43841,1.7796,2.139,0.23,0.0635,2.2,1.0
43842,2.2449,2.085416667,0.25025,0.070901667,2.2,0.9
43843,1.5333,1.994583333,0.238333333,0.054850833,2.2,0.8
43844,1.2873,2.082666667,0.25025,0.0780725,1.9,0.8
43845,1.0539,2.082666667,0.25025,0.072799167,1.9,0.6
43846,1.4676,2.082666667,0.25025,0.066641667,1.9,0.5
43847,1.1733,1.995583333,0.25025,0.069784167,1.9,0.7
43848,2.4348,1.371416667,0,0.038735833,1.9,0.5
43849,1.509,2.0995,0.262166667,0.05841,1.9,0.4
43850,1.6113,2.10175,0.262166667,0.04814,1.9,0.1
43851,2.184,2.114666667,0.262166667,0.041620833,2.4,0.5
43852,2.0481,2.111416667,0.262166667,0.042986667,1.9,0.6
43853,1.2555,2.105,0.274083333,0.051185,2.4,0.7
43854,1.776,2.123666667,0.274083333,0.040304167,2.4,0.8
43855,2.265,2.002416667,0.284083333,0.037798333,2.4,0.7
43856,1.3869,1.92,0.25,0.064241667,2.4,0.8
43857,0.8952,1.861416667,0.18,0.062180833,2.2,1.0
43858,1.8171,2.151916667,0.286,0.058873333,1.9,0.2
43859,1.2048,2.151916667,0.286,0.068720833,3.1,1.2
43860,0.84,2.018916667,0.440916667,0.070689167,2.6,1.0
43861,0.9354,1.874,0.572,0.080135,2.4,0.8
43862,0.3636,1.882833333,0.715,0.090318333,2.2,0.5
43863,1.1883,1.668333333,0.846083333,0.064005,2.4,0.5
43864,0.6675,1.668333333,0.846083333,0.081874167,2.6,0.7
43865,1.7883,1.68025,0.858,0.067118333,2.6,0.9
43866,0.8445,1.68025,0.869916667,0.066768333,3.1,1.3
43867,0.8082,1.68025,0.869916667,0.067575833,2.6,0.8
43868,1.4928,1.60875,0.9295,0.058291667,2.6,0.6
43869,1.1862,1.620666667,0.9295,0.042886667,2.6,1.0
43870,1.6005,1.620666667,0.9295,0.06333,2.6,1.1
43871,1.1499,1.620666667,0.9295,0.08028,2.6,0.8
43872,2.2095,1.60875,0.9295,0.0831025,2.9,0.6
43873,1.8504,1.60875,0.9295,0.075449167,3.1,1.6
43874,2.064,1.620666667,0.9295,0.0551725,2.6,0.3
43875,0.7242,1.60875,0.9295,0.0635875,2.9,1.5
43876,0.3024,1.60875,0.9295,0.075675833,2.6,0.8
43877,0.6327,1.620666667,0.9295,0.112693333,2.6,1.2
43878,1.1259,1.60875,0.9295,0.0754975,2.9,0.9
43879,1.2165,1.19725,0.858,0.064509167,3.1,1.2
43880,1.2132,1.749333333,1.001,0.067034167,3.1,1.1
43881,2.2332,1.280583333,0.190666667,0.058219167,3.1,1.5
43882,2.7624,1.18125,0.855416667,0.05993,2.9,1.1
43883,2.0817,1.193166667,0.858,0.069333333,2.6,0.7
43884,2.9973,1.193166667,0.858,0.060071667,2.6,1.1
43885,3.4371,1.189166667,0.858,0.0427825,2.6,0.5
43886,2.5554,0.388416667,0,0.024375,2.4,0.6
43887,4.485,1.193166667,0.858,0.052169167,2.6,1.0
43888,4.8393,1.193166667,0.858,0.0356625,2.6,0.5
43889,3.7044,1.17325,0.858,0.045168333,3.1,1.1
43890,2.0913,1.16325,0.858,0.063148333,2.9,1.0
43891,1.6344,1.25725,0.7865,0.065365833,2.9,0.8
43892,3.1956,1.24925,0.7865,0.034360833,2.9,1.0
43893,2.2581,0.607083333,0.774583333,0.0574425,3.4,1.3
43894,1.536,1.310833333,0.7865,0.073166667,3.4,1.6
43895,2.5968,1.573,0.7865,0.0442825,3.4,1.9
43896,1.7673,1.573,0.7865,0.068833333,2.9,0.8
43897,2.2347,0.953333333,0.7865,0.067019167,3.4,0.1
43898,1.9668,1.573,0.7865,0.061339167,2.9,1.1
43899,1.4058,1.53725,0.7865,0.0686925,3.4,1.6
43900,1.7811,1.53725,0.7865,0.068069167,2.9,1.0
43901,0.6672,1.001,0.7865,0.0781475,3.1,0.0
43902,1.4469,0.858,0.774583333,0.086329167,3.4,0.4
43903,2.0205,0.917583333,0.7865,0.061383333,3.1,1.2
43904,1.3116,1.0725,0.7865,0.062456667,3.4,1.3
43905,1.155,1.53725,0.7865,0.065145,3.4,1.7
43906,1.065,0.440916667,0.7865,0.060979167,3.6,1.6
43907,1.4016,0.45025,0.7865,0.064784167,3.6,1.4
43908,0.8205,1.53725,0.7865,0.0823125,3.4,1.2
43909,1.1172,1.53725,0.7865,0.0606075,3.4,1.8
43910,1.9188,0.691166667,0,0.0226325,1.7,0.3
43911,2.6061,0.32175,0.7865,0.066104167,3.8,1.6
43912,2.6478,0.32175,0.7865,0.0734125,4.1,0.9
43913,2.6544,0.32175,0.7865,0.074956667,5.0,2.2
43914,2.1447,0.333666667,0.7865,0.074671667,5.0,2.4
43915,2.0709,0.333666667,0.7865,0.068235833,5.0,2.3
43916,2.6631,0,0,0.046814167,4.1,1.6
43917,1.4154,0.345583333,0.7865,0.06908,5.0,2.5
43918,1.8654,0.229583333,0.5225,0.071145,5.3,3.0
43919,2.8368,0.253333333,0.411666667,0.0699,3.8,1.1
43920,2.2089,1.19,0,0.040755,3.1,0.4
43921,2.3805,0.3325,0.4275,0.070870833,4.8,1.8
43922,2.391,0.340416667,0.4275,0.032579167,3.8,1.8
43923,1.7055,0.340416667,0.4275,0.050890833,3.4,1.5
43924,1.4667,0.340416667,0.4275,0.055366667,4.2,2.3
43925,1.503,0.340416667,0.4275,0.0793925,4.3,1.3
43926,1.1448,0.253333333,0.4275,0.090524167,4.7,1.7
43927,0.5388,0.26125,0.4275,0.085445,4.7,1.9
43928,0.5325,0.31075,0.5085,0.101229167,4.7,2.1
43929,0.2787,0.320166667,0.5085,0.079515,4.7,1.7
43930,0.4437,0.320166667,0.5085,0.087161667,5.0,2.0
43931,0.6621,0.320166667,0.5085,0.0976175,4.7,1.7
43932,0.525,0.320166667,0.5085,0.104416667,5.0,1.6
43933,0.411,0.320166667,0.5085,0.090629167,5.4,3.0
43934,1.6917,0.555583333,0.5085,0.082365,4.7,1.5
43935,1.7484,0.555583333,0.5085,0.054086667,4.7,2.4
43936,1.3023,0.301333333,0.5085,0.077670833,4.3,1.0
43937,0.636,0.301333333,0.5085,0.1002875,5.0,1.9
43938,0.4023,0.301333333,0.452,0.104180833,5.0,1.9
43939,0.7947,1.13,0,0.035640833,4.0,2.2
43940,0.6486,0.31075,0.5085,0.118889167,5.0,1.8
43941,0.9183,0.31075,0.5085,0.125911667,5.0,1.3
43942,0.5046,0.31075,0.5085,0.132741667,5.8,2.1
43943,0.3954,0.318833333,0.5085,0.131756667,5.8,2.3
43944,0.3648,0.207166667,0.5085,0.10898,6.5,3.4
43945,0.5841,0.103583333,0.5085,0.104474167,6.5,3.4
43946,1.3308,0.103583333,0.5085,0.037911667,5.4,3.6
43947,1.0725,0.103583333,0.452,0.0577625,5.0,1.8
43948,0.6321,0.226,0.452,0.099704167,4.7,1.1
43949,2.1894,1.21475,0.452,0.038483333,4.0,2.2
43950,0.4479,1.224166667,0.452,0.073429167,3.2,1.5
43951,0.6642,0.235416667,0.452,0.0845575,3.6,0.8
43952,0.8919,0.574416667,0.452,0.067765833,3.6,1.2
43953,0.5706,0.574416667,0.452,0.101318333,4.0,0.8
43954,0.4131,0,0,0.051095,4.3,2.0
43955,0.1968,0,0,0.04336,3.2,0.4
43956,1.0182,0.02825,0.452,0.107055,4.3,1.0
43957,0.8784,0.047083333,0.452,0.0987725,4.7,1.5
43958,1.0059,0,0,0.057175,4.3,1.3
43959,0.6069,0,0,0.054831667,4.3,1.6
43960,0.4248,0,0,0.084960833,4.3,1.1
43961,0.9474,0,0,0.0478775,4.0,1.7
43962,1.7796,0,0,0.0614,4.3,2.0
43963,1.3917,0,0,0.043698333,3.2,0.8
43964,1.3176,0,0,0.036520833,3.6,1.8
43965,1.275,0,0,0.060420833,4.0,2.1
43966,1.1919,0,0,0.069650833,4.7,2.6
43967,0.6528,0,0,0.058874167,3.6,1.7
43968,0.9843,0,0,0.080344167,4.7,2.4
43969,0.3714,0,0,0.0824875,4.7,2.6
43970,0.2685,0,0,0.067189167,3.6,1.6
43971,0.2349,0,0,0.0573575,4.3,2.2
43972,0.1677,0,0,0.061740833,4.7,2.4
43973,0,0,0,0.018374167,3.6,1.4
43974,0.3708,0,0,0.0276,4.7,2.5
43975,1.0035,0,0,0.007819167,3.2,2.5
43976,0.2694,0,0,0.029261667,4.3,2.0
43977,0.315,0,0,0.0237,4.3,1.9
