%Time ,Heat_cons,ElecHigh,ElecLow,CO2_cons,Irr,Drain
43815, 2.1363,1.1,0,0.006722509,0,0
43816, 0.7203,0.8,0,0.011021667,0,0
43817, 0.6036,0.9,0.54,0.012758333,0,0
43818, 0,1.1,0.54,0.017378333,0,0
43819, 1.4925,1.6,0.54675,0.051374167,0.437272727,0
43820, 1.0857,1.5,0.940666667,0.044545,0.567272727,0
43821, 0.2469,1.5,0.940666667,0.0330575,0.567272727,0
43822, 0.6576,1.5,0.940666667,0.048300833,0.26,0
43823, 0.315,1.5,0.929333333,0.0587075,1.17,0
43824, 0.2757,1.5,0.929333333,0.0709225,4.68,0
43825, 0.6186,1.5,0.940666667,0.053588333,1.95,0
43826, 0.8934,1.5,0.940666667,0.062585833,1.56,0
43827, 1.4877,1.5,0.940666667,0.0446025,0.78,0.24
43828, 1.5216,1.5,0.933,0.042306667,0.78,0.07
43829, 2.7252,0.7,0.56025,0.032451667,0.78,0.99
43830, 0.5886,1.5,0.929333333,0.056513333,2.34,1
43831, 1.1139,1.5,0.90875,0.0436275,2.34,1.15
43832, 1.1529,1.5,0.91625,0.041945,2.34,1.24
43833, 0.5997,1.5,0.90875,0.055414167,1.82,0.73
43834, 0.6663,1.5,0.929333333,0.04884,1.82,0.64
43835, 0.9999,1.5,0.940666667,0.042709167,1.82,0.62
43836, 1.515,1.5,0.9155,0.04448,1.56,0.31
43837, 1.5348,1.4,0.9155,0.037565,1.56,0.22
43838, 0.7191,1.5,0.90875,0.051936667,1.56,0.06
43839, 1.0608,1.5,0.9095,0.042585833,1.04,0
43840, 2.4849,1.5,0.90875,0.044021667,1.56,0.08
43841, 2.9133,1.5,0.929333333,0.0430875,7.8,4.61
43842, 2.2704,1.5,0.929333333,0.0428625,1.04,0
43843, 3.0492,1.4,0.929333333,0.039968333,1.82,0
43844, 2.0973,1.5,0.929333333,0.0447675,1.82,0
43845, 2.1189,1.5,0.906666667,0.042895,2.08,0.07
43846, 2.2728,1.5,0.929333333,0.041490833,2.08,0.14
43847, 1.6506,1.3,0.929333333,0.044274167,1.82,0.07
43848, 2.4201,1.5,0.940666667,0.044921667,2.08,0.21
43849, 2.5989,1.5,0.929333333,0.042435,2.08,0
43850, 2.0619,1.5,0.929333333,0.034925,2.34,0.15
43851, 2.0868,1.5,0.940666667,0.035516667,2.34,0.31
43852, 0.9831,1.5,0.929333333,0.044163333,2.34,0.22
43853, 0.6075,1.5,0.940666667,0.0504175,2.34,0.47
43854, 1.6368,1.5,0.929333333,0.044961667,2.34,0.38
43855, 1.5759,1.5,0.929333333,0.048233333,3.12,0.7
43856, 1.413,1.5,0.940666667,0.05659,3.38,1.17
43857, 0.7239,1.3,0.940666667,0.0601625,3.38,1.2
43858, 1.4442,1.5,0.929333333,0.0442,3.64,1.35
43859, 0.7131,1.4,0.940666667,0.053753333,4.16,1.78
43860, 0.5835,1.5,0.929333333,0.058273333,3.9,1.94
43861, 0.5961,1.5,0.929333333,0.061585,3.9,1.94
43862, 0.5259,1.5,0.929333333,0.071775833,3.9,2
43863, 0.6135,1.5,0.929333333,0.055570833,3.9,1.8
43864, 0.54,1.5,0.929333333,0.077239167,3.9,1.9
43865, 0.8706,1.5,0.940666667,0.049230833,3.9,1.53
43866, 0.5322,1.5,0.929333333,0.0475375,3.38,1.11
43867, 0.6039,1.3,0.940666667,0.048425833,3.9,1.44
43868, 1.032,1.0,0.940666667,0.041315833,4.16,1.64
43869, 1.041,1.5,0.929333333,0.035313333,3.64,1.4
43870, 0.939,1.5,0.952,0.05108,3.64,1.37
43871, 0.7296,1.5,0.952,0.061749167,3.64,1.31
43872, 0.7512,1.5,0.952,0.066238333,3.64,1.12
43873, 0.7746,1.3,0.952,0.057146667,4.16,1.64
43874, 0.7422,1.5,0.952,0.042701667,3.9,1.7
43875, 0.6126,1.4,0.931083333,0.056224167,3.9,1.67
43876, 0.6207,1.5,0.947666667,0.069225833,3.9,1.5
43877, 0.6534,1.5,0.948833333,0.10343,3.9,1.5
43878, 0.7332,1.4,0.948833333,0.060725,4.16,1.46
43879, 0.6639,1.2,0.94025,0.058978333,4.68,2.07
43880, 0.8805,1.1,0.94025,0.054701667,3.9,1.04
43881, 1.1229,1.5,0.940666667,0.053355,3.64,1.03
43882, 1.2606,1.5,0.940666667,0.050615833,3.64,1.01
43883, 1.0974,1.5,0.940666667,0.054069167,3.64,1.12
43884, 1.3398,1.5,0.940666667,0.050841667,3.64,1.28
43885, 1.284,1.5,0.872666667,0.038455,3.64,1.2
43886, 1.245,0.8,0.940666667,0.051075,3.38,0.67
43887, 1.6953,1.5,0.940666667,0.043725,4.42,1.46
