%Time,irr_PH,irr_EC,irr_NH4,irr_K,irr_Na,irr_Ca,irr_Mg,irr_Si,irr_NO3,irr_Cl,irr_SO4,irr_HCO3,irr_PO4,irr_Fe,irr_Mn,irr_Zn,irr_B,irr_Cu,irr_Mo,drain_PH,drain_EC,drain_NH4,drain_K,drain_Na,drain_Ca,drain_Mg,drain_Si,drain_NO3,drain_Cl,drain_SO4,drain_HCO3,drain_PO4,drain_Fe,drain_Mn,drain_Zn,drain_B,drain_Cu,drain_Mo
43836,5.3,3.7,1,13.5,0.3,8,4.3,0.09,19.7,4.1,7.5,0.09,2.4,17.9,12.1,4,36,0.7,0.46,6.7,3.5,0.09,13.6,0.4,8.2,5.1,0.09,12,5.2,10.6,2,1.6,22.6,3.6,5.8,37,0.9,0.47
43850,5.3,4.3,1,15.2,0.3,9.3,5.1,0.09,18.8,5.8,8.7,0.09,2.7,17.7,13.2,3.5,35,0.8,0.43,6.8,5.2,0.09,15.8,1,13,10.3,0.2,10.5,9.4,21.8,1.4,1.2,25.3,1.6,7.1,48,1,0.8
43864,5.2,4.2,1.1,15.5,0.3,9.6,5,0.09,18.7,5.8,8.9,0.09,2.7,18,12.4,6,37,0.7,0.45,6.1,5.6,0.09,17.6,0.9,16.1,10.9,0.4,16.3,10.9,21.2,0.8,2.8,14.7,2.3,6.7,58,0.7,0.65
43879,5.3,4.1,1.1,14.6,0.4,8.8,4.8,0.09,18,5.3,8,0.09,2.4,18.2,11.9,5,33,0.7,0.42,5.8,6.7,0.09,17.5,1.1,19.5,13,0.7,21.2,11.4,22.4,0.5,3.4,10.2,3.4,8.3,63,0.7,0.41
43893,5.4,4.9,1,15.8,0.4,11.3,5.1,0.01,22,7,9.2,0.2,3.01,15,12,5.4,32,0.7,0.5,5.3,9.1,0.1,27.4,1.5,29.1,17.4,0.77,43.2,19.5,27.9,0.3,5.87,17,7.1,15,78,1.1,1
43908,5.4,4.5,1,14.8,0.4,10.8,4.7,0.009,19.2,6.1,8.9,0.2,2.79,16,11,5.1,32,0.7,0.5,5.2,9.6,0.1,29.4,1.4,28.5,17.1,0.76,41.4,18.5,26.2,0.09,5.46,18,6.8,18,68,1,0.6
43921,5.9,3.1,0.8,10.1,0.2,6.7,1.9,0.009,16.4,1.1,4.5,0.4,2.41,27,14,3.7,31,0.6,1.3,5.4,6,0.3,17.9,0.7,17,6.1,0.43,28.3,4.2,14.1,0.09,4.24,36,6.2,13,46,1,0.4
43936,6.4,3.3,0.09,12.9,0.3,8.1,2.3,0.01,18.5,0.6,5.3,0.4,2.9,28,13,4.4,35,0.6,0.3,6.3,3.9,0.09,15.4,0.5,10.3,3.8,0.1,20.5,0.09,9.2,0.2,2.43,19,3.7,7.3,46,0.6,0.4
43951,5.5,3.1,0.09,10.3,0.3,7.6,2.5,0.01,17,2.9,3.6,0.5,2.45,36,28,9.1,49,1.4,1.1,5.3,6.3,0.09,23.4,0.7,14.9,6.8,0.35,32.1,8,11.4,0.2,3.57,46,13,16,69,1.6,0.5
43963,6.1,3.2,1.4,11.5,0.2,7.4,2,0.01,18.3,0.6,4.9,0.1,2.59,22,14,4.8,28,0.8,0.3,5.5,3.1,0.09,10.3,0.3,7.6,2.5,0.01,17,2.9,3.6,0.5,2.45,36,28,9.1,49,1.4,1.1
