%Time ,Heat_cons,ElecHigh,ElecLow,CO2_cons,Irr,Drain
43815,3.2838,0.959833333,0,0.006252544,0,0
43816,0.8619,0.812,0,0.012383333,0,0
43817,0.8829,0.918,0.54,0.014126667,0,0
43818,0.0312,0.85725,0.54,0.025169167,0,0
43819,2.9706,0.666583333,0.6805,0.0306025,0.4335,0
43820,2.3574,1.198166667,1.08575,0.024686667,0,0
43821,0,1.201333333,1.088,0.027380833,0,0
43822,0,1.402666667,1.084583333,0.0199575,0.1734,0
43823,0,1.337333333,1.084916667,0.0149475,0.7803,0
43824,0.0093,1.184583333,1.084583333,0.0149725,3.1212,0
43825,0.036,1.297583333,0.96825,0.026484167,1.0404,0
43826,0.696,1.450666667,1.088,0.029065,1.0404,0
43827,1.1337,1.416666667,1.08575,0.025296667,0.5202,0
43828,0.7608,1.439333333,1.084583333,0.025821667,0.5202,0
43829,0.2523,1.088,1.033,0.028581667,0.5202,0.96
43830,1.3074,1.382833333,0.7015,0.024590833,1.5606,0.64
43831,0.5766,1.450666667,1.091,0.027863333,1.5606,0.39
43832,1.6395,1.495416667,1.114,0.028828333,1.5606,0.53
43833,1.0557,1.49225,1.128,0.035986667,1.2138,0.14
43834,0.3066,1.49225,1.128,0.0386475,1.2138,0.27
43835,0.6165,1.49225,1.128,0.033825833,1.2138,0.18
43836,0.7404,1.49225,1.1255,0.038390833,2.0808,0.27
43837,1.1337,1.39825,1.124583333,0.035135,1.5606,0.11
43838,0.7419,1.481666667,1.117583333,0.040248333,1.5606,0.15
43839,0.9816,1.493333333,1.117583333,0.049325,1.5606,0.14
43840,1.9629,1.493333333,1.117583333,0.0447575,2.2542,0.25
43841,1.9905,1.493333333,1.12,0.043399167,1.734,0.12
43842,1.4904,1.481666667,1.117583333,0.043618333,2.2542,0.27
43843,1.5228,1.388333333,1.117583333,0.040669167,2.7744,0.53
43844,1.9887,1.45075,1.085,0.04283,2.4276,1.04
43845,1.9107,1.46025,0.98,0.046815,2.7744,2.23
43846,2.0733,1.46025,0.98,0.042561667,2.5143,0.2
43847,2.0106,1.313,0.98,0.038118333,3.1212,0.95
43848,2.3586,1.453,0.956666667,0.04258,2.3409,0.76
43849,2.6766,1.47,0.956666667,0.042175833,2.0808,0.21
43850,2.0367,1.446666667,1.096666667,0.035471667,2.3409,0.17
43851,3.579,1.456916667,0.98,0.0338275,2.601,0.21
43852,2.3787,1.454583333,1.12,0.030384167,2.8611,0.23
43853,1.3551,1.45875,1.12,0.0376975,3.3813,1.1
43854,2.2161,1.445416667,1.12,0.037880833,2.8611,0.52
43855,2.7954,1.54,1.12,0.037260833,2.8611,0.41
43856,2.0526,1.54,1.12,0.04206,2.8611,0.45
43857,1.7553,1.267666667,1.12,0.0464725,2.8611,0.76
43858,3.1839,1.447583333,1.12,0.04605,2.8611,0.525454545
43859,1.8768,1.773,1.1075,0.068239167,3.1212,0.8
43860,1.023,1.817583333,1.144,0.073833333,3.1212,0.81
43861,0.6966,1.817583333,1.144,0.08477,3.3813,3.86
43862,0.6996,1.836333333,1.144,0.094811667,3.3813,3.26
