%Time,Stem_elong,Stem_thick,Cum_trusses,stem_dens ,plant_dens
43823, 19.5,8.0,NaN,3.9,1.95
43830, 26.6,10.2,0.9,3.9,1.95
43838, 32.2,11.9,2.3,3.9,1.95
43845, 27.2,12.2,3.8,3.9,1.95
43852, 29.9,12.7,5.0,3.9,1.95
43859, 28.8,10.7,6.4,3.9,1.95
43866, 31.6,11.5,7.7,3.9,1.95
43873, 34.9,11.2,8.7,3.9,1.95
43880, 36.8,10.5,10.1,4.8,1.95
43887, 37.1,10.5,11.3,4.8,1.95
43894, 35.9,11.0,12.5,4.8,1.95
43901, 33.8,11.0,13.8,4.8,1.95
43908, 32.8,10.6,15.2,4.8,1.95
43915, 30.2,11.3,16.5,4.8,1.95
43922, 28.4,10.7,17.8,4.8,1.95
43929, 27.9,10.2,18.8,4.8,1.95
43936, 34.3,9.9,20.3,4.8,1.95
43943, 36.3,9.3,21.7,4.8,1.95
43950, NaN,NaN,21.7,4.8,1.95
43957, NaN,NaN,NaN,4.8,1.95
43964, NaN,NaN,NaN,4.8,1.95
43971, NaN,NaN,NaN,4.8,1.95
43978, NaN,NaN,NaN,4.8,1.95
