%time,ProdA,ProdB,avg_nr_harvested_trusses,Truss development time ,Nr_fruits_ClassA,Weight_fruits_ClassA,Nr_fruits_ClassB,Weight_fruits_ClassB
43880, 0.01,0.0000,NaN,NaN,0,0,0,0
43885, 0.83,0.0000,1.2,53,180,1714,0,0
43889, 0.39,0.0000,0.7,52,89,852,0,0
43894, 0.80,0.0000,1.3,51,212,2031,0,0
43899, 0.34,0.0000,0.3,54,44,442,0,0
43903, 0.72,0.0000,1.4,52,191,1820,0,0
43908, 0.60,0.0000,1.0,51,186,1680,0,0
43913, 0.37,0.0000,0.9,54,120,1039.4,0,0
43917, 0.31,0.0000,0.5,52,68,627,0,0
43922, 0.57,0.0000,0.9,55,141,1327,0,0
43927, 0.25,0.0000,0.4,54,62,576,0,0
43931, 0.54,0.0000,1.1,54,177,1543,0,0
43936, 0.63,0.0000,0.6,53,87,746,0,0
43941, 0.60,0.0000,1.4,55,204,1794,0,0
43945, 0.65,0.0000,1.0,51,159,1506,0,0
43950, 0.89,0.0000,0.8,50,132,1251,0,0
43955, 0.91,0.0000,1.0,51,160,1579,0,0
43959, 0.67,0.0000,1.0,50,148,1438,0,0
43964, 0.70,0.0000,1.5,49,209,1982,0,0
43969, 0.58,0.0000,0.6,47,74,722,0,0
43973, 0.33,0.0040,0.6,50,74,695,0,0
43977, 0.53,0.0000,0.5,48,67,670,0,0
43980, 0.67,0.5832,1.8,42,145,1352,74,677
