%time,EC_slab1,EC_slab2,WC_slab1,WC_slab2,t_slab1,t_slab2
43815.00000,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.00347,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.00694,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.01042,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.01389,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.01736,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.02083,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.02431,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.02778,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.03125,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.03472,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.03819,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.04167,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.04514,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.04861,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.05208,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.05556,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.05903,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.06250,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.06597,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.06944,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.07292,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.07639,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.07986,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.08333,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.08681,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.09028,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.09375,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.09722,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.10069,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.10417,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.10764,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.11111,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.11458,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.11806,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.12153,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.12500,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
43815.12847,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN
