%time,ProdA,ProdB,avg_nr_harvested_trusses,Truss development time ,Nr_fruits_ClassA,Weight_fruits_ClassA,Nr_fruits_ClassB,Weight_fruits_ClassB
43880,0.037,0,0.1,50,NaN,128,0,0
43885,0.767,0,0.9,54.5,136,1271,0,0
43889,0.232,0,0.6,51,89,788,0,0
43894,0.778,0,1.5,55.1,226,2001,0,0
43899,0.248,0,0.9,53.6,133,1144,0,0
43903,0.354,0,0.7,52.4,83,811,0,0
43908,0.795,0,1,53.3,126,1230,0,0
43913,0.486,0,0.9,54.9,148,1297.5,0,0
43917,0.454,0,0.9,52.6,126,1069,0,0
43922,0.697,0,0.6,54,92,777,0,0
43927,0.398,0,0.9,51.1,125,1077,0,0
43931,0.595,0,1.2,53.1,181,1497,0,0
43936,0.588,0,0.9,49.6,117,1007,0,0
43941,0.72,0,1.2,50,159,1467,0,0
43945,0.519,0,0.8,49.2,113,1179,0,0
43950,0.995,0,1.2,48.7,173,1655,0,0
43955,0.613,0,0.7,47,105,1094,0,0
43959,0.688,0,1.2,47.6,184,1903,0,0
43964,0.88,0,1,48.3,156,1664,0,0
43969,0.67,0,0.3,47,48,514,0,0
43973,0.762,0.003,1,47.6,131,1446,19,185
43977,1.213,0.011,2.1,45.3,232,2613,18,162
43980,0.859,0,0.9,31.8,91,1093,0,0
