%Time ,Heat_cons,ElecHigh,ElecLow,CO2_cons,Irr,Drain
43815,2.71,1.1,0,0.007,0,0
43816,0.92,1,0,0.009,0,0
43817,0.97,1,0.7,0.014,0,0
43818,0.1,0.9,0.5,0.025,0,0
43819,2.24,0.8,0.5,0.017,0.76,0
43820,3.38,0.8,0.6,0.007,0.52,0
43821,3.24,0.8,0.6,0.008,0.52,0
43822,3,0.8,0.6,0.01,0.24,6.11
43823,2.67,1,0.6,0.012,1.08,0.19
43824,2.72,1,0.6,0.012,4.32,0.19
43825,2.85,1,0.6,0.011,1.44,0.19
43826,3.11,1.1,0.6,0.015,1.44,0.19
43827,3.23,1.5,0.9,0.019,0.72,0.38
43828,3.44,1,0.6,0.016,0.72,0.4
43829,3.42,1,0.6,0.019,0.72,1.05
43830,2.85,1,0.6,0.018,2.16,0.77
43831,3.32,1,0.6,0.017,2.16,1.02
43832,3.34,1.3,0.6,0.02,2.16,1.03
43833,3.24,1.4,0.6,0.036,1.68,0.53
43834,2.87,1.5,0.9,0.066,1.68,0.4
43835,2.96,1.5,0.9,0.063,1.68,0.42
43836,3.36,1.3,0.6,0.045,1.44,0.09
43837,4.27,1.3,0.6,0.039,1.92,0.56
43838,2.55,1.3,0.6,0.073,1.92,0.71
43839,2.71,1.3,0.6,0.054,1.92,0.81
43840,4.11,1.3,0.6,0.049,2.16,0.51
43841,4.17,1.3,0.6,0.046,2.16,0.27
43842,4.04,1.3,0.6,0.054,2.16,0.25
43843,3.72,1.3,0.6,0.045,2.16,0.27
43844,2.44,1.5,0.9,0.082,2.16,0.37
43845,2.91,1.5,0.9,0.099,2.16,0.4
43846,3.41,1.2,0.9,0.056,2.16,0.45
43847,2.98,1.4,0.9,0.083,2.16,0.43
43848,3.95,1.3,0.8,0.057,2.16,0.14
43849,4.38,1.4,0.6,0.049,2.64,0.08
43850,3.47,1.5,0.9,0.049,2.16,0.3
43851,4.16,1.5,0.9,0.046,2.16,0.24
43852,3.73,1.5,0.9,0.052,2.16,0.13
43853,2.87,1.5,0.9,0.057,2.16,0.19
43854,3.13,1.5,0.9,0.047,2.88,0.23
43855,3.32,1.5,0.9,0.045,2.64,0.48
43856,2.87,1.5,0.9,0.063,3.36,0.67
43857,2.6,1.5,0.9,0.09,3.6,1.35
43858,3.57,1.5,0.9,0.069,3.36,1.2
43859,3.16,1.5,0.9,0.074,3.12,1.11
43860,2.51,1.5,0.9,0.081,3.12,1.07
43861,2.3,1.5,0.9,0.105,2.88,1.12
43862,2.46,1.5,0.9,0.122,2.88,1.05
43863,2.46,1.5,0.9,0.082,2.88,1.03
43864,2.79,1.4,0.9,0.113,2.88,0.75
43865,3.65,1.5,0.9,0.078,2.88,0.86
43866,2.9,1.4,0.9,0.069,2.88,0.74
43867,3.13,1.4,0.9,0.073,2.88,0.57
43868,3.35,1.3,0.9,0.056,3.12,0.57
43869,2.92,1.5,0.9,0.074,3.36,1.28
43870,2.75,1.5,0.9,0.107,3.36,1.23
43871,3.35,1.3,0.9,0.103,3.36,1.2
43872,4.01,1.5,0.9,0.093,3.36,0.87
43873,3.76,1.5,0.9,0.084,3.84,0.93
43874,3.31,1.5,0.9,0.066,3.6,1.06
43875,2.62,1.5,0.9,0.086,2.16,0.37
43876,2.27,1.5,0.9,0.11,2.16,0.48
43877,2.61,1.5,0.9,0.16,3.12,1.03
43878,2.87,1.5,0.9,0.092,3.12,1
43879,2.64,1.5,0.9,0.102,3.84,1
43880,2.82,1.6,0.9,0.091,3.36,0.66
43881,2.83,1.6,0.9,0.109,3.12,0.8
43882,2.63,1.6,0.9,0.086,2.64,0.41
