%time,AbsHumOut,Iglob,PARout,Pyrgeo,RadSum,Rain,Rhout,Tout,Winddir,Windsp
43815,6.22095442,0,0,-72,215,0,80.6,6.9,32,4.7
43815.00347,6.220954419,0,0,-73.0000002,0,0,80.59999999,6.9,32,4.7
43815.00694,6.205564502,0,0,-75.9999996,0,0,80.40000003,6.9,32,4.7
43815.01042,6.190173002,0,0,-76.9999999,0,0,80.20000002,6.9,32,4.7
43815.01389,6.162624001,0,0,-75.00000007,0,0,80.89999998,6.700000007,32,4.7
43815.01736,6.200598241,0,0,-72.99999993,0,0,81.40000001,6.7,32,4.699999966
43815.02083,6.230976584,0,0,-70.9999997,0,0,81.8,6.70000001,31.99999839,3.7
43815.02431,6.272015994,0,0,-68.0000004,0,0,81.8,6.799999987,16.00000215,3.7
43815.02778,6.264371001,0,0,-68.99999993,0,0,81.70000001,6.8,16,3.7
43815.03125,6.25672674,0,0,-70,0,0,81.6,6.8,16,3.7
43815.03472,6.238571001,0,0,-69.0000002,0,0,81.90000001,6.7,16,3.2
43815.03819,6.253759998,0,0,-71.9999996,0,0,82.09999997,6.7,16,3.2
43815.04167,6.220353003,0,0,-76.9999995,0,0,82.19999999,6.60000001,16,3.2
43815.04514,6.202076001,0,0,-77.99999997,0,0,82.49999999,6.500000003,16,3.2
43815.04861,6.206077001,0,0,-78.0000001,0,0,83.10000001,6.4,16,3.2
43815.05208,6.23586035,0,0,-81,0,0,83.50000005,6.39999999,16,3.2
43815.05556,6.231917381,0,0,-81,0,0,83.99999993,6.300000013,16,3.2
43815.05903,6.254107479,0,0,-80.00000007,0,0,84.29999998,6.3,16,2.700000034
43815.0625,6.24976969,0,0,-79,0,0,84.8,6.2,16,2.7
43815.06597,6.24242163,0,0,-76.99999993,0,0,84.70000001,6.2,16,2.7
43815.06944,6.249769689,0,0,-76.00000013,0,0,84.79999999,6.2,16,2.7
43815.07292,6.242421631,0,0,-70.0000006,0,0,84.70000001,6.2,16,2.7
43815.07639,6.24976969,0,0,-64.0000002,0,0,84.8,6.2,16,2.7
