Timestamp,Barcode,Total Weight,Fruit Number,Fruit Fresh Weight (3),Brix,Truss Weight,Total Fruit Weight,Fruit Dry Weight (3),D/F,Total DW,Individual Fruit Weight,Red fruit weight,FW:DW,Drymatter%,Notes,,,
1/28/2021 13:27:32,1-1-A,72.2,8,26.82,8.4,9.18,62.88,2.42,0.090231170768084,5.67373601789709,7.86,8.94,11.0826446280992,9.02311707680835,,,,
1/28/2021 12:44:26,1-1-B,75.04,7,28.05,9.8,11.49,63.6,2.85,0.101604278074866,6.4620320855615,9.08571428571429,9.35,9.8421052631579,10.1604278074866,,,,6.09
1/28/2021 13:26:23,1-2-A,35.44,3,30.16,,5.25,30.13,2.89,0.095822281167109,2.88712533156499,10.0433333333333,10.0533333333333,10.4359861591695,9.58222811671088,no brix,,,
1/28/2021 12:46:13,1-2-B,60.9,5,28.978,9.8,7.93,52.9,2.88,0.099385740906895,5.25750569397474,10.58,9.65933333333333,10.0618055555556,9.93857409068949,,,,
1/28/2021 13:21:55,1-3-A,80.78,9,24.23,8.5,12.15,68.38,2.18,0.089971110193974,6.15222451506397,7.59777777777778,8.07666666666667,11.1146788990826,8.99711101939744,,,,
1/28/2021 12:31:13,1-3-B,99.37,9,21.67,10.6,13.11,86.31,1.95,0.089986155976004,7.76670512228888,9.59,7.22333333333333,11.1128205128205,8.99861559760037,,,,
1/28/2021 13:17:59,1-4-A,97.96,10,30.72,9.7,13.33,84.61,3.07,0.099934895833333,8.45549153645833,8.461,10.24,10.0065146579805,9.99348958333333,,,,
1/28/2021 12:12:18,1-4-B,65.97,5,31.31,10.1,10.12,55.86,3.31,0.105717023315235,5.90535292238901,11.172,10.4366666666667,9.45921450151057,10.5717023315235,,,,
1/28/2021 13:14:20,1-5-A,78.09,8,26.13,10.9,9.96,68.63,2.92,0.111748947569843,7.66933027171833,8.57875,8.71,8.9486301369863,11.1748947569843,,,,
1/28/2021 12:50:03,1-5-B,87.33,8,28.49,9.4,11.49,76,2.65,0.093015093015093,7.06914706914707,9.5,9.49666666666667,10.7509433962264,9.3015093015093,,,,
1/28/2021 13:12:28,1-6-A,106.27,11,30.82,9.7,12.5,94.35,3.34,0.108371187540558,10.2248215444517,8.57727272727273,10.2733333333333,9.22754491017964,10.8371187540558,,,,
1/28/2021 12:47:52,1-6-B,74.84,8,22.22,11,13.4,61.54,2.5,0.112511251125113,6.92394239423942,7.6925,7.40666666666667,8.888,11.2511251125113,,,,
1/28/2021 13:09:23,1-7-A,116.11,10,28.27,11.1,16.42,100.01,2.6,0.091970286522816,9.1979483551468,10.001,9.42333333333333,10.8730769230769,9.19702865228157,,,,
1/28/2021 13:07:46,1-7-B,124.82,12,29.22,8.9,15.01,109.93,2.65,0.090691307323751,9.96969541409993,9.16083333333333,9.74,11.0264150943396,9.06913073237509,,,,
1/28/2021 12:54:23,1-8-A,65.38,8,21.59,12.2,9.45,56.1,2.43,0.112552107457156,6.31417322834646,7.0125,7.19666666666667,8.88477366255144,11.2552107457156,,,,
1/28/2021 12:51:53,1-8-B,109.04,11,27.81,8.9,12.79,95.93,2.9,0.104279036317871,10.0034879539734,8.72090909090909,9.27,9.58965517241379,10.4279036317871,,,,
1/28/2021 13:25:21,1-9-A,39.21,7,10.87,12.9,9.52,29.68,1.88,0.172953081876725,5.1332474701012,4.24,3.62333333333333,5.78191489361702,17.2953081876725,,,,
1/28/2021 12:55:43,1-9-B,72.49,10,23.74,13.4,12.04,60.61,3.11,0.131002527379949,7.94006318449874,6.061,7.91333333333333,7.63344051446945,13.1002527379949,,,,
1/28/2021 13:23:57,1-10-A,63.72,7,27.69,11,8.82,54.88,3.12,0.112676056338028,6.18366197183099,7.84,9.23,8.875,11.2676056338028,,,,
1/28/2021 12:57:21,1-10-B,94.06,8,32.39,10.8,10.87,83.43,3.54,0.109292991664094,9.11831429453535,10.42875,10.7966666666667,9.14971751412429,10.9292991664094,,,,
1/28/2021 13:19:33,1-11-A,70.6,7,23.37,10,8.67,62.01,2.5,0.106974753958066,6.63350449293967,8.85857142857143,7.79,9.348,10.6974753958066,,,,
