Date,Temp,RH (%),Light Bench 1 Final State (%),Light Bench 2 Final State (%),Light Bench 3 Final State (%),Shade Roof Current Timed Position (%),PAD Vent Shutter Current Timed Position (%),Exhaust Fans VFD Current Timed Position (%),PPFD (umol/m2/s),DLI (mol/m2/d),Daily DLI
11/1/2020 2:00,67.9,27.5,100,100,100,0,0,0,321.79525,26.1337,
11/1/2020 2:05,68.2,27.2,100,100,100,0,0,0.03,321.9682,26.23029046,
11/1/2020 2:10,67.9,27.1,100,100,100,0,78.5,18.64,321.5688,26.3267611,
11/1/2020 2:15,66.9,27.9,100,100,100,0,76.17,0,321.8106,26.42330428,
11/1/2020 2:20,67.6,27.8,100,100,100,0,0,0,321.8832,26.51986924,
11/1/2020 2:25,68.2,27.6,100,100,100,0,31.83,13.58,321.7138,26.61638338,
11/1/2020 2:30,67.1,27.8,100,100,100,0,100,4.92,321.835,26.71293388,
11/1/2020 2:35,67.7,28,100,100,100,0,22.83,0,321.9676,26.80952416,
11/1/2020 2:40,68.1,27.8,100,100,100,0,5.17,3.77,321.8106,26.90606734,
11/1/2020 2:45,67.4,27.9,100,100,100,0,100,14.87,67.22935614,26.926236146842,
11/1/2020 2:50,67.2,28.6,63,63,64,0,49.5,0,0,26.926236146842,
11/1/2020 2:55,66.9,28.6,0,0,0,0,0,0,0.0362944,26.926247035162,
11/1/2020 3:00,65.6,29.1,0,0,0,0,0,0,0.06049068,26.926265182366,
11/1/2020 3:05,64.6,29.9,0,0,0,0,0,0,0.06049054,26.926283329528,
11/1/2020 3:10,63.8,30.5,0,0,0,0,0,0,0.0362944,26.926294217848,
11/1/2020 3:15,63.4,31.2,0,0,0,0,0,0,0.08468694,26.92631962393,
11/1/2020 3:20,63.3,31.4,0,0,0,0,0,0,0.04839248,26.9263341416739,
11/1/2020 3:25,63.1,31.7,0,0,0,0,0,0,0.01209814,26.9263377711159,
11/1/2020 3:30,63,31.9,0,0,0,0,0,0,0.03024535,26.9263468447209,
11/1/2020 3:35,62.8,32.1,0,0,0,0,0,0,0.04839248,26.9263613624649,
11/1/2020 3:40,62.5,32.4,0,0,0,0,0,0,0.04839254,26.9263758802269,
11/1/2020 3:45,62.4,32.7,0,0,0,0,0,0,0.06049054,26.9263940273889,
11/1/2020 3:50,62.7,32.6,0,0,0,0,0,0,0.03629434,26.9264049156909,
11/1/2020 3:55,62.8,32.6,0,0,0,0,0,0,0.04839248,26.9264194334349,
11/1/2020 4:00,62.7,32.7,0,0,0,0,0,0,0.04839254,26.9264339511969,
11/1/2020 4:05,62.6,32.9,0,0,0,0,0,0,0.0725886,26.9264557277769,
11/1/2020 4:10,62.9,32.9,0,0,0,0,0,0,0.04839248,26.9264702455209,
11/1/2020 4:15,63.3,32.7,0,0,0,0,0,0,0.04839248,26.9264847632649,
11/1/2020 4:20,63.3,32.6,0,0,0,0,0,0,0.06049054,26.9265029104269,
11/1/2020 4:25,63,32.8,0,0,0,0,0,0,0.04839254,26.9265174281889,
11/1/2020 4:30,63,33,0,0,0,0,0,0,0.0725888,26.9265392048289,
11/1/2020 4:35,63.3,33,0,0,0,0,0,0,0.08468688,26.9265646108929,
11/1/2020 4:40,63.4,32.9,0,0,0,0,0,0,0.096785,26.9265936463929,
11/1/2020 4:45,63.4,32.9,0,0,0,0,0,0,0.0241962,26.9266009052529,
11/1/2020 4:50,63.3,33,0,0,0,0,0,0,0.096785,26.9266299407529,
11/1/2020 4:55,63.3,33.1,0,0,0,0,0,0,0.12098114,26.9266662350949,
11/1/2020 5:00,63.6,33.1,0,0,0,0,0,0,0.07258874,26.9266880117169,
11/1/2020 5:05,63.7,33,0,0,0,0,0,0,0.02419628,26.9266952706009,
11/1/2020 5:10,63.7,33,0,0,0,0,0,0,0,26.9266952706009,
