2021-06-03_155516 CO2: 431.28ppm, temp: 28.86'C, rh: 49.33%
2021-06-03_155644 CO2: 430.48ppm, temp: 28.93'C, rh: 49.38%
2021-06-03_160651 CO2: 428.39ppm, temp: 30.73'C, rh: 51.01%
2021-06-03_161658 CO2: 422.02ppm, temp: 33.06'C, rh: 50.05%
2021-06-03_162705 CO2: 408.86ppm, temp: 35.17'C, rh: 48.19%
2021-06-03_163711 CO2: 404.33ppm, temp: 36.91'C, rh: 46.13%
2021-06-03_164718 CO2: 401.02ppm, temp: 38.32'C, rh: 44.14%
2021-06-03_165725 CO2: 413.12ppm, temp: 35.08'C, rh: 42.73%
2021-06-03_170732 CO2: 415.59ppm, temp: 29.91'C, rh: 47.02%
2021-06-03_171738 CO2: 401.35ppm, temp: 27.02'C, rh: 65.00%
2021-06-03_172745 CO2: 395.42ppm, temp: 26.57'C, rh: 71.95%
2021-06-03_173752 CO2: 413.34ppm, temp: 26.68'C, rh: 69.83%
2021-06-03_174759 CO2: 423.45ppm, temp: 26.68'C, rh: 71.19%
2021-06-03_175806 CO2: 409.30ppm, temp: 26.64'C, rh: 71.28%
2021-06-03_180812 CO2: 405.90ppm, temp: 26.64'C, rh: 71.43%
2021-06-03_181819 CO2: 408.08ppm, temp: 26.60'C, rh: 71.45%
2021-06-03_182826 CO2: 409.21ppm, temp: 26.62'C, rh: 71.52%
2021-06-03_183833 CO2: 405.55ppm, temp: 26.60'C, rh: 71.42%
2021-06-03_184840 CO2: 408.82ppm, temp: 26.62'C, rh: 71.58%
2021-06-03_185846 CO2: 411.55ppm, temp: 26.62'C, rh: 71.67%
2021-06-03_190853 CO2: 406.70ppm, temp: 26.63'C, rh: 71.65%
2021-06-03_191900 CO2: 409.06ppm, temp: 26.67'C, rh: 71.55%
2021-06-03_192907 CO2: 413.53ppm, temp: 26.66'C, rh: 71.62%
2021-06-03_193913 CO2: 410.93ppm, temp: 26.66'C, rh: 71.65%
2021-06-03_194920 CO2: 408.95ppm, temp: 26.70'C, rh: 71.64%
2021-06-03_195927 CO2: 415.39ppm, temp: 26.67'C, rh: 71.58%
2021-06-03_200933 CO2: 413.84ppm, temp: 26.70'C, rh: 71.55%
2021-06-03_201940 CO2: 417.84ppm, temp: 26.71'C, rh: 71.62%
2021-06-03_202947 CO2: 418.89ppm, temp: 26.76'C, rh: 71.54%
2021-06-03_203954 CO2: 420.51ppm, temp: 26.74'C, rh: 71.56%
2021-06-03_205001 CO2: 420.02ppm, temp: 26.70'C, rh: 71.50%
2021-06-03_210001 CO2: 421.98ppm, temp: 26.67'C, rh: 71.61%
2021-06-03_211001 CO2: 416.97ppm, temp: 26.66'C, rh: 71.68%
2021-06-03_212001 CO2: 421.26ppm, temp: 26.64'C, rh: 71.74%
2021-06-03_213001 CO2: 416.84ppm, temp: 26.63'C, rh: 71.69%
2021-06-03_214001 CO2: 420.02ppm, temp: 26.64'C, rh: 71.74%
2021-06-03_215001 CO2: 421.26ppm, temp: 26.62'C, rh: 71.91%
2021-06-03_220001 CO2: 415.85ppm, temp: 26.62'C, rh: 71.97%
2021-06-03_221001 CO2: 412.40ppm, temp: 26.62'C, rh: 71.96%
2021-06-03_222002 CO2: 418.60ppm, temp: 26.60'C, rh: 71.86%
2021-06-03_223002 CO2: 417.47ppm, temp: 26.63'C, rh: 71.93%
2021-06-03_224002 CO2: 421.74ppm, temp: 26.63'C, rh: 72.09%
2021-06-03_225002 CO2: 417.88ppm, temp: 26.63'C, rh: 72.10%
2021-06-03_230002 CO2: 420.15ppm, temp: 26.63'C, rh: 72.14%
2021-06-03_231002 CO2: 415.79ppm, temp: 26.62'C, rh: 72.10%
2021-06-03_232002 CO2: 415.91ppm, temp: 26.60'C, rh: 72.12%
2021-06-03_233002 CO2: 417.95ppm, temp: 26.63'C, rh: 72.23%
2021-06-03_234002 CO2: 424.10ppm, temp: 26.62'C, rh: 72.29%
2021-06-03_235002 CO2: 427.93ppm, temp: 26.62'C, rh: 72.27%
2021-06-04_000003 CO2: 430.09ppm, temp: 26.64'C, rh: 72.24%
2021-06-04_001003 CO2: 428.77ppm, temp: 26.15'C, rh: 55.10%
2021-06-04_002003 CO2: 427.16ppm, temp: 23.34'C, rh: 51.34%
2021-06-04_003003 CO2: 418.96ppm, temp: 20.78'C, rh: 57.72%
2021-06-04_004003 CO2: 425.33ppm, temp: 19.81'C, rh: 67.65%
2021-06-04_005003 CO2: 416.17ppm, temp: 19.93'C, rh: 69.60%
2021-06-04_010003 CO2: 413.99ppm, temp: 20.13'C, rh: 68.45%
2021-06-04_011003 CO2: 419.57ppm, temp: 19.43'C, rh: 72.64%
2021-06-04_012003 CO2: 428.90ppm, temp: 19.09'C, rh: 77.97%
2021-06-04_013003 CO2: 434.92ppm, temp: 19.14'C, rh: 79.13%
2021-06-04_014003 CO2: 426.89ppm, temp: 19.26'C, rh: 79.06%
2021-06-04_015003 CO2: 426.83ppm, temp: 19.23'C, rh: 78.93%
2021-06-04_020004 CO2: 427.89ppm, temp: 19.20'C, rh: 79.47%
2021-06-04_021004 CO2: 425.92ppm, temp: 19.22'C, rh: 79.66%
2021-06-04_022004 CO2: 425.71ppm, temp: 19.20'C, rh: 79.96%
2021-06-04_023004 CO2: 423.86ppm, temp: 19.22'C, rh: 80.00%
2021-06-04_024004 CO2: 430.83ppm, temp: 19.23'C, rh: 80.25%
2021-06-04_025004 CO2: 430.19ppm, temp: 19.25'C, rh: 80.21%
2021-06-04_030004 CO2: 431.80ppm, temp: 19.25'C, rh: 80.27%
2021-06-04_031004 CO2: 434.48ppm, temp: 19.22'C, rh: 80.33%
2021-06-04_032004 CO2: 433.17ppm, temp: 19.16'C, rh: 80.73%
2021-06-04_033004 CO2: 434.44ppm, temp: 19.16'C, rh: 80.85%
2021-06-04_034004 CO2: 430.17ppm, temp: 19.16'C, rh: 80.86%
2021-06-04_035004 CO2: 429.33ppm, temp: 19.16'C, rh: 81.09%
2021-06-04_040004 CO2: 433.18ppm, temp: 19.11'C, rh: 81.29%
2021-06-04_041005 CO2: 439.12ppm, temp: 19.14'C, rh: 81.40%
2021-06-04_042005 CO2: 437.56ppm, temp: 19.14'C, rh: 81.50%
2021-06-04_043005 CO2: 436.93ppm, temp: 19.16'C, rh: 81.91%
2021-06-04_044005 CO2: 442.10ppm, temp: 19.20'C, rh: 82.04%
2021-06-04_045005 CO2: 437.57ppm, temp: 19.19'C, rh: 81.93%
2021-06-04_050005 CO2: 436.46ppm, temp: 19.13'C, rh: 82.02%
2021-06-04_051005 CO2: 436.21ppm, temp: 19.06'C, rh: 82.23%
2021-06-04_052005 CO2: 440.82ppm, temp: 19.05'C, rh: 82.37%
2021-06-04_053005 CO2: 435.51ppm, temp: 19.10'C, rh: 82.18%
2021-06-04_054005 CO2: 437.96ppm, temp: 19.13'C, rh: 82.20%
2021-06-04_055005 CO2: 442.73ppm, temp: 19.13'C, rh: 82.20%
2021-06-04_060005 CO2: 447.92ppm, temp: 19.05'C, rh: 82.38%
