2021-06-04_140105 CO2: 397.50ppm, temp: 26.56'C, rh: 77.14%
2021-06-04_141111 CO2: 400.28ppm, temp: 26.56'C, rh: 77.11%
2021-06-04_142118 CO2: 404.03ppm, temp: 26.57'C, rh: 77.05%
2021-06-04_143125 CO2: 405.56ppm, temp: 26.57'C, rh: 76.97%
2021-06-04_144131 CO2: 402.06ppm, temp: 26.59'C, rh: 76.41%
2021-06-04_145138 CO2: 394.58ppm, temp: 26.52'C, rh: 76.50%
2021-06-04_150144 CO2: 402.19ppm, temp: 26.52'C, rh: 76.42%
2021-06-04_151151 CO2: 399.44ppm, temp: 26.47'C, rh: 76.40%
2021-06-04_152158 CO2: 401.78ppm, temp: 26.46'C, rh: 76.57%
2021-06-04_153204 CO2: 402.81ppm, temp: 26.49'C, rh: 76.40%
2021-06-04_154211 CO2: 401.64ppm, temp: 26.50'C, rh: 76.38%
2021-06-04_155217 CO2: 424.96ppm, temp: 26.50'C, rh: 74.96%
2021-06-04_160224 CO2: 415.57ppm, temp: 26.53'C, rh: 76.07%
2021-06-04_161231 CO2: 404.66ppm, temp: 26.50'C, rh: 75.98%
2021-06-04_162237 CO2: 400.52ppm, temp: 26.56'C, rh: 75.72%
2021-06-04_163244 CO2: 396.74ppm, temp: 26.71'C, rh: 73.90%
2021-06-04_164251 CO2: 405.86ppm, temp: 26.67'C, rh: 72.94%
2021-06-04_165257 CO2: 410.53ppm, temp: 26.56'C, rh: 73.49%
2021-06-04_170304 CO2: 407.28ppm, temp: 26.62'C, rh: 74.04%
2021-06-04_171310 CO2: 398.72ppm, temp: 26.64'C, rh: 73.74%
2021-06-04_172317 CO2: 397.82ppm, temp: 26.60'C, rh: 73.56%
2021-06-04_173324 CO2: 389.42ppm, temp: 26.56'C, rh: 73.72%
2021-06-04_174330 CO2: 392.09ppm, temp: 26.56'C, rh: 73.55%
2021-06-04_175337 CO2: 395.53ppm, temp: 26.54'C, rh: 73.41%
2021-06-04_180344 CO2: 393.30ppm, temp: 26.59'C, rh: 73.26%
2021-06-04_181350 CO2: 397.96ppm, temp: 26.60'C, rh: 73.27%
2021-06-04_182357 CO2: 394.87ppm, temp: 26.60'C, rh: 73.17%
2021-06-04_183404 CO2: 402.42ppm, temp: 26.62'C, rh: 73.05%
2021-06-04_184410 CO2: 404.20ppm, temp: 26.63'C, rh: 73.05%
2021-06-04_185417 CO2: 403.73ppm, temp: 26.62'C, rh: 72.85%
2021-06-04_190424 CO2: 400.89ppm, temp: 26.57'C, rh: 72.82%
2021-06-04_191430 CO2: 399.40ppm, temp: 26.57'C, rh: 72.69%
2021-06-04_192437 CO2: 395.82ppm, temp: 26.53'C, rh: 72.73%
2021-06-04_193443 CO2: 400.61ppm, temp: 26.54'C, rh: 72.77%
2021-06-04_194450 CO2: 402.36ppm, temp: 26.56'C, rh: 73.24%
2021-06-04_195457 CO2: 400.55ppm, temp: 26.57'C, rh: 73.75%
2021-06-04_200503 CO2: 399.48ppm, temp: 26.56'C, rh: 73.88%
2021-06-04_201510 CO2: 398.49ppm, temp: 26.63'C, rh: 73.86%
2021-06-04_202517 CO2: 399.41ppm, temp: 26.64'C, rh: 73.81%
2021-06-04_203523 CO2: 399.79ppm, temp: 26.63'C, rh: 73.86%
2021-06-04_204530 CO2: 400.85ppm, temp: 26.62'C, rh: 73.73%
2021-06-04_205537 CO2: 399.08ppm, temp: 26.62'C, rh: 73.63%
2021-06-04_210537 CO2: 401.47ppm, temp: 26.57'C, rh: 73.74%
2021-06-04_211537 CO2: 406.09ppm, temp: 26.56'C, rh: 73.67%
2021-06-04_212537 CO2: 410.12ppm, temp: 26.54'C, rh: 73.80%
2021-06-04_213537 CO2: 400.33ppm, temp: 26.56'C, rh: 73.51%
2021-06-04_214537 CO2: 399.41ppm, temp: 26.57'C, rh: 73.31%
2021-06-04_215537 CO2: 407.74ppm, temp: 26.57'C, rh: 73.15%
2021-06-04_220537 CO2: 403.42ppm, temp: 26.59'C, rh: 73.08%
2021-06-04_221537 CO2: 407.22ppm, temp: 26.60'C, rh: 73.07%
2021-06-04_222537 CO2: 407.44ppm, temp: 26.62'C, rh: 73.03%
2021-06-04_223537 CO2: 411.94ppm, temp: 26.63'C, rh: 72.99%
2021-06-04_224538 CO2: 412.13ppm, temp: 26.60'C, rh: 73.00%
2021-06-04_225538 CO2: 409.14ppm, temp: 26.62'C, rh: 72.91%
2021-06-04_230538 CO2: 409.73ppm, temp: 26.60'C, rh: 73.03%
2021-06-04_231538 CO2: 414.40ppm, temp: 26.59'C, rh: 73.11%
2021-06-04_232538 CO2: 412.48ppm, temp: 26.59'C, rh: 73.16%
2021-06-04_233538 CO2: 415.69ppm, temp: 26.57'C, rh: 73.16%
2021-06-04_234538 CO2: 420.20ppm, temp: 26.57'C, rh: 73.18%
2021-06-04_235538 CO2: 420.68ppm, temp: 26.59'C, rh: 73.10%
2021-06-05_000538 CO2: 422.28ppm, temp: 26.57'C, rh: 69.02%
2021-06-05_001538 CO2: 421.86ppm, temp: 24.68'C, rh: 51.45%
2021-06-05_002539 CO2: 418.13ppm, temp: 21.78'C, rh: 55.99%
2021-06-05_003539 CO2: 415.72ppm, temp: 20.11'C, rh: 66.95%
2021-06-05_004539 CO2: 417.37ppm, temp: 19.91'C, rh: 72.05%
2021-06-05_005539 CO2: 417.24ppm, temp: 20.11'C, rh: 71.44%
2021-06-05_010539 CO2: 418.25ppm, temp: 19.85'C, rh: 71.96%
2021-06-05_011539 CO2: 422.60ppm, temp: 19.31'C, rh: 77.22%
2021-06-05_012539 CO2: 428.98ppm, temp: 19.26'C, rh: 79.35%
2021-06-05_013539 CO2: 423.78ppm, temp: 19.30'C, rh: 79.54%
2021-06-05_014539 CO2: 426.74ppm, temp: 19.34'C, rh: 79.60%
2021-06-05_015539 CO2: 423.57ppm, temp: 19.31'C, rh: 79.75%
2021-06-05_020539 CO2: 426.11ppm, temp: 19.29'C, rh: 80.04%
2021-06-05_021540 CO2: 433.87ppm, temp: 19.25'C, rh: 80.09%
2021-06-05_022540 CO2: 431.43ppm, temp: 19.14'C, rh: 80.50%
2021-06-05_023540 CO2: 432.34ppm, temp: 19.11'C, rh: 80.51%
2021-06-05_024540 CO2: 427.68ppm, temp: 19.05'C, rh: 80.77%
2021-06-05_025540 CO2: 424.44ppm, temp: 18.99'C, rh: 81.07%
2021-06-05_030540 CO2: 425.55ppm, temp: 18.96'C, rh: 81.11%
2021-06-05_031540 CO2: 423.95ppm, temp: 19.00'C, rh: 81.53%
2021-06-05_032540 CO2: 430.29ppm, temp: 18.97'C, rh: 81.68%
2021-06-05_033540 CO2: 429.21ppm, temp: 18.99'C, rh: 81.77%
2021-06-05_034540 CO2: 428.61ppm, temp: 18.97'C, rh: 82.01%
2021-06-05_035540 CO2: 431.95ppm, temp: 18.99'C, rh: 82.30%
2021-06-05_040540 CO2: 428.87ppm, temp: 19.03'C, rh: 82.02%
2021-06-05_041541 CO2: 436.73ppm, temp: 19.02'C, rh: 82.06%
2021-06-05_042541 CO2: 434.93ppm, temp: 19.02'C, rh: 82.27%
2021-06-05_043541 CO2: 435.54ppm, temp: 19.06'C, rh: 82.57%
2021-06-05_044541 CO2: 435.50ppm, temp: 19.14'C, rh: 82.41%
2021-06-05_045541 CO2: 434.92ppm, temp: 19.19'C, rh: 82.23%
2021-06-05_050541 CO2: 427.89ppm, temp: 19.17'C, rh: 82.32%
2021-06-05_051541 CO2: 431.22ppm, temp: 19.17'C, rh: 82.32%
2021-06-05_052541 CO2: 428.40ppm, temp: 19.19'C, rh: 82.31%
2021-06-05_053541 CO2: 429.16ppm, temp: 19.19'C, rh: 82.24%
2021-06-05_054541 CO2: 429.31ppm, temp: 19.16'C, rh: 82.25%
2021-06-05_055541 CO2: 428.70ppm, temp: 19.16'C, rh: 82.30%
2021-06-05_060541 CO2: 430.47ppm, temp: 19.10'C, rh: 82.38%
2021-06-05_061541 CO2: 432.21ppm, temp: 19.10'C, rh: 82.50%
2021-06-05_062542 CO2: 431.68ppm, temp: 19.11'C, rh: 82.78%
2021-06-05_063542 CO2: 436.61ppm, temp: 19.17'C, rh: 82.74%
2021-06-05_064542 CO2: 434.20ppm, temp: 19.16'C, rh: 82.72%
2021-06-05_065542 CO2: 437.98ppm, temp: 19.16'C, rh: 82.80%
2021-06-05_070542 CO2: 434.51ppm, temp: 19.16'C, rh: 82.81%
2021-06-05_071542 CO2: 433.23ppm, temp: 19.17'C, rh: 82.75%
2021-06-05_072542 CO2: 434.25ppm, temp: 19.17'C, rh: 82.77%
2021-06-05_073542 CO2: 436.74ppm, temp: 19.14'C, rh: 82.76%
2021-06-05_074542 CO2: 439.51ppm, temp: 19.14'C, rh: 82.87%
2021-06-05_075542 CO2: 436.68ppm, temp: 19.14'C, rh: 82.89%
2021-06-05_080551 CO2: 434.02ppm, temp: 19.17'C, rh: 82.85%
2021-06-05_081559 CO2: 434.97ppm, temp: 19.16'C, rh: 82.93%
2021-06-05_082607 CO2: 432.72ppm, temp: 19.14'C, rh: 83.03%
2021-06-05_083616 CO2: 432.05ppm, temp: 19.17'C, rh: 83.07%
2021-06-05_084624 CO2: 432.10ppm, temp: 19.17'C, rh: 83.06%
2021-06-05_085632 CO2: 433.25ppm, temp: 19.17'C, rh: 83.06%
2021-06-05_090639 CO2: 428.15ppm, temp: 19.71'C, rh: 87.59%
2021-06-05_091646 CO2: 423.80ppm, temp: 24.43'C, rh: 95.42%
2021-06-05_092652 CO2: 425.78ppm, temp: 26.52'C, rh: 91.53%
2021-06-05_093659 CO2: 428.76ppm, temp: 25.47'C, rh: 90.23%
2021-06-05_094706 CO2: 426.73ppm, temp: 25.63'C, rh: 86.97%
2021-06-05_095712 CO2: 427.41ppm, temp: 25.89'C, rh: 85.65%
2021-06-05_100719 CO2: 430.23ppm, temp: 26.06'C, rh: 84.24%
2021-06-05_101725 CO2: 427.26ppm, temp: 26.11'C, rh: 83.29%
2021-06-05_102732 CO2: 422.69ppm, temp: 26.18'C, rh: 82.90%
2021-06-05_103739 CO2: 420.52ppm, temp: 26.15'C, rh: 82.28%
2021-06-05_104745 CO2: 422.66ppm, temp: 26.12'C, rh: 82.07%
2021-06-05_105752 CO2: 419.58ppm, temp: 26.13'C, rh: 81.99%
2021-06-05_110758 CO2: 418.88ppm, temp: 26.16'C, rh: 81.81%
2021-06-05_111805 CO2: 420.14ppm, temp: 26.16'C, rh: 81.44%
2021-06-05_112812 CO2: 426.65ppm, temp: 26.16'C, rh: 81.21%
2021-06-05_113818 CO2: 424.70ppm, temp: 26.18'C, rh: 81.01%
2021-06-05_114825 CO2: 426.32ppm, temp: 26.16'C, rh: 80.89%
2021-06-05_115832 CO2: 424.76ppm, temp: 26.13'C, rh: 80.78%
2021-06-05_120838 CO2: 423.47ppm, temp: 26.15'C, rh: 80.67%
2021-06-05_121845 CO2: 423.14ppm, temp: 26.19'C, rh: 80.60%
2021-06-05_122851 CO2: 416.16ppm, temp: 26.18'C, rh: 80.39%
2021-06-05_123858 CO2: 417.39ppm, temp: 26.18'C, rh: 80.20%
