Date,Label,Marketable yield,Unmarketable yield,Number of trusses,Number of marketable yield,Number of unmarketable fruits,Number of fruits with crack,Number of unmature fruits,Average marketable fruit size,Total yield,Marketable fruit (%),Cracking (%)
2024-08-19,1,2577,32.0,14,164,5,2,3,15.7,2.61,98.8,1.2
2024-08-19,2,2555,11.0,14,182,3,1,2,14.0,2.57,99.6,0.5
2024-08-19,3,2533,169.0,14,171,15,6,9,14.8,2.7,93.7,3.2
2024-08-19,4,2343,97.5,14,184,7,6,1,12.7,2.44,96.0,3.1
2024-08-19,5,2930,264.0,14,186,19,10,9,15.8,3.19,91.7,4.9
2024-08-19,6,2668,68.0,14,171,7,5,2,15.6,2.74,97.5,2.8
2024-08-19,7,2084,56.0,14,143,5,2,3,14.6,2.14,97.4,1.4
2024-08-19,8,2359,130.0,14,166,12,5,7,14.2,2.49,94.8,2.8
2024-08-19,9,2208,68.5,14,156,8,4,4,14.2,2.28,97.0,2.4
2024-08-19,10,2599,26.55,14,149,26,7,19,17.4,2.63,99.0,4.0
2024-08-23,1,2575,541.0,14,138,32,19,13,18.7,3.12,82.6,11.2
2024-08-23,2,3239,519.0,14,169,30,19,11,19.2,3.76,86.2,9.5
2024-08-23,3,3246,624.0,14,164,36,21,15,19.8,3.87,83.9,10.5
2024-08-23,4,2994,542.0,14,155,32,10,22,19.3,3.54,84.7,5.3
2024-08-23,5,2557,415.0,14,156,24,13,11,16.4,2.97,86.0,7.2
2024-08-23,6,2839,319.0,14,159,23,5,18,17.9,3.16,89.9,2.7
2024-08-23,7,3476,260.0,14,178,19,8,11,19.5,3.74,93.0,4.1
2024-08-23,8,3236,273.0,14,173,19,7,12,18.7,3.51,92.2,3.6
2024-08-23,9,2552,475.0,14,144,29,21,8,17.7,3.03,84.3,12.1
2024-08-23,10,3060,220.0,14,160,16,7,9,19.1,3.28,93.3,4.0
2024-08-30,1,2600,879.0,14,137,49,24,25,18.98,3.48,74.73,12.9
2024-08-30,2,2500,1600.0,14,105,101,46,55,23.81,4.1,60.98,22.3
2024-08-30,3,2500,1400.0,14,121,72,39,33,20.66,3.9,64.1,20.2
2024-08-30,4,1900,868.0,14,94,41,39,2,20.21,2.77,68.64,28.9
2024-08-30,5,2300,995.0,14,114,51,35,16,20.18,3.3,69.8,21.2
2024-08-30,6,2100,633.0,14,107,41,22,19,19.63,2.73,76.84,14.9
2024-08-30,7,2500,1315.0,14,125,73,47,26,20.0,3.82,65.53,23.7
2024-08-30,8,2700,355.0,14,141,53,38,15,19.15,3.06,88.38,19.6
2024-08-30,9,2300,955.0,14,120,49,37,12,19.17,3.26,70.66,21.9
2024-08-30,10,2100,773.0,14,99,41,28,13,21.21,2.87,73.09,20.0
2024-09-03,1,3120,200.0,12,165,9,9,0,18.91,3.32,93.98,5.2
2024-09-03,2,2370,822.0,11,125,48,18,30,18.96,3.19,74.25,10.4
2024-09-03,3,3010,769.0,12,158,46,18,28,19.05,3.78,79.65,8.8
2024-09-03,4,3000,700.0,14,149,31,31,0,20.13,3.7,81.08,17.2
2024-09-03,5,2070,469.0,10,109,23,17,6,18.99,2.54,81.53,12.9
