,T Air,RH,T Out,RH Out,CO2,Vent Lee,Vent Wind,Exhaust Fan Power Usage,Blackout Screen,Energy Screen,VPD
2024-06-24 00:00:00,22.5333,71.6667,23.1,66,364,,,99,0,90,0.7738
2024-06-24 00:05:00,21.9,75.3333,22.9,66,360,,,72,0,90,0.6482
2024-06-24 00:10:00,21.4667,78,22.9,66,360,,,51,0,90,0.563
2024-06-24 00:15:00,21.5,78,22.7,67,360,,,51,0,90,0.5642
2024-06-24 00:20:00,21.5333,77.6667,22.6,67,360,,,51,0,90,0.5739
2024-06-24 00:25:00,21.5333,77.3333,22.5,68,361,,,49,0,90,0.5824
2024-06-24 00:30:00,21.3667,77.6667,22.4,68,362,,,49,0,90,0.568
2024-06-24 00:35:00,21.3,77.6667,22.4,68,364,,,49,0,90,0.5657
2024-06-24 00:40:00,21.4,76.6667,22.3,69,362,,,49,0,90,0.5947
2024-06-24 00:45:00,21.5333,76,22,69,361,,,52,0,90,0.6167
2024-06-24 00:50:00,21.6,75,22,70,361,,,52,0,90,0.645
2024-06-24 00:55:00,21.6333,75,21.8,71,363,,,55,0,90,0.6463
2024-06-24 01:00:00,21.8,73.6667,21.8,71,364,,,64,0,90,0.6878
2024-06-24 01:05:00,21.8333,73.3333,21.8,71,365,,,64,0,90,0.6979
2024-06-24 01:10:00,21.9333,72.3333,21.6,72,368,,,71,0,90,0.7285
2024-06-24 01:15:00,21.9333,72.3333,21.5,73,368,,,72,0,90,0.7285
2024-06-24 01:20:00,21.8667,72.3333,21.5,73,366,,,70,0,90,0.7255
2024-06-24 01:25:00,21.9,72.3333,21.4,73,368,,,70,0,90,0.727
2024-06-24 01:30:00,21.9,72,21.2,74,366,,,70,0,90,0.7358
2024-06-24 01:35:00,21.8667,72,21.2,74,366,,,69,0,90,0.7343
2024-06-24 01:40:00,21.8,72.3333,21.2,75,364,,,65,0,90,0.7226
2024-06-24 01:45:00,21.7667,72.6667,21,75,364,,,64,0,90,0.7124
2024-06-24 01:50:00,21.8,72.3333,21.1,76,362,,,64,0,90,0.7226
2024-06-24 01:55:00,21.8,72.3333,21,76,368,,,66,0,90,0.7226
2024-06-24 02:00:00,21.8333,72,20.9,76,364,,,67,0,90,0.7328
2024-06-24 02:05:00,21.8,72,20.8,77,367,,,67,0,90,0.7313
2024-06-24 02:10:00,21.7667,73,20.8,77,366,,,64,0,90,0.7037
2024-06-24 02:15:00,21.7667,72.3333,20.7,77,366,,,64,0,90,0.7211
2024-06-24 02:20:00,21.7333,73,20.7,77,365,,,63,0,90,0.7023
2024-06-24 02:25:00,21.7,72.6667,20.7,78,366,,,61,0,90,0.7095
2024-06-24 02:30:00,21.7333,72.6667,20.7,78,365,,,61,0,90,0.711
2024-06-24 02:35:00,21.8,72.3333,20.7,78,363,,,63,0,90,0.7226
2024-06-24 02:40:00,21.8667,72,20.7,78,365,,,69,0,90,0.7343
2024-06-24 02:45:00,21.8667,72.3333,20.7,78,367,,,70,0,90,0.7255
