,T Air,RH,T Out,RH Out,CO2,Vent Lee,Vent Wind,Exhaust Fan Speed,Blackout Screen,Energy Screen,VPD Air
2024-06-24 00:00:00,22.1,73,23.1,66,377,0,0,84,0,90,0.7197
2024-06-24 00:05:00,22.2,72.5,22.9,66,375,0,0,84,0,90,0.7345
2024-06-24 00:10:00,22.2,71.5,22.9,66,375,0,0,86,0,90,0.7643
2024-06-24 00:15:00,22.3,70.5,22.7,67,378,0,0,89,0,90,0.7943
2024-06-24 00:20:00,22.4,69.5,22.6,67,378,0,0,96,0,90,0.8262
2024-06-24 00:25:00,22,72.5,22.5,68,376,0,0,74,0,90,0.7285
2024-06-24 00:30:00,21.8,73.5,22.4,68,374,0,0,63,0,90,0.6921
2024-06-24 00:35:00,21.7,74.5,22.4,68,374,0,0,62,0,90,0.6633
2024-06-24 00:40:00,21.7,74.5,22.3,69,373,0,0,61,0,90,0.6633
2024-06-24 00:45:00,21.8,74,22,69,377,0,0,64,0,90,0.6791
2024-06-24 00:50:00,21.8,73.5,22,70,376,0,0,64,0,90,0.6921
2024-06-24 00:55:00,21.8,72.5,21.8,71,377,0,0,66,0,90,0.7197
2024-06-24 01:00:00,22,71.5,21.8,71,376,0,0,73,0,90,0.752
2024-06-24 01:05:00,22.1,71,21.8,71,377,0,0,76,0,90,0.7698
2024-06-24 01:10:00,22.1,71,21.6,72,376,0,0,80,0,90,0.7714
2024-06-24 01:15:00,22.1,70.5,21.5,73,376,0,0,80,0,90,0.7863
2024-06-24 01:20:00,22.1,70,21.5,73,377,0,0,80,0,90,0.7996
2024-06-24 01:25:00,21.8,73,21.4,73,375,0,0,65,0,90,0.7037
2024-06-24 01:30:00,21.5,75.5,21.2,74,376,0,0,50,0,90,0.6295
2024-06-24 01:35:00,21.4,76,21.2,74,375,0,0,50,0,90,0.6129
2024-06-24 01:40:00,21.3,76.5,21.2,75,376,0,0,50,0,90,0.5953
2024-06-24 01:45:00,21.3,76.5,21,75,375,0,0,51,0,90,0.5941
