Date,Label,Marketable yield,Unmarketable yield,number of trusses,number of marketable yield,Number of unmarketable fruits,Number of fruits with crack,Number of unmature fruits,Average marketable fruit size,Total yield,Marketable fruit (%),Cracking (%)
2024-08-19,11,2992,191,14,161,16,2,14,18.6,3.18,94.0,1.1
2024-08-19,12,3496,193,14,190,13,8,5,18.4,3.69,94.8,3.9
2024-08-19,13,3862,79,14,198,8,8,0,19.5,3.94,98.0,3.9
2024-08-19,14,3175,158,14,180,9,9,0,17.6,3.33,95.3,4.8
2024-08-19,15,3087,233,14,171,14,11,3,18.1,3.32,93.0,5.9
2024-08-19,16,3200,142,14,194,12,3,9,16.5,3.34,95.8,1.5
2024-08-19,17,2959,10,14,169,6,3,0,17.5,2.97,99.7,1.7
2024-08-19,18,3230,300,14,166,22,6,16,19.5,3.53,91.5,3.2
2024-08-19,19,3316,53,14,197,4,3,1,16.8,3.37,98.4,1.5
2024-08-19,20,3285,153,14,199,11,3,8,16.5,3.44,95.5,1.4
2024-08-23,11,3520,158,14,158,10,1,9,22.28,3.68,95.7,0.6
2024-08-23,12,3800,228,14,172,14,1,13,22.09,4.03,94.34,0.5
2024-08-23,13,4000,205,14,185,15,0,15,21.62,4.21,95.12,0.0
2024-08-23,14,3700,322,14,180,21,4,17,20.56,4.02,91.99,2.0
2024-08-23,15,3600,212,14,164,12,7,5,21.95,3.81,94.44,4.0
2024-08-23,16,3600,614,14,182,47,0,47,19.78,4.21,85.43,0.0
2024-08-23,17,3500,322,14,165,24,3,21,21.21,3.82,91.58,1.6
2024-08-23,18,3400,189,14,168,17,0,17,20.24,3.59,94.73,0.0
2024-08-23,19,3400,276,14,159,17,1,16,21.38,3.68,92.49,0.6
2024-08-23,20,3300,131,14,157,11,0,11,21.02,3.43,96.18,0.0
2024-08-30,11,3200,364,14,155,29,4,25,20.65,3.56,89.79,2.2
2024-08-30,12,3200,394,14,161,28,7,21,19.88,3.59,89.04,3.7
2024-08-30,13,2890,311,14,135,22,3,19,21.41,3.2,90.28,1.9
2024-08-30,14,3500,422,14,178,30,10,20,19.66,3.92,89.24,4.8
2024-08-30,15,2600,477,14,129,26,16,10,20.16,3.08,84.5,10.3
2024-08-30,16,3000,563,14,137,23,18,5,21.9,3.56,84.2,11.3
2024-08-30,17,3400,479,14,154,18,8,10,22.08,3.88,87.65,4.7
2024-08-30,18,2800,619,14,138,34,16,18,20.29,3.42,81.9,9.3
2024-08-30,19,2400,387,14,103,21,18,3,23.3,2.79,86.11,14.5
2024-08-30,20,3000,496,14,140,22,20,2,21.43,3.5,85.81,12.3
2024-09-03,11,3220,105,13,163,8,0,8,19.75,3.33,96.84,0.0
2024-09-03,12,2910,161,12,148,11,2,9,19.66,3.07,94.76,1.3
2024-09-03,13,2690,181,12,148,14,1,13,18.18,2.87,93.7,0.6
2024-09-03,14,3200,148,14,169,8,5,3,18.93,3.35,95.58,2.8
2024-09-03,15,2660,267,13,142,14,10,4,18.73,2.93,90.88,6.4
2024-09-03,16,3880,302,14,213,31,3,28,18.22,4.18,92.78,1.2
2024-09-03,17,3630,344,14,191,29,5,24,19.01,3.97,91.34,2.3
2024-09-03,18,3870,158,14,201,10,5,5,19.25,4.03,96.08,2.4
2024-09-03,19,3710,62,14,184,3,3,0,20.16,3.77,98.36,1.6
2024-09-03,20,3680,222,14,176,9,9,0,20.91,3.9,94.31,4.9
2024-09-06,11,3000,324,14,139,27,0,27,21.58,3.32,90.25,0.0
