TIMESTAMP,PAR GH A Attic,PAR GH B Attic
11/1/13 14:40,495.3,343.5
11/1/13 14:50,342.7,340.3
11/1/13 15:00,552,340.3
11/1/13 15:10,534.9,317.2
11/1/13 15:20,542.7,305.3
11/1/13 15:30,481.3,292.2
11/1/13 15:40,399.4,284.9
11/1/13 15:50,443.5,265.1
11/1/13 16:00,364.9,238.9
11/1/13 16:10,293.9,208.3
11/1/13 16:20,258.1,176.4
11/1/13 16:30,163.2,138.5
11/1/13 16:40,107.1,95
11/1/13 16:50,87.2,57.09
11/1/13 17:00,68.05,41.94
11/1/13 17:10,48.51,28.56
11/1/13 17:20,29.27,16.42
11/1/13 17:30,15.48,8.75
11/1/13 17:40,5.871,3.431
11/1/13 17:50,1.224,0.732
11/1/13 18:00,0.123,0.086
11/1/13 18:10,0.01,0.007
11/1/13 18:20,0.004,0
11/1/13 18:30,0.005,0
11/1/13 18:40,0,0
11/1/13 18:50,0,0
11/1/13 19:00,0.004,0.005
11/1/13 19:10,0,0
11/1/13 19:20,0,0.001
11/1/13 19:30,0.003,0
11/1/13 19:40,0,0
11/1/13 19:50,0.001,0
11/1/13 20:00,0.005,0
11/1/13 20:10,0,0
11/1/13 20:20,0,0.001
11/1/13 20:30,0,0
11/1/13 20:40,0,0
11/1/13 20:50,0,0
11/1/13 21:00,0,0.003
11/1/13 21:10,0,0.005
11/1/13 21:20,0,0.001
11/1/13 21:30,0,0.004
11/1/13 21:40,0.001,0
11/1/13 21:50,0,0
11/1/13 22:00,0.005,0
11/1/13 22:10,0,0
11/1/13 22:20,0,0
11/1/13 22:30,0.004,0
11/1/13 22:40,0,0.005
11/1/13 22:50,0.004,0
11/1/13 23:00,0.004,0
11/1/13 23:10,0,0
11/1/13 23:20,0.005,0
11/1/13 23:30,0,0
11/1/13 23:40,0.01,0.001
11/1/13 23:50,0,0.008
11/2/13 0:00,0.003,0
11/2/13 0:10,0,0
11/2/13 0:20,0,0.001
11/2/13 0:30,0,0
11/2/13 0:40,0,0
11/2/13 0:50,0.003,0.003
11/2/13 1:00,0,0
11/2/13 1:10,0,0
11/2/13 1:20,0,0
11/2/13 1:30,0.001,0
11/2/13 1:40,0,0
11/2/13 1:50,0.003,0
11/2/13 2:00,0,0
11/2/13 2:10,0,0
11/2/13 2:20,0,0
11/2/13 2:30,0,0
11/2/13 2:40,0.004,0.007
11/2/13 2:50,0,0
11/2/13 3:00,0.005,0.008
11/2/13 3:10,0,0.003
11/2/13 3:20,0,0.003
11/2/13 3:30,0.008,0
11/2/13 3:40,0,0.007
11/2/13 3:50,0.008,0
11/2/13 4:00,0,0
11/2/13 4:10,0.004,0
11/2/13 4:20,0,0.005
11/2/13 4:30,0,0
11/2/13 4:40,0.012,0.003
11/2/13 4:50,0,0
11/2/13 5:00,0.005,0
11/2/13 5:10,0,0
11/2/13 5:20,0,0
11/2/13 5:30,0.005,0.003
11/2/13 5:40,0,0
11/2/13 5:50,0.003,0
11/2/13 6:00,0,0.001
11/2/13 6:10,0.005,0
11/2/13 6:20,0.041,0.023
11/2/13 6:30,0.541,0.291
11/2/13 6:40,3.437,1.905
11/2/13 6:50,10.9,5.913
11/2/13 7:00,24.31,12.5
11/2/13 7:10,47.33,24.54
11/2/13 7:20,70.26,38.02
11/2/13 7:30,96.8,56.19
11/2/13 7:40,147.7,90.8
11/2/13 7:50,246.7,118.1
11/2/13 8:00,314.3,141.9
11/2/13 8:10,373.4,165.7
11/2/13 8:20,434.8,189.3
11/2/13 8:30,493.4,214
11/2/13 8:40,532.3,237.8
11/2/13 8:50,561.3,263.5
11/2/13 9:00,596.7,294
11/2/13 9:10,630.5,314.6
11/2/13 9:20,652.3,324.2
11/2/13 9:30,647.8,346.7
11/2/13 9:40,450.7,376.3
11/2/13 9:50,584.9,392.2
11/2/13 10:00,752.8,422.9
11/2/13 10:10,807,457.7
11/2/13 10:20,840,485.2
11/2/13 10:30,864,498.5
11/2/13 10:40,884,500.1
11/2/13 10:50,918,508.4
11/2/13 11:00,927,515.4
11/2/13 11:10,918,527.7
11/2/13 11:20,886,509.2
11/2/13 11:30,883,501.9
11/2/13 11:40,874,487.5
11/2/13 11:50,779.1,473
11/2/13 12:00,547.4,492.3
11/2/13 12:10,711.9,502.5
11/2/13 12:20,1031,526.5
11/2/13 12:30,1218,568.5
11/2/13 12:40,1124,585.2
11/2/13 12:50,1205,589.5
11/2/13 13:00,1144,578.5
11/2/13 13:10,1152,584.1
11/2/13 13:20,984,568
11/2/13 13:30,1106,555.3
11/2/13 13:40,936,528.9
11/2/13 13:50,969,528.1
11/2/13 14:00,777.2,518.6
11/2/13 14:10,619.3,465.9
11/2/13 14:20,777.6,426.7
11/2/13 14:30,844,398.5
11/2/13 14:40,577.6,360.3
11/2/13 14:50,319.3,263.2
11/2/13 15:00,487.3,281.6
11/2/13 15:10,569.7,326.6
11/2/13 15:20,416.7,242.1
11/2/13 15:30,507.1,293.7
11/2/13 15:40,383.7,273
11/2/13 15:50,451.6,285
11/2/13 16:00,395,247.3
11/2/13 16:10,282,209.9
11/2/13 16:20,250,173.7
11/2/13 16:30,152.6,135.5
11/2/13 16:40,106.8,91.1
11/2/13 16:50,86.5,55.89
11/2/13 17:00,67.24,41.32
11/2/13 17:10,42.84,24.84
11/2/13 17:20,26.42,14.82
11/2/13 17:30,14.05,7.943
11/2/13 17:40,5.238,3.064
11/2/13 17:50,1.022,0.612
11/2/13 18:00,0.111,0.059
11/2/13 18:10,0.008,0.005
11/2/13 18:20,0,0
11/2/13 18:30,0,0
11/2/13 18:40,0,0
11/2/13 18:50,0,0
11/2/13 19:00,0,0
11/2/13 19:10,0,0
11/2/13 19:20,0,0
11/2/13 19:30,0,0
11/2/13 19:40,0.001,0.003
11/2/13 19:50,0,0
11/2/13 20:00,0,0
11/2/13 20:10,0,0.003
11/2/13 20:20,0,0
11/2/13 20:30,0.001,0
11/2/13 20:40,0,0
11/2/13 20:50,0,0
11/2/13 21:00,0.001,0.001
11/2/13 21:10,0.001,0
11/2/13 21:20,0.004,0.001
11/2/13 21:30,0,0
11/2/13 21:40,0,0
11/2/13 21:50,0,0
11/2/13 22:00,0.004,0
11/2/13 22:10,0,0.001
11/2/13 22:20,0,0.001
11/2/13 22:30,0.005,0.001
11/2/13 22:40,0,0
11/2/13 22:50,0,0
11/2/13 23:00,0.001,0
11/2/13 23:10,0,0
11/2/13 23:20,0.001,0
11/2/13 23:30,0.003,0
11/2/13 23:40,0,0
11/2/13 23:50,0.001,0
11/3/13 0:00,0,0
11/3/13 0:10,0,0
11/3/13 0:20,0.003,0
11/3/13 0:30,0,0.001
11/3/13 0:40,0,0
11/3/13 0:50,0.003,0
11/3/13 1:00,0.004,0.003
11/3/13 1:10,0,0
11/3/13 1:20,0.001,0
11/3/13 1:30,0,0
11/3/13 1:40,0,0
11/3/13 1:50,0,0
11/3/13 2:00,0,0
11/3/13 2:10,0,0
11/3/13 2:20,0,0
11/3/13 2:30,0.001,0
11/3/13 2:40,0,0
11/3/13 2:50,0,0
11/3/13 3:00,0,0.001
11/3/13 3:10,0.003,0
11/3/13 3:20,0,0
11/3/13 3:30,0.001,0
11/3/13 3:40,0,0.001
11/3/13 3:50,0,0
