Site,Timestamp,CarbonDioxide,RelativeHumidity,Temperature
LAR1,3/8/20 00:00,1508,45,25.8
LAR1,3/8/20 00:15,1510,46,25.6
LAR1,3/8/20 00:30,1513,46,25.6
LAR1,3/8/20 00:45,1515,46,25.7
LAR1,3/8/20 01:00,1522,46,25.6
LAR1,3/8/20 01:15,1524,45,25.6
LAR1,3/8/20 01:30,1514,47,25.7
LAR1,3/8/20 01:45,1511,45,25.5
LAR1,3/8/20 02:00,1510,47,25.6
LAR1,3/8/20 03:15,1511,46,25.6
LAR1,3/8/20 03:30,1508,45,25.7
LAR1,3/8/20 03:45,1511,47,25.5
LAR1,3/8/20 04:00,1512,45,25.7
LAR1,3/8/20 04:15,1514,46,25.8
LAR1,3/8/20 04:30,1528,45,25.8
LAR1,3/8/20 04:45,1527,45,25.8
LAR1,3/8/20 05:00,1529,45,25.9
LAR1,3/8/20 05:15,1390,45,26.1
LAR1,3/8/20 05:30,1070,43,26.1
LAR1,3/8/20 05:45,925,43,26.1
LAR1,3/8/20 06:00,861,43,26.3
LAR1,3/8/20 06:15,851,54,22.2
LAR1,3/8/20 06:30,840,58,20.3
LAR1,3/8/20 06:45,839,59,20.5
LAR1,3/8/20 07:00,843,63,21.0
LAR1,3/8/20 07:15,851,67,21.3
LAR1,3/8/20 07:30,853,69,21.2
LAR1,3/8/20 07:45,850,70,21.0
LAR1,3/8/20 08:00,857,70,21.0
LAR1,3/8/20 08:15,1055,73,22.2
LAR1,3/8/20 08:30,1429,73,23.9
LAR1,3/8/20 08:45,1540,71,24.2
LAR1,3/8/20 09:00,1584,70,24.2
LAR1,3/8/20 09:15,1574,65,25.8
LAR1,3/8/20 09:30,1557,50,27.6
LAR1,3/8/20 09:45,1541,45,27.7
LAR1,3/8/20 10:00,1367,42,27.2
LAR1,3/8/20 10:15,1440,47,26.6
LAR1,3/8/20 10:30,1548,43,26.5
LAR1,3/8/20 10:45,1512,45,26.2
LAR1,3/8/20 11:00,1544,43,25.8
LAR1,3/8/20 11:15,1503,43,25.5
LAR1,3/8/20 11:30,1530,46,25.7
LAR1,3/8/20 11:45,1534,43,25.6
LAR1,3/8/20 12:00,1526,46,25.7
LAR1,3/8/20 12:15,1435,45,25.7
LAR1,3/8/20 12:30,1597,47,25.9
LAR1,3/8/20 12:45,1680,45,25.9
LAR1,3/8/20 13:00,1602,47,25.8
LAR1,3/8/20 13:15,1496,47,25.8
LAR1,3/8/20 13:30,1520,47,25.6
LAR1,3/8/20 13:45,1462,47,25.2
LAR1,3/8/20 14:00,1487,48,24.9
LAR1,3/8/20 14:15,1439,49,24.6
LAR1,3/8/20 14:30,1419,47,24.7
LAR1,3/8/20 14:45,1429,49,24.6
LAR1,3/8/20 15:00,1415,48,24.4
LAR1,3/8/20 15:15,1431,48,24.1
LAR1,3/8/20 15:30,1462,50,24.6
LAR1,3/8/20 15:45,1430,49,24.3
LAR1,3/8/20 16:00,1454,50,24.3
LAR1,3/8/20 16:15,1477,50,24.3
LAR1,3/8/20 16:30,1472,49,24.3
LAR1,3/8/20 16:45,1469,50,24.3
LAR1,3/8/20 17:00,1480,50,24.4
LAR1,3/8/20 17:15,1485,50,24.4
LAR1,3/8/20 17:30,1480,50,24.4
LAR1,3/8/20 17:45,1481,50,24.4
LAR1,3/8/20 18:00,1490,50,24.4
LAR1,3/8/20 18:15,1501,50,24.4
LAR1,3/8/20 18:30,1505,50,24.4
LAR1,3/8/20 18:45,1504,50,24.3
LAR1,3/8/20 19:00,1504,50,24.4
LAR1,3/8/20 19:15,1503,50,24.3
LAR1,3/8/20 19:30,1513,50,24.2
LAR1,3/8/20 19:45,1517,50,24.3
LAR1,3/8/20 20:00,1518,50,24.2
LAR1,3/8/20 20:15,1518,50,24.2
LAR1,3/8/20 20:30,1514,50,24.3
LAR1,3/8/20 20:45,1516,50,24.2
LAR1,3/8/20 21:00,1519,50,24.2
LAR1,3/8/20 21:15,1519,50,24.2
LAR1,3/8/20 21:30,1516,50,24.2
LAR1,3/8/20 21:45,1514,50,24.1
LAR1,3/8/20 22:00,1510,50,24.1
LAR1,3/8/20 22:15,1511,50,24.1
LAR1,3/8/20 22:30,1518,50,24.0
LAR1,3/8/20 22:45,1511,50,24.0
LAR1,3/8/20 23:00,1508,50,24.2
LAR1,3/8/20 23:15,1508,50,24.1
LAR1,3/8/20 23:30,1504,50,24.0
LAR1,3/8/20 23:45,1510,50,24.1
LAR1,3/9/20 00:00,1505,50,24.1
LAR1,3/9/20 00:15,1503,50,24.0
LAR1,3/9/20 00:30,1500,50,24.1
LAR1,3/9/20 00:45,1498,50,24.1
LAR1,3/9/20 01:00,1501,50,24.0
LAR1,3/9/20 01:15,1503,50,24.0
LAR1,3/9/20 01:30,1502,50,24.0
LAR1,3/9/20 01:45,1501,50,24.0
LAR1,3/9/20 02:00,1499,50,24.0
LAR1,3/9/20 02:15,1499,50,24.0
LAR1,3/9/20 02:30,1501,51,24.3
LAR1,3/9/20 02:45,1503,50,24.2
LAR1,3/9/20 03:00,1498,52,24.4
LAR1,3/9/20 03:15,1500,50,24.2
LAR1,3/9/20 03:30,1501,51,24.3
LAR1,3/9/20 03:45,1504,50,24.4
LAR1,3/9/20 04:00,1496,50,24.2
LAR1,3/9/20 04:15,1473,52,24.3
LAR1,3/9/20 04:30,1502,50,24.3
LAR1,3/9/20 04:45,1508,50,24.1
LAR1,3/9/20 05:00,1504,51,24.1
LAR1,3/9/20 05:15,1388,57,21.7
LAR1,3/9/20 05:30,1080,60,20.1
LAR1,3/9/20 05:45,935,61,20.5
LAR1,3/9/20 06:00,874,64,20.9
LAR1,3/9/20 06:15,850,67,21.2
LAR1,3/9/20 06:30,841,69,21.2
LAR1,3/9/20 06:45,835,70,21.1
LAR1,3/9/20 07:00,823,70,21.0
LAR1,3/9/20 07:15,821,70,21.0
LAR1,3/9/20 07:30,820,70,21.0
LAR1,3/9/20 07:45,816,70,21.0
LAR1,3/9/20 08:00,820,70,21.0
LAR1,3/9/20 08:15,1041,70,23.4
LAR1,3/9/20 08:30,1401,59,26.4
LAR1,3/9/20 08:45,1467,53,26.7
LAR1,3/9/20 09:00,1486,50,26.3
LAR1,3/9/20 09:15,1531,51,26.0
LAR1,3/9/20 09:30,1529,50,26.0
LAR1,3/9/20 09:45,1547,50,25.5
LAR1,3/9/20 10:00,1547,50,25.1
LAR1,3/9/20 10:15,1535,50,24.7
LAR1,3/9/20 10:30,1528,51,24.6
LAR1,3/9/20 10:45,1522,51,24.6
LAR1,3/9/20 11:00,1506,51,24.6
LAR1,3/9/20 11:15,1501,52,24.6
LAR1,3/9/20 11:30,1481,50,24.6
LAR1,3/9/20 11:45,1463,51,24.4
LAR1,3/9/20 12:00,1490,52,24.4
LAR1,3/9/20 12:15,1485,51,24.4
LAR1,3/9/20 12:30,1480,50,24.3
LAR1,3/9/20 12:45,1476,52,24.5
LAR1,3/9/20 13:00,1473,50,24.5
LAR1,3/9/20 13:15,1474,52,24.2
LAR1,3/9/20 13:30,1485,51,24.5
LAR1,3/9/20 13:45,1489,51,24.2
LAR1,3/9/20 14:00,1489,53,24.4
LAR1,3/9/20 14:15,1487,51,24.4
LAR1,3/9/20 14:30,1480,52,24.5
LAR1,3/9/20 14:45,1467,52,24.4
LAR1,3/9/20 15:00,1448,52,24.4
LAR1,3/9/20 15:15,1464,53,24.4
LAR1,3/9/20 15:30,1490,51,24.5
LAR1,3/9/20 15:45,1473,51,24.3
LAR1,3/9/20 16:00,1381,50,24.7
LAR1,3/9/20 16:15,1483,49,25.0
LAR1,3/9/20 16:30,1327,48,24.8
LAR1,3/9/20 16:45,1310,49,24.5
LAR1,3/9/20 17:00,1528,50,24.3
LAR1,3/9/20 17:15,1578,50,24.2
LAR1,3/9/20 17:30,1556,50,24.1
LAR1,3/9/20 17:45,1566,50,24.1
LAR1,3/9/20 18:00,1560,50,24.2
LAR1,3/9/20 18:15,1552,51,24.3
LAR1,3/9/20 18:30,1543,51,24.8
LAR1,3/9/20 18:45,1545,50,26.1
LAR1,3/9/20 19:00,1714,50,29.3
LAR1,3/9/20 19:15,1570,50,27.2
LAR1,3/9/20 19:30,1494,48,26.5
LAR1,3/9/20 19:45,1480,48,25.7
LAR1,3/9/20 20:00,1488,49,25.6
LAR1,3/9/20 20:15,1496,48,25.3
LAR1,3/9/20 20:30,1493,51,25.2
LAR1,3/9/20 20:45,1493,49,25.3
LAR1,3/9/20 21:00,1489,49,24.8
LAR1,3/9/20 21:15,1502,50,24.5
LAR1,3/9/20 21:30,1503,52,24.5
LAR1,3/9/20 21:45,1500,50,24.8
LAR1,3/9/20 22:00,1498,50,24.4
LAR1,3/9/20 22:15,1504,51,24.3
LAR1,3/9/20 22:30,1508,51,24.6
LAR1,3/9/20 22:45,1505,52,24.7
LAR1,3/9/20 23:00,1501,51,24.6
LAR1,3/9/20 23:15,1508,50,24.8
LAR1,3/9/20 23:30,1505,51,24.8
LAR1,3/9/20 23:45,1500,50,24.6
LAR1,3/10/20 00:00,1496,52,24.7
LAR1,3/10/20 00:15,1487,51,24.7
LAR1,3/10/20 00:30,1479,50,24.7
LAR1,3/10/20 00:45,1479,51,24.7
LAR1,3/10/20 01:00,1492,51,24.7
LAR1,3/10/20 01:15,1502,50,24.7
LAR1,3/10/20 01:30,1520,50,24.4
LAR1,3/10/20 01:45,1527,52,24.5
LAR1,3/10/20 02:00,1512,50,24.4
LAR1,3/10/20 02:15,1506,53,24.2
LAR1,3/10/20 02:30,1504,51,24.5
LAR1,3/10/20 02:45,1497,51,24.6
LAR1,3/10/20 03:00,1498,52,24.5
LAR1,3/10/20 03:15,1495,51,24.6
LAR1,3/10/20 03:30,1499,51,24.7
LAR1,3/10/20 03:45,1506,52,24.8
LAR1,3/10/20 04:00,1478,51,24.7
LAR1,3/10/20 04:15,1517,51,24.7
LAR1,3/10/20 04:30,1526,52,24.8
LAR1,3/10/20 04:45,1525,51,24.8
LAR1,3/10/20 05:00,1527,52,24.8
LAR1,3/10/20 05:15,1413,57,22.1
LAR1,3/10/20 05:30,1105,63,20.3
LAR1,3/10/20 05:45,944,62,20.4
LAR1,3/10/20 06:00,876,64,20.9
LAR1,3/10/20 06:15,852,66,21.1
LAR1,3/10/20 06:30,844,68,21.2
LAR1,3/10/20 06:45,848,69,21.1
LAR1,3/10/20 07:00,859,70,21.1
LAR1,3/10/20 07:15,852,70,21.0
LAR1,3/10/20 07:30,849,70,21.0
LAR1,3/10/20 07:45,850,70,21.0
