Cultivar name,Cultivar ID,Replicate,Subsample,Caylx to fruit area ratio,Fruit diameter to length ratio,Fruit interior NDAI,Fruit exterior NDAI,Fruit firmness (N)
Benton,K14,1,1,0.51,0.79,0.59,0.36,1.2
Benton,K14,1,2,0.54,0.88,0.53,0.45,1.8
Benton,K14,1,3,0.47,0.94,0.56,0.48,1.7
Benton,K14,2,1,0.46,0.89,0.55,0.43,1.7
Benton,K14,2,2,0.52,0.97,0.58,0.37,1.7
Benton,K14,2,3,0.61,0.86,0.6,0.37,1.5
Benton,K14,3,1,0.66,0.86,0.57,0.37,1.7
Benton,K14,3,2,0.56,0.82,0.47,0.31,1.2
Benton,K14,3,3,0.49,0.92,0.56,0.39,1.7
Bountiful,K01,1,1,0.67,0.94,0.36,0.47,1.2
Bountiful,K01,1,2,0.63,1.01,0.3,0.52,0.9
Bountiful,K01,1,3,0.77,0.83,0.36,0.47,1.3
Bountiful,K01,2,1,0.66,0.88,0.36,0.55,1.1
Bountiful,K01,2,2,0.64,1,0.33,0.48,1.2
Bountiful,K01,2,3,0.68,0.93,0.44,0.46,0.9
Bountiful,K01,3,1,0.63,0.95,0.45,0.39,1.1
Bountiful,K01,3,2,0.56,0.97,0.39,0.51,1.6
Bountiful,K01,3,3,0.53,0.97,0.46,0.44,0.8
Chandler,K09,1,1,0.46,0.69,0.48,0.43,1.7
Chandler,K09,1,2,0.54,0.8,0.47,0.44,2.6
Chandler,K09,1,3,0.49,0.83,0.45,0.42,2.6
Chandler,K09,2,1,0.34,0.81,0.49,0.59,2.9
Chandler,K09,2,2,0.59,0.66,0.45,0.49,2.3
Chandler,K09,2,3,0.42,0.67,0.48,0.51,1.6
Chandler,K09,3,1,0.7,0.63,0.43,0.45,2.5
Chandler,K09,3,2,0.58,0.84,0.42,0.55,2.3
Chandler,K09,3,3,0.48,0.7,0.48,0.52,1.7
Dover,K06,1,1,0.65,0.79,0.41,0.5,1.6
Dover,K06,1,2,0.56,0.75,0.43,0.49,1.3
Dover,K06,1,3,0.51,0.69,0.49,0.5,2
Dover,K06,2,1,0.37,0.72,0.37,0.51,1.7
Dover,K06,2,2,0.59,0.74,0.32,0.52,1.9
Dover,K06,2,3,0.47,0.71,0.41,0.46,1.7
Dover,K06,3,1,0.47,0.8,0.41,0.48,1.8
Dover,K06,3,2,0.48,0.77,0.37,0.53,1.5
Dover,K06,3,3,0.67,0.94,0.46,0.45,1.5
Earliglow,K10,1,1,0.38,0.65,0.28,0.58,1.9
Earliglow,K10,1,2,0.42,0.82,0.33,0.56,2.2
Earliglow,K10,1,3,0.42,0.82,0.29,0.57,1.3
Earliglow,K10,2,1,0.4,0.8,0.32,0.54,1.2
Earliglow,K10,2,2,0.38,0.84,0.35,0.55,1.3
Earliglow,K10,2,3,0.47,0.78,0.28,0.53,1.8
Earliglow,K10,3,1,0.45,1.03,0.39,0.54,1
Earliglow,K10,3,2,0.39,0.95,0.31,0.56,1.5
Earliglow,K10,3,3,0.4,0.92,0.27,0.53,2.6
Elsanta,K32,1,1,0.26,1.14,0.38,0.58,1
Elsanta,K32,1,2,0.52,1.04,0.37,0.45,1.6
Elsanta,K32,1,3,0.39,1.03,0.35,0.51,1.8
Elsanta,K32,2,1,0.41,1.09,0.37,0.5,1.7
Elsanta,K32,2,2,0.51,1.18,0.41,0.49,1.3
Elsanta,K32,2,3,0.65,1.04,0.47,0.47,1.2
Elsanta,K32,3,1,0.5,1.17,0.4,0.49,1.5
Elsanta,K32,3,2,0.45,1.1,0.36,0.51,1.3
Elsanta,K32,3,3,0.3,1,0.44,0.47,1.3
Honeoye,K27,1,1,0.29,0.69,0.45,0.54,1.7
Honeoye,K27,1,2,0.4,0.9,0.43,0.53,0.8
Honeoye,K27,1,3,0.3,0.89,0.47,0.48,0.7
Honeoye,K27,2,1,0.32,0.76,0.49,0.52,1
Honeoye,K27,2,2,0.44,0.65,0.55,0.47,1
Honeoye,K27,2,3,0.4,0.76,0.38,0.5,1.2
Honeoye,K27,3,1,0.38,0.68,0.45,0.55,0.7
Honeoye,K27,3,2,0.36,0.85,0.44,0.55,0.7
Honeoye,K27,3,3,0.35,0.99,0.47,0.48,0.8
Hood,K13,1,1,0.36,0.71,0.54,0.42,1
Hood,K13,1,2,0.57,0.83,0.55,0.42,1.4
Hood,K13,1,3,0.55,0.96,0.54,0.41,1.8
Hood,K13,2,1,0.47,0.97,0.59,0.38,1.3
Hood,K13,2,2,0.5,1.24,0.62,0.43,1.8
Hood,K13,2,3,0.56,1.21,0.59,0.38,1.7
Hood,K13,3,1,0.44,1.16,0.53,0.49,0.7
Hood,K13,3,2,0.46,1.13,0.49,0.47,1.5
Hood,K13,3,3,0.51,1.14,0.57,0.51,1.2
Mara des Bois,K08,1,1,0.53,0.92,0.37,0.58,1.3
Mara des Bois,K08,1,2,0.55,0.81,0.31,0.58,1.5
Mara des Bois,K08,1,3,0.56,1,0.35,0.6,1.8
Mara des Bois,K08,2,1,0.47,0.91,0.3,0.55,1.7
Mara des Bois,K08,2,2,0.53,0.86,0.3,0.51,1.4
Mara des Bois,K08,2,3,0.77,1.07,0.36,0.49,1.4
Mara des Bois,K08,3,1,0.56,0.82,0.33,0.6,1.3
Mara des Bois,K08,3,2,0.45,0.86,0.37,0.54,1.3
Mara des Bois,K08,3,3,0.41,0.91,0.32,0.59,1.9
Marshall ,K33,1,1,0.38,0.87,0.37,0.62,1.3
Marshall ,K33,1,2,0.38,0.85,0.41,0.6,1.1
Marshall ,K33,1,3,0.34,0.92,0.42,0.6,0.9
Marshall ,K33,2,1,0.34,0.86,0.42,0.55,1
Marshall ,K33,2,2,0.4,0.87,0.39,0.54,0.8
Marshall ,K33,2,3,0.33,0.95,0.4,0.59,0.8
