treatment,block,ID,Hypocotyl length (mm),Epicotyl length (mm),Shoot length (mm),#leaf,Stem diameter (mm),Leaf area including cotyledons (cm2),Leaf area (without cotyledons) (cm2),Shoot FW (g),Shoot DW (g),
Control,1,1,3.1,4.2,7.3,4,1.95,21.31815943,21.31815943,0.991,0.1006,
Control,1,2,3.5,3.3,6.8,3,1.74,16.05776326,16.05776326,0.768,0.0758,
Control,1,3,3.6,3.1,6.7,3,1.75,18.40604948,18.40604948,0.737,0.0796,
Control,1,4,3.5,3.4,6.9,4,1.77,16.33613512,16.33613512,0.75,0.0717,
Control,2,1,3.6,2.5,6.1,3,1.4,12.28736403,12.28736403,0.475,0.0521,
Control,2,2,2.5,3.6,6.1,4,1.73,20.46526972,20.46526972,0.782,0.0919,
Control,2,3,3.6,4,7.6,3,1.79,22.46058183,22.46058183,0.747,0.0881,
Control,2,4,3.3,3.1,6.4,3,1.67,17.65618473,17.65618473,0.752,0.0864,
Control,3,1,4.5,2.4,6.9,3,1.68,23.73044253,23.73044253,0.626,0.0725,
Control,3,2,3.3,3.3,6.6,3,1.53,13.97061314,13.97061314,0.68,0.0787,
Control,3,3,2.3,3.3,5.6,3,1.95,16.26622654,16.26622654,0.705,0.0712,
Control,3,4,1.9,3.2,5.1,3,1.64,10.87508395,10.87508395,0.457,0.0567,
UV1.5h,1,1,2.9,4.1,7,4,2.46,26.74252964,24.5876913,1.3406,0.1405,
UV1.5h,1,2,3.4,5.4,8.8,3,2.54,29.11619381,29.11619381,1.4186,0.1387,
UV1.5h,1,3,3.2,4,7.2,4,2.11,42.02498426,36.24307041,1.3264,0.1305,
UV1.5h,1,4,3,3.9,6.9,4,2.41,37.93331614,35.27229174,1.2325,0.1137,
UV1.5h,2,1,3.2,3.2,6.4,4,2.35,25.20322175,23.40346972,0.929,0.0968,
UV1.5h,2,2,2.5,3,5.5,3,1.78,12.4932896,12.4932896,0.5217,0.0456,
UV1.5h,2,3,2.5,4.2,6.7,4,2.31,32.97882059,30.64068337,1.3524,0.1152,
UV1.5h,2,4,4.3,4.2,8.5,4,2.33,46.18032216,39.50334015,1.5546,0.1357,
UV1.5h,3,1,3.9,3.9,7.8,4,2.38,37.92994481,33.83586175,1.3795,0.1182,
UV1.5h,3,2,3.9,5.3,9.2,4,2.35,40.12379299,40.12379299,1.4323,0.1495,
UV1.5h,3,3,3.2,4.5,7.7,4,2.3,38.19525803,38.19525803,1.3214,0.1152,
UV1.5h,3,4,4.3,4.3,8.6,3,2.37,32.16292177,26.18622444,1.155,0.0959,
UV3h,1,1,3.2,3.9,7.1,4,2.11,32.4049753,32.4049753,1.2044,0.1135,
UV3h,1,2,2.7,4.5,7.2,4,2.41,36.94098871,36.94098871,1.3056,0.1398,
