treatment,block,ID,#leaf,#leaf with IM,%leaf with IM,IM on true leaf DAS,severity of 1st leaf,severity of 2nd leaf,severity of 3rd leaf,severity of 4th leaf,cotyledon drop,IM on cotyledon,leaf drop,stem IM
Control,1,1,4,3,75.0,12,5,4,3,0,1,1,0,1
Control,1,2,3,2,66.7,12,5,4,2,M1,1,1,0,1
Control,1,3,3,2,66.7,13,5,3,1,M1,1,1,0,1
Control,1,4,3,2,66.7,13,5,4,1,M1,1,1,0,1
Control,2,1,3,2,66.7,13,4,4,1,M1,1,1,0,1
Control,2,2,4,2,50.0,13,5,3,1,0,1,1,0,1
Control,2,3,3,2,66.7,12,4,1,1,M1,1,1,0,1
Control,2,4,3,2,66.7,12,5,4,1,M1,1,1,0,0
Control,3,1,3,2,66.7,12,5,4,1,M1,1,1,0,1
Control,3,2,3,2,66.7,13,5,4,1,M1,1,1,0,1
Control,3,3,3,2,66.7,13,5,3,1,M1,1,1,0,1
Control,3,4,3,2,66.7,13,5,4,1,M1,1,1,0,1
UV1.5h,1,1,4,2,50.0,13,4,3,1,1,1,1,0,1
UV1.5h,1,2,4,2,50.0,13,4,1,1,0,1,1,0,1
UV1.5h,1,3,4,2,50.0,13,2,1,1,0,1,1,0,1
UV1.5h,1,4,4,3,75.0,13,3,2,1,0,1,1,0,1
UV1.5h,2,1,4,2,50.0,13,5,3,1,0,1,1,0,1
UV1.5h,2,2,3,2,66.7,13,5,4,1,M1,1,1,0,1
UV1.5h,2,3,4,3,75.0,14,5,4,2,1,1,1,0,1
UV1.5h,2,4,3,2,66.7,15,3,2,1,M1,0,1,0,0
UV1.5h,3,1,4,2,50.0,13,4,3,1,0,1,1,0,1
UV1.5h,3,2,4,2,50.0,13,4,3,1,0,1,1,0,1
UV1.5h,3,3,4,2,50.0,14,4,4,1,0,1,1,0,0
UV1.5h,3,4,3,2,66.7,14,4,3,1,M1,0,0,0,0
UV3h,1,1,4,2,50.0,15,4,3,1,0,1,1,0,1
UV3h,1,2,3,1,33.3,14,4,3,1,M1,1,1,0,0
UV3h,1,3,3,1,33.3,14,4,3,1,M1,1,1,0,0
UV3h,1,4,3,1,33.3,14,5,4,2,M1,1,1,0,0
UV3h,2,1,3,2,66.7,14,4,3,1,M1,1,1,0,1
UV3h,2,2,4,2,50.0,13,4,3,1,1,1,1,0,1
UV3h,2,3,3,2,66.7,14,3,2,1,M1,0,0,0,1
UV3h,2,4,4,2,50.0,14,4,3,1,1,0,0,0,1
UV3h,3,1,3,1,33.3,13,4,2,1,M1,1,1,0,1
UV3h,3,2,4,2,50.0,13,3,2,1,0,1,1,0,1
UV3h,3,3,4,2,50.0,14,4,3,1,1,1,1,0,1
UV3h,3,4,3,1,33.3,14,3,1,1,M1,1,1,0,0
UV6h,1,1,4,2,50.0,14,3,2,1,1,1,0,0,1
UV6h,1,2,4,2,50.0,14,4,2,1,1,0,0,0,0
UV6h,1,3,4,2,50.0,15,1,1,1,0,0,0,0,0
UV6h,1,4,3,0,0.0,,2,1,1,M1,0,0,0,0
UV6h,2,1,4,1,25.0,15,2,1,1,1,1,0,0,1
UV6h,2,2,4,2,50.0,14,4,3,1,1,1,0,0,1
UV6h,2,3,4,2,50.0,15,3,2,1,1,1,0,0,0
UV6h,2,4,3,1,33.3,15,2,1,1,M1,0,0,0,0
UV6h,3,1,3,0,0.0,,1,1,1,M1,0,0,0,1
UV6h,3,2,4,1,25.0,15,3,1,1,1,0,0,0,0
UV6h,3,3,4,2,50.0,15,3,2,1,1,0,0,0,0
UV6h,3,4,4,2,50.0,15,3,2,1,1,0,0,0,0
WFL,1,1,4,2,50.0,14,3,2,1,1,1,0,0,0
WFL,1,2,4,2,50.0,15,3,2,1,0,0,0,0,0
WFL,1,3,4,1,25.0,15,3,1,1,1,0,0,0,0
WFL,1,4,4,2,50.0,14,5,3,1,1,0,0,0,0
WFL,2,1,4,2,50.0,14,4,3,1,1,1,0,0,0
WFL,2,2,4,2,50.0,15,4,3,1,1,0,0,0,0
WFL,2,3,4,1,25.0,14,2,2,1,1,0,0,0,0
WFL,2,4,4,1,25.0,14,4,2,1,1,0,0,0,0
WFL,3,1,4,2,50.0,13,4,3,1,1,1,0,0,0
WFL,3,2,4,2,50.0,13,4,2,1,1,1,0,0,0
WFL,3,3,4,2,50.0,14,4,3,1,1,0,0,0,0
WFL,3,4,4,2,50.0,14,4,3,1,1,0,0,0,0
